name	term	lev	seq	value
"monocarboxylic acid binding"	GO:0033293	5	"Acaca"	0
"monocarboxylic acid binding"	GO:0033293	5	"Acacb"	0
"monocarboxylic acid binding"	GO:0033293	5	"Acox1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Acox3"	0
"monocarboxylic acid binding"	GO:0033293	5	"Adh5"	0
"monocarboxylic acid binding"	GO:0033293	5	"Alox5ap"	0
"monocarboxylic acid binding"	GO:0033293	5	"Arhgdia"	0
"monocarboxylic acid binding"	GO:0033293	5	"Cyp26b1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Cyp4f14"	0
"monocarboxylic acid binding"	GO:0033293	5	"Dgat1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Fabp3"	0
"monocarboxylic acid binding"	GO:0033293	5	"Fabp5"	0
"monocarboxylic acid binding"	GO:0033293	5	"Fabp7"	0
"monocarboxylic acid binding"	GO:0033293	5	"Ffar1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Gap43"	0
"monocarboxylic acid binding"	GO:0033293	5	"Hlcs"	0
"monocarboxylic acid binding"	GO:0033293	5	"Igf2r"	0
"monocarboxylic acid binding"	GO:0033293	5	"Insr"	0
"monocarboxylic acid binding"	GO:0033293	5	"Lpar1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Lpar4"	0
"monocarboxylic acid binding"	GO:0033293	5	"Nme2"	0
"monocarboxylic acid binding"	GO:0033293	5	"Nr2f2"	0
"monocarboxylic acid binding"	GO:0033293	5	"Pcx"	0
"monocarboxylic acid binding"	GO:0033293	5	"Ppard"	0
"monocarboxylic acid binding"	GO:0033293	5	"Pparg"	0
"monocarboxylic acid binding"	GO:0033293	5	"Ptgds"	0
"monocarboxylic acid binding"	GO:0033293	5	"Pygl"	0
"monocarboxylic acid binding"	GO:0033293	5	"Rara"	0
"monocarboxylic acid binding"	GO:0033293	5	"Rida"	0
"monocarboxylic acid binding"	GO:0033293	5	"Scp2"	0
"monocarboxylic acid binding"	GO:0033293	5	"Sh3glb1"	0
"monocarboxylic acid binding"	GO:0033293	5	"Snca"	0
"monocarboxylic acid binding"	GO:0033293	5	"Stard5"	0
"monocarboxylic acid binding"	GO:0033293	5	"Stx3"	0
"monocarboxylic acid binding"	GO:0033293	5	"Vil1"	0
"catecholamine binding"	GO:1901338	2	"Adra2a"	0
"catecholamine binding"	GO:1901338	2	"Adra2b"	0
"catecholamine binding"	GO:1901338	2	"Adra2c"	0
"catecholamine binding"	GO:1901338	2	"Adrb1"	0
"catecholamine binding"	GO:1901338	2	"Adrb2"	0
"catecholamine binding"	GO:1901338	2	"Adrb3"	0
"catecholamine binding"	GO:1901338	2	"Drd1"	0
"catecholamine binding"	GO:1901338	2	"Drd2"	0
"catecholamine binding"	GO:1901338	2	"Drd4"	0
"catecholamine binding"	GO:1901338	2	"Gpr21"	0
"catecholamine binding"	GO:1901338	2	"Slc6a3"	0
"catecholamine binding"	GO:1901338	2	"Th"	0
"RNA polymerase I regulatory region DNA binding"	GO:0001164;GO:0001163;GO:0001013	3	"Baz2a"	0
"RNA polymerase I regulatory region DNA binding"	GO:0001164;GO:0001163;GO:0001013	3	"Pih1d1"	0
"RNA polymerase I regulatory region DNA binding"	GO:0001164;GO:0001163;GO:0001013	3	"Rrn3"	0
"RNA polymerase I regulatory region DNA binding"	GO:0001164;GO:0001163;GO:0001013	3	"Smarca4"	0
"RNA polymerase I regulatory region DNA binding"	GO:0001164;GO:0001163;GO:0001013	3	"Smarcb1"	0
