name	term	lev	seq	value
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Fig4"	0
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp4a"	0.5
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp4b"	0.6
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5b"	-0.1
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5e"	0.4
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Mtm1"	-0.2
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Mtmr2"	0
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Mtmr3"	0.2
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Ocrl"	1.3
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Pten"	-0.2
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Sacm1l"	1.5
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Synj1"	0.2
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Synj2"	0
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Tmem55a"	-0.3
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Tmem55b"	-0.6
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5d"	0.4
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5f"	1.4
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5j"	0
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Inpp5k"	-0.4
"phosphatidylinositol phosphate phosphatase activity"	GO:0034593;GO:0052866	3	"Mtmr14"	0.2
"G-protein coupled receptor activity"	GO:0004930	2	"Ackr1"	1.3
"G-protein coupled receptor activity"	GO:0004930	2	"Ackr2"	-0.2
"G-protein coupled receptor activity"	GO:0004930	2	"Ackr3"	0.1
"G-protein coupled receptor activity"	GO:0004930	2	"Ackr4"	0
"G-protein coupled receptor activity"	GO:0004930	2	"Adcyap1r1"	0.4
"G-protein coupled receptor activity"	GO:0004930	2	"Adgra1"	-0.1
"G-protein coupled receptor activity"	GO:0004930	2	"Adgra2"	-0.2
"G-protein coupled receptor activity"	GO:0004930	2	"Adgra3"	0.1
"G-protein coupled receptor activity"	GO:0004930	2	"Adgrb1"	0
"G-protein coupled receptor activity"	GO:0004930	2	"Adgrb2"	-0.3
"G-protein coupled receptor activity"	GO:0004930	2	"Adgrb3"	1.3
"G-protein coupled receptor activity"	GO:0004930	2	"Adgrd1"	0
"G-protein coupled receptor activity"	GO:0004930	2	"Adgre1"	0
