name	term	lev	seq	value
"inhibin binding"	GO:0034711	2	"Acvr1b"	0.1
"inhibin binding"	GO:0034711	2	"Acvr2a"	0.2
"inhibin binding"	GO:0034711	2	"Acvr2b"	-0.2
"inhibin binding"	GO:0034711	2	"Inha"	-0.1
"inhibin binding"	GO:0034711	2	"Inhba"	0.2
"inhibin binding"	GO:0034711	2	"Inhbb"	-1.9
"UDP-galactosyltransferase activity"	GO:0035250	2	"A4galt"	-0.3
"UDP-galactosyltransferase activity"	GO:0035250	2	"B3galnt1"	1
"UDP-galactosyltransferase activity"	GO:0035250	2	"B3galt1"	-0.7
"UDP-galactosyltransferase activity"	GO:0035250	2	"B3galt2"	-0.3
"UDP-galactosyltransferase activity"	GO:0035250	2	"B3galt6"	-0.1
"UDP-galactosyltransferase activity"	GO:0035250	2	"B3gat1"	0.1
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt1"	-0.9
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt2"	-0.2
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt3"	0.5
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt4"	-0.1
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt6"	0.1
"UDP-galactosyltransferase activity"	GO:0035250	2	"B4galt7"	-0.2
"UDP-galactosyltransferase activity"	GO:0035250	2	"Ugt8a"	-0.5
"G-protein beta-subunit binding"	GO:0031681	2	"Cct5"	0.1
"G-protein beta-subunit binding"	GO:0031681	2	"Dynlt1b"	-1.6
"G-protein beta-subunit binding"	GO:0031681	2	"F2r"	0.5
"G-protein beta-subunit binding"	GO:0031681	2	"F2rl1"	-0.3
"G-protein beta-subunit binding"	GO:0031681	2	"Gnas"	0.1
"G-protein beta-subunit binding"	GO:0031681	2	"Gng13"	-0.1
"G-protein beta-subunit binding"	GO:0031681	2	"Gng2"	0.2
"G-protein beta-subunit binding"	GO:0031681	2	"Gria1"	-0.4
"G-protein beta-subunit binding"	GO:0031681	2	"Rasd2"	0.2
"G-protein beta-subunit binding"	GO:0031681	2	"Rgs11"	0.7
"G-protein beta-subunit binding"	GO:0031681	2	"Rgs7"	0.2
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gsr"	1.7
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gss"	0.2
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gstm2"	0.1
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gstm5"	0
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gstm7"	0
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Gstp1"	0.8
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Lancl1"	0.4
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Ltc4s"	-0.5
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Mgst1"	-0.3
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Mmachc"	0.4
"oligopeptide binding"	GO:0043295;GO:1900750	4	"Ptges"	0
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inpp5b"	-0.3
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inpp5d"	-0.4
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inpp5e"	0.1
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inpp5j"	-0.4
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inpp5k"	0.2
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Inppl1"	-0.4
"inositol trisphosphate phosphatase activity"	GO:0004445;GO:0046030	3	"Synj2"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Ar"	-0.2
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Atf2"	0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Atf4"	0.2
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Bbs1"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Bbs10"	-0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Bbs4"	0.8
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Bhlhe40"	0
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Bhlhe41"	0
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Chd4"	-0.2
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Cited2"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Creb1"	0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Crebbp"	-0.6
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Ctnnb1"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Dact1"	-0.2
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Dhx9"	0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Dmap1"	-0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Dusp26"	-0.2
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Egr2"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Elk1"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Ep300"	0
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Ercc1"	0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Ercc4"	0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Exosc9"	0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Fbl"	-0.4
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Gata2"	-0.1
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Gata3"	0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Gata5"	0.3
"RNA polymerase II transcription factor binding"	GO:0001085	2	"Gsk3b"	-0.7
