name	term	lev	seq	value
"sodium channel activity"	GO:0005272	2	"Asic1"	-0.5
"sodium channel activity"	GO:0005272	2	"Asic2"	-0.3
"sodium channel activity"	GO:0005272	2	"Asic3"	0.1
"sodium channel activity"	GO:0005272	2	"Hcn1"	-0.4
"sodium channel activity"	GO:0005272	2	"Hcn2"	-0.5
"sodium channel activity"	GO:0005272	2	"Hcn3"	-0.8
"sodium channel activity"	GO:0005272	2	"Hcn4"	0.1
"sodium channel activity"	GO:0005272	2	"Kcnk1"	0
"sodium channel activity"	GO:0005272	2	"Nalcn"	0.7
"sodium channel activity"	GO:0005272	2	"Pkd2"	-0.4
"sodium channel activity"	GO:0005272	2	"Pkd2l1"	-0.4
"sodium channel activity"	GO:0005272	2	"Scn1a"	0.2
"sodium channel activity"	GO:0005272	2	"Scn1b"	0.2
"sodium channel activity"	GO:0005272	2	"Scn2b"	0
"sodium channel activity"	GO:0005272	2	"Scn3a"	0.1
"sodium channel activity"	GO:0005272	2	"Scn3b"	0.3
"sodium channel activity"	GO:0005272	2	"Scn4b"	0
"sodium channel activity"	GO:0005272	2	"Scn7a"	-0.4
"sodium channel activity"	GO:0005272	2	"Scn8a"	0.5
"sodium channel activity"	GO:0005272	2	"Scn9a"	-0.5
"sodium channel activity"	GO:0005272	2	"Trpm2"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Adam10"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Adam15"	0
"metalloendopeptidase activity"	GO:0004222	2	"Adam17"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Adam8"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Adam9"	0.5
"metalloendopeptidase activity"	GO:0004222	2	"Adamts1"	0.4
"metalloendopeptidase activity"	GO:0004222	2	"Adamts10"	-0.4
"metalloendopeptidase activity"	GO:0004222	2	"Adamts13"	0.3
"metalloendopeptidase activity"	GO:0004222	2	"Adamts15"	0.5
"metalloendopeptidase activity"	GO:0004222	2	"Adamts20"	-0.2
"metalloendopeptidase activity"	GO:0004222	2	"Adamts4"	-1.3
"metalloendopeptidase activity"	GO:0004222	2	"Adamtsl4"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Afg3l1"	0.2
"metalloendopeptidase activity"	GO:0004222	2	"Afg3l2"	-0.3
"metalloendopeptidase activity"	GO:0004222	2	"Bmp1"	-0.4
"metalloendopeptidase activity"	GO:0004222	2	"Ece1"	0.5
"metalloendopeptidase activity"	GO:0004222	2	"Ece2"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Ecel1"	0
"metalloendopeptidase activity"	GO:0004222	2	"Ide"	0
"metalloendopeptidase activity"	GO:0004222	2	"Lmln"	0.4
"metalloendopeptidase activity"	GO:0004222	2	"Mme"	0.2
"metalloendopeptidase activity"	GO:0004222	2	"Mmp14"	0
"metalloendopeptidase activity"	GO:0004222	2	"Mmp16"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Mmp17"	0.2
"metalloendopeptidase activity"	GO:0004222	2	"Mmp19"	-0.7
"metalloendopeptidase activity"	GO:0004222	2	"Mmp2"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Mmp21"	0.4
"metalloendopeptidase activity"	GO:0004222	2	"Mmp9"	0.6
"metalloendopeptidase activity"	GO:0004222	2	"Nrd1"	0
"metalloendopeptidase activity"	GO:0004222	2	"Oma1"	0
"metalloendopeptidase activity"	GO:0004222	2	"Osgepl1"	0
"metalloendopeptidase activity"	GO:0004222	2	"Pappa"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Pitrm1"	-0.7
"metalloendopeptidase activity"	GO:0004222	2	"Pmpca"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Pmpcb"	0.3
"metalloendopeptidase activity"	GO:0004222	2	"Rce1"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Spg7"	0
"metalloendopeptidase activity"	GO:0004222	2	"Thsd4"	-0.1
"metalloendopeptidase activity"	GO:0004222	2	"Uqcrc1"	0.1
"metalloendopeptidase activity"	GO:0004222	2	"Uqcrc2"	0.9
"metalloendopeptidase activity"	GO:0004222	2	"Xrcc6bp1"	0.4
"metalloendopeptidase activity"	GO:0004222	2	"Yme1l1"	0.3
"sialyltransferase activity"	GO:0008373	4	"6430550D23Rik"	0.1
"sialyltransferase activity"	GO:0008373	4	"St3gal1"	0.7
"sialyltransferase activity"	GO:0008373	4	"St3gal2"	-0.3
"sialyltransferase activity"	GO:0008373	4	"St3gal3"	0
"sialyltransferase activity"	GO:0008373	4	"St3gal4"	-0.3
"sialyltransferase activity"	GO:0008373	4	"St3gal5"	0.3
"sialyltransferase activity"	GO:0008373	4	"St3gal6"	-0.6
"sialyltransferase activity"	GO:0008373	4	"St6gal1"	0
"sialyltransferase activity"	GO:0008373	4	"St6gal2"	0.2
"sialyltransferase activity"	GO:0008373	4	"St6galnac1"	0.3
"sialyltransferase activity"	GO:0008373	4	"St6galnac2"	-0.3
"sialyltransferase activity"	GO:0008373	4	"St6galnac3"	-0.1
"sialyltransferase activity"	GO:0008373	4	"St6galnac4"	0.3
"sialyltransferase activity"	GO:0008373	4	"St6galnac5"	0.9
"sialyltransferase activity"	GO:0008373	4	"St6galnac6"	-0.6
"sialyltransferase activity"	GO:0008373	4	"St8sia1"	-0.6
"sialyltransferase activity"	GO:0008373	4	"St8sia2"	0
"sialyltransferase activity"	GO:0008373	4	"St8sia3"	0.1
"sialyltransferase activity"	GO:0008373	4	"St8sia4"	-0.8
"sialyltransferase activity"	GO:0008373	4	"St8sia5"	0.5
"sialyltransferase activity"	GO:0008373	4	"St8sia6"	0.4
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Eng"	-1
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Smad2"	-0.2
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Smad3"	0.1
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Smad4"	0
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Smad6"	-0.3
"transforming growth factor beta receptor, cytoplasmic mediator activity"	GO:0005072	2	"Smad7"	0.2
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Alkbh1"	-0.4
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Apex1"	0.2
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Apex2"	0
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Aplf"	-1.1
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Hmga1"	-0.6
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Hmga2"	-0.4
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Neil1"	0.3
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Neil2"	0.5
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Nthl1"	-0.9
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Ogg1"	-0.2
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Rps3"	-0.6
"DNA-(apurinic or apyrimidinic site) lyase activity"	GO:0003906	2	"Smug1"	-0.6
"receptor activator activity"	GO:0030546	2	"Actn2"	-0.2
"receptor activator activity"	GO:0030546	2	"Anxa2"	-0.5
"receptor activator activity"	GO:0030546	2	"Cdk5"	-0.2
"receptor activator activity"	GO:0030546	2	"Dgkq"	0.2
"receptor activator activity"	GO:0030546	2	"Gas6"	0.6
"receptor activator activity"	GO:0030546	2	"Gpnmb"	-0.3
"receptor activator activity"	GO:0030546	2	"Grem1"	-0.1
"receptor activator activity"	GO:0030546	2	"Igf2"	-0.6
"receptor activator activity"	GO:0030546	2	"Mapt"	0.4
"receptor activator activity"	GO:0030546	2	"Med1"	0
"receptor activator activity"	GO:0030546	2	"Med16"	0
"receptor activator activity"	GO:0030546	2	"Ncoa2"	-0.7
"receptor activator activity"	GO:0030546	2	"Ngf"	-0.2
"receptor activator activity"	GO:0030546	2	"Nodal"	-0.1
"receptor activator activity"	GO:0030546	2	"Ppargc1b"	0.3
"receptor activator activity"	GO:0030546	2	"Prkce"	-0.2
"receptor activator activity"	GO:0030546	2	"Rxrb"	0.1
"receptor activator activity"	GO:0030546	2	"Sfrp2"	0.1
"receptor activator activity"	GO:0030546	2	"Sra1"	0.1
"receptor activator activity"	GO:0030546	2	"Vegfa"	-0.2
"receptor activator activity"	GO:0030546	2	"Wnt1"	0.1
"receptor activator activity"	GO:0030546	2	"Wnt3"	0.4
"receptor activator activity"	GO:0030546	2	"Wnt7a"	-0.4
"receptor activator activity"	GO:0030546	2	"Wnt7b"	-0.1
"O-acyltransferase activity"	GO:0008374	2	"Agpat1"	0.1
"O-acyltransferase activity"	GO:0008374	2	"Agpat2"	-0.2
"O-acyltransferase activity"	GO:0008374	2	"Agpat5"	-0.9
"O-acyltransferase activity"	GO:0008374	2	"Agpat9"	0.3
"O-acyltransferase activity"	GO:0008374	2	"Awat2"	-0.5
"O-acyltransferase activity"	GO:0008374	2	"Cpt1a"	-0.2
"O-acyltransferase activity"	GO:0008374	2	"Crot"	-0.6
"O-acyltransferase activity"	GO:0008374	2	"Dgat1"	-0.1
"O-acyltransferase activity"	GO:0008374	2	"Dgat2"	0.3
"O-acyltransferase activity"	GO:0008374	2	"Gnpat"	-0.5
"O-acyltransferase activity"	GO:0008374	2	"Gpam"	0
"O-acyltransferase activity"	GO:0008374	2	"Gpat2"	0
"O-acyltransferase activity"	GO:0008374	2	"Gpat4"	0.4
"O-acyltransferase activity"	GO:0008374	2	"Lcat"	-0.2
"O-acyltransferase activity"	GO:0008374	2	"Lpcat1"	0
"O-acyltransferase activity"	GO:0008374	2	"Lpcat2"	-0.3
"O-acyltransferase activity"	GO:0008374	2	"Lpcat3"	-0.1
"O-acyltransferase activity"	GO:0008374	2	"Lpcat4"	0.3
"O-acyltransferase activity"	GO:0008374	2	"Lrat"	0.6
"O-acyltransferase activity"	GO:0008374	2	"Mboat4"	-0.3
"O-acyltransferase activity"	GO:0008374	2	"Pla2g15"	-0.8
"O-acyltransferase activity"	GO:0008374	2	"Pnpla3"	0
"O-acyltransferase activity"	GO:0008374	2	"Soat1"	-0.2
"O-acyltransferase activity"	GO:0008374	2	"Soat2"	-0.4
"O-acyltransferase activity"	GO:0008374	2	"Taz"	0.5
"SMAD binding"	GO:0046332	3	"Acvr1"	0.8
"SMAD binding"	GO:0046332	3	"Acvr1b"	-0.2
"SMAD binding"	GO:0046332	3	"Acvr1c"	0.1
"SMAD binding"	GO:0046332	3	"Acvrl1"	0
"SMAD binding"	GO:0046332	3	"Axin1"	0
"SMAD binding"	GO:0046332	3	"Axin2"	0.1
"SMAD binding"	GO:0046332	3	"Bmp2"	0.1
"SMAD binding"	GO:0046332	3	"Bmpr1a"	0
"SMAD binding"	GO:0046332	3	"Bmpr1b"	0
"SMAD binding"	GO:0046332	3	"Cited2"	-0.2
"SMAD binding"	GO:0046332	3	"Col1a2"	-0.4
"SMAD binding"	GO:0046332	3	"Col3a1"	-0.2
"SMAD binding"	GO:0046332	3	"Col5a2"	0.1
"SMAD binding"	GO:0046332	3	"Creb3l1"	-0.7
"SMAD binding"	GO:0046332	3	"Crebbp"	-0.2
"SMAD binding"	GO:0046332	3	"Ctnnb1"	0.1
"SMAD binding"	GO:0046332	3	"Dab2"	0
"SMAD binding"	GO:0046332	3	"Ep300"	-0.2
"SMAD binding"	GO:0046332	3	"Fkbp1a"	0.8
"SMAD binding"	GO:0046332	3	"Flna"	0.1
"SMAD binding"	GO:0046332	3	"Fos"	0.9
"SMAD binding"	GO:0046332	3	"Gata4"	0.1
"SMAD binding"	GO:0046332	3	"Hipk2"	-0.8
"SMAD binding"	GO:0046332	3	"Jun"	0.9
"SMAD binding"	GO:0046332	3	"Magi2"	-0.3
"SMAD binding"	GO:0046332	3	"Mef2a"	0.1
"SMAD binding"	GO:0046332	3	"Men1"	0.3
"SMAD binding"	GO:0046332	3	"Parp1"	0.1
"SMAD binding"	GO:0046332	3	"Pax6"	-0.1
"SMAD binding"	GO:0046332	3	"Pml"	0
"SMAD binding"	GO:0046332	3	"Ppm1a"	-0.5
"SMAD binding"	GO:0046332	3	"Prdm16"	0
"SMAD binding"	GO:0046332	3	"Rgcc"	-0.2
"SMAD binding"	GO:0046332	3	"Rnf111"	0.1
"SMAD binding"	GO:0046332	3	"Runx3"	0.1
"SMAD binding"	GO:0046332	3	"Ski"	-0.2
"SMAD binding"	GO:0046332	3	"Skil"	0
"SMAD binding"	GO:0046332	3	"Smad1"	0
"SMAD binding"	GO:0046332	3	"Smad2"	-0.2
"SMAD binding"	GO:0046332	3	"Smad3"	0.1
"SMAD binding"	GO:0046332	3	"Smad4"	0
"SMAD binding"	GO:0046332	3	"Smad6"	-0.3
"SMAD binding"	GO:0046332	3	"Smad7"	0.2
"SMAD binding"	GO:0046332	3	"Smurf1"	0.2
"SMAD binding"	GO:0046332	3	"Smurf2"	0
"SMAD binding"	GO:0046332	3	"Snw1"	0.5
"SMAD binding"	GO:0046332	3	"Stub1"	-0.4
"SMAD binding"	GO:0046332	3	"Tcf12"	-0.3
"SMAD binding"	GO:0046332	3	"Tgfbr1"	-0.7
"SMAD binding"	GO:0046332	3	"Tgfbr2"	-0.8
"SMAD binding"	GO:0046332	3	"Tgfbr3"	-0.5
"SMAD binding"	GO:0046332	3	"Tob1"	0.8
"SMAD binding"	GO:0046332	3	"Trim33"	-0.2
"SMAD binding"	GO:0046332	3	"Usp15"	1.3
"SMAD binding"	GO:0046332	3	"Usp9x"	0
"SMAD binding"	GO:0046332	3	"Yy1"	0.5
