name	term	lev	seq	value
"magnesium ion binding"	GO:0000287	2	"Abl1"	0
"magnesium ion binding"	GO:0000287	2	"Abl2"	0
"magnesium ion binding"	GO:0000287	2	"Adcy10"	-0.1
"magnesium ion binding"	GO:0000287	2	"Adcy2"	0.6
"magnesium ion binding"	GO:0000287	2	"Arf1"	0
"magnesium ion binding"	GO:0000287	2	"Atp10a"	0.5
"magnesium ion binding"	GO:0000287	2	"Atp11a"	0
"magnesium ion binding"	GO:0000287	2	"Atp11c"	0.3
"magnesium ion binding"	GO:0000287	2	"Atp8a1"	0.1
"magnesium ion binding"	GO:0000287	2	"Atp8a2"	0.4
"magnesium ion binding"	GO:0000287	2	"Atp8b1"	0.2
"magnesium ion binding"	GO:0000287	2	"Atp8b2"	0.4
"magnesium ion binding"	GO:0000287	2	"Atp8b3"	0.2
"magnesium ion binding"	GO:0000287	2	"Atp9a"	0
"magnesium ion binding"	GO:0000287	2	"Atp9b"	0.3
"magnesium ion binding"	GO:0000287	2	"Brsk1"	0.3
"magnesium ion binding"	GO:0000287	2	"Brsk2"	-0.1
"magnesium ion binding"	GO:0000287	2	"Cdc42bpa"	0.1
"magnesium ion binding"	GO:0000287	2	"Cdc42bpg"	0
"magnesium ion binding"	GO:0000287	2	"Cerk"	0
"magnesium ion binding"	GO:0000287	2	"Csnk1a1"	0.5
"magnesium ion binding"	GO:0000287	2	"Csnk1g1"	0.1
"magnesium ion binding"	GO:0000287	2	"Csnk1g2"	0.1
"magnesium ion binding"	GO:0000287	2	"Csnk1g3"	-0.1
"magnesium ion binding"	GO:0000287	2	"Dck"	-0.7
"magnesium ion binding"	GO:0000287	2	"Dctpp1"	-0.4
"magnesium ion binding"	GO:0000287	2	"Dis3l2"	0.1
"magnesium ion binding"	GO:0000287	2	"Dxo"	-0.1
"magnesium ion binding"	GO:0000287	2	"Dyrk2"	0.9
"magnesium ion binding"	GO:0000287	2	"Dyrk3"	0.2
"magnesium ion binding"	GO:0000287	2	"Eno2"	0
"magnesium ion binding"	GO:0000287	2	"Eno3"	-0.2
"magnesium ion binding"	GO:0000287	2	"Eno4"	-0.1
"magnesium ion binding"	GO:0000287	2	"Ern1"	0.2
"magnesium ion binding"	GO:0000287	2	"Fars2"	0
"magnesium ion binding"	GO:0000287	2	"Farsb"	0
"magnesium ion binding"	GO:0000287	2	"Fdxacb1"	0.2
"magnesium ion binding"	GO:0000287	2	"Gck"	-0.4
"magnesium ion binding"	GO:0000287	2	"Gclc"	0
"magnesium ion binding"	GO:0000287	2	"Gem"	0.6
"magnesium ion binding"	GO:0000287	2	"Glul"	0.7
"magnesium ion binding"	GO:0000287	2	"Gnai1"	-0.3
"magnesium ion binding"	GO:0000287	2	"Gss"	-0.1
"magnesium ion binding"	GO:0000287	2	"Gtpbp10"	0
"magnesium ion binding"	GO:0000287	2	"Hmgcl"	-1.2
"magnesium ion binding"	GO:0000287	2	"Hprt"	-0.1
"magnesium ion binding"	GO:0000287	2	"Ick"	-0.1
"magnesium ion binding"	GO:0000287	2	"Idh3g"	-0.3
"magnesium ion binding"	GO:0000287	2	"Irak3"	0.1
"magnesium ion binding"	GO:0000287	2	"Irak4"	0.1
"magnesium ion binding"	GO:0000287	2	"Itpk1"	0.1
"magnesium ion binding"	GO:0000287	2	"Lats1"	1
"magnesium ion binding"	GO:0000287	2	"Map2k7"	0.1
"magnesium ion binding"	GO:0000287	2	"Map3k5"	0.3
"magnesium ion binding"	GO:0000287	2	"Map3k6"	1.3
"magnesium ion binding"	GO:0000287	2	"Map3k7"	0.1
"magnesium ion binding"	GO:0000287	2	"Map3k8"	0
"magnesium ion binding"	GO:0000287	2	"Mapk12"	-0.2
"magnesium ion binding"	GO:0000287	2	"Mark1"	0.3
"magnesium ion binding"	GO:0000287	2	"Mark2"	-0.1
"magnesium ion binding"	GO:0000287	2	"Mast1"	-0.3
"magnesium ion binding"	GO:0000287	2	"Mast2"	0
"magnesium ion binding"	GO:0000287	2	"Mast3"	0
"magnesium ion binding"	GO:0000287	2	"Mast4"	0.4
"magnesium ion binding"	GO:0000287	2	"Msh2"	-0.1
"magnesium ion binding"	GO:0000287	2	"Msh6"	-0.1
"magnesium ion binding"	GO:0000287	2	"Mtpap"	-0.3
"magnesium ion binding"	GO:0000287	2	"Nek6"	-0.1
"magnesium ion binding"	GO:0000287	2	"Nim1k"	0.1
"magnesium ion binding"	GO:0000287	2	"Nlk"	-0.1
"magnesium ion binding"	GO:0000287	2	"Nme1"	-0.2
"magnesium ion binding"	GO:0000287	2	"Nt5c1a"	-0.4
"magnesium ion binding"	GO:0000287	2	"Nt5c3"	0
"magnesium ion binding"	GO:0000287	2	"Nt5c3b"	0
"magnesium ion binding"	GO:0000287	2	"Nuak2"	0
"magnesium ion binding"	GO:0000287	2	"Nudt16"	-0.2
"magnesium ion binding"	GO:0000287	2	"Oxsr1"	0.4
"magnesium ion binding"	GO:0000287	2	"Pck1"	-0.1
"magnesium ion binding"	GO:0000287	2	"Pdxk"	0.4
"magnesium ion binding"	GO:0000287	2	"Pgp"	0
"magnesium ion binding"	GO:0000287	2	"Pink1"	0
"magnesium ion binding"	GO:0000287	2	"Pkm"	-0.4
"magnesium ion binding"	GO:0000287	2	"Prkacb"	0.6
"magnesium ion binding"	GO:0000287	2	"Prps1"	0.6
"magnesium ion binding"	GO:0000287	2	"Prps2"	-0.1
"magnesium ion binding"	GO:0000287	2	"Rps6ka1"	-0.1
"magnesium ion binding"	GO:0000287	2	"Rps6ka2"	-0.2
"magnesium ion binding"	GO:0000287	2	"Rps6ka3"	0
"magnesium ion binding"	GO:0000287	2	"Rps6ka4"	-0.9
"magnesium ion binding"	GO:0000287	2	"Rps6ka5"	-0.4
"magnesium ion binding"	GO:0000287	2	"Rps6ka6"	0
"magnesium ion binding"	GO:0000287	2	"Sik1"	4.2
"magnesium ion binding"	GO:0000287	2	"Sik2"	0.9
"magnesium ion binding"	GO:0000287	2	"Sik3"	0
"magnesium ion binding"	GO:0000287	2	"Snrk"	0
"magnesium ion binding"	GO:0000287	2	"Sphk1"	0
"magnesium ion binding"	GO:0000287	2	"Srpk1"	0
"magnesium ion binding"	GO:0000287	2	"Srpk2"	0
"magnesium ion binding"	GO:0000287	2	"Srr"	-0.2
"magnesium ion binding"	GO:0000287	2	"Stk11"	0
"magnesium ion binding"	GO:0000287	2	"Stk26"	-0.2
"magnesium ion binding"	GO:0000287	2	"Stk3"	0
"magnesium ion binding"	GO:0000287	2	"Stk38"	0.1
"magnesium ion binding"	GO:0000287	2	"Stk38l"	0.6
"magnesium ion binding"	GO:0000287	2	"Stk4"	-0.4
"magnesium ion binding"	GO:0000287	2	"Thg1l"	-0.2
"magnesium ion binding"	GO:0000287	2	"Top2a"	0.2
"magnesium ion binding"	GO:0000287	2	"Tssk1"	0
"magnesium ion binding"	GO:0000287	2	"Tssk4"	0
"magnesium ion binding"	GO:0000287	2	"Tssk6"	-0.3
"magnesium ion binding"	GO:0000287	2	"Wee1"	0.7
"magnesium ion binding"	GO:0000287	2	"Wnk1"	0.1
"magnesium ion binding"	GO:0000287	2	"Wrn"	0.1
"myosin binding"	GO:0017022	2	"Adgrv1"	0
"myosin binding"	GO:0017022	2	"Arfgef1"	0.4
"myosin binding"	GO:0017022	2	"Arfgef2"	-0.1
"myosin binding"	GO:0017022	2	"Axl"	0.2
"myosin binding"	GO:0017022	2	"Coro1a"	-0.1
"myosin binding"	GO:0017022	2	"Cxcr4"	0
"myosin binding"	GO:0017022	2	"Dmd"	-0.2
"myosin binding"	GO:0017022	2	"Fus"	0
"myosin binding"	GO:0017022	2	"Fxyd1"	0.1
"myosin binding"	GO:0017022	2	"Gipc1"	-0.1
"myosin binding"	GO:0017022	2	"Gria1"	0.1
"myosin binding"	GO:0017022	2	"Gsn"	0.4
"myosin binding"	GO:0017022	2	"Iqgap3"	0
"myosin binding"	GO:0017022	2	"Kirrel"	0
"myosin binding"	GO:0017022	2	"Mlph"	0.2
"myosin binding"	GO:0017022	2	"Mobp"	0.3
"myosin binding"	GO:0017022	2	"Mybpc3"	0.1
"myosin binding"	GO:0017022	2	"Myl12b"	-0.4
"myosin binding"	GO:0017022	2	"Myl9"	1.7
"myosin binding"	GO:0017022	2	"Myo19"	0
"myosin binding"	GO:0017022	2	"Myrip"	0.2
"myosin binding"	GO:0017022	2	"Npc1l1"	0
"myosin binding"	GO:0017022	2	"Nphs1"	-0.5
"myosin binding"	GO:0017022	2	"Pdlim2"	-0.1
"myosin binding"	GO:0017022	2	"Pycard"	0
"myosin binding"	GO:0017022	2	"Rab10"	-0.2
"myosin binding"	GO:0017022	2	"Rab11a"	0
"myosin binding"	GO:0017022	2	"Rab11b"	-0.2
"myosin binding"	GO:0017022	2	"Rab14"	0.1
"myosin binding"	GO:0017022	2	"Rab27a"	0
"myosin binding"	GO:0017022	2	"Rab27b"	0.4
"myosin binding"	GO:0017022	2	"Rab39b"	0.8
"myosin binding"	GO:0017022	2	"Rab3a"	-0.1
"myosin binding"	GO:0017022	2	"Rab3b"	-0.2
"myosin binding"	GO:0017022	2	"Rab3c"	-0.2
"myosin binding"	GO:0017022	2	"Rab3d"	-0.8
"myosin binding"	GO:0017022	2	"Rab6a"	-0.1
"myosin binding"	GO:0017022	2	"Rab6b"	-0.1
"myosin binding"	GO:0017022	2	"Rala"	0.5
"myosin binding"	GO:0017022	2	"Rhoa"	0.4
"myosin binding"	GO:0017022	2	"Snap25"	-0.5
"myosin binding"	GO:0017022	2	"Spata6"	0
"myosin binding"	GO:0017022	2	"Stx1a"	0.2
"myosin binding"	GO:0017022	2	"Stx4a"	0.3
"myosin binding"	GO:0017022	2	"Taok1"	0.4
"myosin binding"	GO:0017022	2	"Trim2"	0
"myosin binding"	GO:0017022	2	"Trim32"	-0.5
"myosin binding"	GO:0017022	2	"Trpm7"	0.3
"myosin binding"	GO:0017022	2	"Ush1c"	-0.1
"myosin binding"	GO:0017022	2	"Vamp2"	0
"myosin binding"	GO:0017022	2	"Vezt"	-0.2
"structural constituent of ribosome"	GO:0003735	2	"Fau"	-0.2
"structural constituent of ribosome"	GO:0003735	2	"Gm17669"	0
"structural constituent of ribosome"	GO:0003735	2	"Gm5093"	-0.2
"structural constituent of ribosome"	GO:0003735	2	"Gm6096"	0.1
"structural constituent of ribosome"	GO:0003735	2	"Mrpl1"	0.1
"structural constituent of ribosome"	GO:0003735	2	"Mrpl11"	-0.9
"structural constituent of ribosome"	GO:0003735	2	"Mrpl13"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrpl15"	0.2
"structural constituent of ribosome"	GO:0003735	2	"Mrpl17"	-0.1
"structural constituent of ribosome"	GO:0003735	2	"Mrpl18"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrpl2"	-0.2
"structural constituent of ribosome"	GO:0003735	2	"Mrpl20"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrpl21"	-0.1
"structural constituent of ribosome"	GO:0003735	2	"Mrpl23"	-0.2
"structural constituent of ribosome"	GO:0003735	2	"Mrpl30"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrpl35"	-0.1
"structural constituent of ribosome"	GO:0003735	2	"Mrpl39"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrpl4"	-0.8
"structural constituent of ribosome"	GO:0003735	2	"Mrps11"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrps17"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrps34"	0
"structural constituent of ribosome"	GO:0003735	2	"Mrps5"	-0.1
