name	term	lev	seq	value
"hydro-lyase activity"	GO:0016836	4	"Aco1"	0
"hydro-lyase activity"	GO:0016836	4	"Alad"	0.3
"hydro-lyase activity"	GO:0016836	4	"Apip"	-0.3
"hydro-lyase activity"	GO:0016836	4	"Auh"	0.3
"hydro-lyase activity"	GO:0016836	4	"Car2"	1.1
"hydro-lyase activity"	GO:0016836	4	"Car9"	-0.3
"hydro-lyase activity"	GO:0016836	4	"Cbs"	0.8
"hydro-lyase activity"	GO:0016836	4	"Echdc2"	0
"hydro-lyase activity"	GO:0016836	4	"Echs1"	0.1
"hydro-lyase activity"	GO:0016836	4	"Ehhadh"	0.1
"hydro-lyase activity"	GO:0016836	4	"Eno1"	-0.4
"hydro-lyase activity"	GO:0016836	4	"Eno2"	-0.2
"hydro-lyase activity"	GO:0016836	4	"Eno3"	-0.1
"hydro-lyase activity"	GO:0016836	4	"Eno4"	-0.3
"hydro-lyase activity"	GO:0016836	4	"Fasn"	1.4
"hydro-lyase activity"	GO:0016836	4	"Fh1"	0.2
"hydro-lyase activity"	GO:0016836	4	"Gmds"	0.2
"hydro-lyase activity"	GO:0016836	4	"Hacd1"	-0.1
"hydro-lyase activity"	GO:0016836	4	"Hacd2"	-0.4
"hydro-lyase activity"	GO:0016836	4	"Hacd3"	-0.2
"hydro-lyase activity"	GO:0016836	4	"Hacd4"	0
"hydro-lyase activity"	GO:0016836	4	"Hadha"	-1.4
"hydro-lyase activity"	GO:0016836	4	"Hadhb"	0.6
"hydro-lyase activity"	GO:0016836	4	"Hmbs"	-0.5
"hydro-lyase activity"	GO:0016836	4	"Hsd17b4"	0.2
"hydro-lyase activity"	GO:0016836	4	"L3hypdh"	0.2
"hydro-lyase activity"	GO:0016836	4	"Pcbd1"	-0.3
"hydro-lyase activity"	GO:0016836	4	"Pcbd2"	-0.2
"hydro-lyase activity"	GO:0016836	4	"Pddc1"	-0.3
"hydro-lyase activity"	GO:0016836	4	"Tgds"	-0.5
"hydro-lyase activity"	GO:0016836	4	"Tor3a"	0.2
"hydro-lyase activity"	GO:0016836	4	"Uba5"	-0.2
"hydro-lyase activity"	GO:0016836	4	"Uroc1"	0
"5'-3' exonuclease activity"	GO:0008409	2	"Aptx"	-0.2
"5'-3' exonuclease activity"	GO:0008409	2	"Cpsf3"	0
"5'-3' exonuclease activity"	GO:0008409	2	"Dclre1a"	-0.3
"5'-3' exonuclease activity"	GO:0008409	2	"Dclre1b"	-0.1
"5'-3' exonuclease activity"	GO:0008409	2	"Dclre1c"	-0.2
"5'-3' exonuclease activity"	GO:0008409	2	"Dxo"	-0.2
"5'-3' exonuclease activity"	GO:0008409	2	"Exo1"	-0.2
"5'-3' exonuclease activity"	GO:0008409	2	"Exo5"	-0.2
"5'-3' exonuclease activity"	GO:0008409	2	"Exog"	0.5
"5'-3' exonuclease activity"	GO:0008409	2	"Fan1"	0.1
"5'-3' exonuclease activity"	GO:0008409	2	"Fen1"	-0.3
"5'-3' exonuclease activity"	GO:0008409	2	"Poln"	0.1
"5'-3' exonuclease activity"	GO:0008409	2	"Xrn1"	0
"5'-3' exonuclease activity"	GO:0008409	2	"Xrn2"	-0.1
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Abca1"	0.7
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Abca7"	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Abcc9"	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Ackr1"	0.3
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Ackr2"	0.1
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Ackr3"	-0.2
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Ackr4"	-0.2
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvr1"	0.2
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvr1b"	0.3
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvr1c"	0.3
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvr2a"	0.6
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvr2b"	-0.1
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Acvrl1"	0.4
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Adcyap1r1"	0.1
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Adgra1"	0.7
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Adgra2"	0.3
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	3	"Adgra3"	-0.1
