"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-973 0.281714081084485 2 10 "GO:0000030" "mannosyltransferase activity" 0.670582443517215
-1383 0.200235812882077 3 7 "GO:0000182" "rDNA binding" 0.618234711391877
-361 0.624659348013469 2 15 "GO:0000217" "DNA secondary structure binding" 0.88455411324535
605 0.0256963946494848 5 112 "GO:0000287" "magnesium ion binding" 0.25134960816807
-2272 0.075374242808242 2 5 "GO:0000339" "RNA cap binding" 0.447630707289764
-1251 0.146629115371581 2 11 "GO:0000400" "four-way junction DNA binding" 0.53985442243075
-1796 0.159704830148833 5 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate kinase activity" 0.563322491797702
827 0.478177058923387 3 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.815017670669708
470 0.00206296821621406 2 364 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.0522020652972427
313 0.133861904980848 3 191 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.534857762522637
567 0.153474088695421 2 52 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.554794531805808
-409 0.293567491898307 2 54 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.682153608446771
526 0.000136595194072691 3 450 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.00737010914916072
545 0.00162868702999324 2 280 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.0459051135504087
269 0.706649899984947 2 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.910168837590255
77 0.603808266439014 2 382 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.873377186421516
-119 0.925678428548296 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.996729701272444
-190 0.784007972372171 3 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.935844990722593
-905 0.437863065319973 3 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.782639286059381
2135 0.0671575727679223 3 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.419031781031946
703 0.0215114946707605 2 88 "GO:0001046" "core promoter sequence-specific DNA binding" 0.222838452680895
622 0.0143355665317115 7 128 "GO:0001047" "core promoter binding" 0.170646231842553
-1504 0.163571734676893 2 7 "GO:0001055" "RNA polymerase II activity" 0.568350743772846
-3292 0.00026916251592648 2 10 "GO:0001056" "RNA polymerase III activity" 0.0125322067415369
-340 0.770819637352294 3 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.933646262099969
298 0.28785684690991 2 105 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.676899736976031
665 0.00165637007656114 2 186 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0459051135504087
353 0.220440479323934 2 99 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.634423214126832
549 0.0623976252245528 3 95 "GO:0001085" "RNA polymerase II transcription factor binding" 0.408038403153817
2387 0.0122000071298443 2 9 "GO:0001091;GO:0001094" "RNA polymerase II basal transcription factor binding" 0.162964544021634
932 0.110137335465708 2 24 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.509874734724023
296 0.55210175166798 2 33 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.864518536834422
-388 0.554082067297353 4 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.864546281949221
176 0.623741700391223 4 64 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.884330498484024
825 0.114176538036818 2 30 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.509874734724023
567 0.363075500674375 2 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.732515679352703
-189 0.818353291283115 3 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 0.953516747801347
589 0.560139889102073 2 8 "GO:0001135" "RNA polymerase II transcription factor recruiting transcription factor activity" 0.865068456329824
-346 0.29263775719462 2 76 "GO:0001158;GO:0035326" "enhancer binding" 0.682153608446771
-511 0.553125901201698 5 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.864518536834422
-777 0.441831703269819 3 8 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.783576963014413
179 0.851045491687762 2 9 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region DNA binding" 0.96093451341376
937 0.036074561314416 3 41 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.306502112189637
-117 0.822297123109819 2 30 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.955243364570688
134 0.826187195565548 3 22 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.956897408595321
351 0.728085918459475 2 8 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.917199144033365
1195 0.0299491822822101 3 27 "GO:0001221" "transcription cofactor binding" 0.274494867531437
88 0.92228619633484 2 10 "GO:0001222" "transcription corepressor binding" 0.996729701272444
2190 0.015378234516035 4 10 "GO:0001223" "transcription coactivator binding" 0.179437600950509
547 0.0216329425712553 2 146 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.222838452680895
630 0.00054353892388522 2 252 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0208846833399274
-3139 0.0140037385319388 2 5 "GO:0001530" "lipopolysaccharide binding" 0.170646231842553
899 0.481498757462095 2 5 "GO:0001540" "beta-amyloid binding" 0.815668048112951
204 0.350049775539433 3 174 "GO:0001664" "G-protein coupled receptor binding" 0.724493041286449
-1825 0.153022782443677 2 5 "GO:0001671" "ATPase activator activity" 0.554794531805808
278 0.811910756907826 2 6 "GO:0001784" "phosphotyrosine binding" 0.948859559277821
467 0.51358033170458 5 16 "GO:0001786" "phosphatidylserine binding" 0.833644388942589
-793 0.496508971043927 2 6 "GO:0001848" "complement binding" 0.827435708013804
11 0.973367672650431 2 72 "GO:0001948" "glycoprotein binding" 0.997173253183209
-67 0.924924731375789 2 16 "GO:0001965" "G-protein alpha-subunit binding" 0.996729701272444
497 0.448527350639509 2 19 "GO:0001968" "fibronectin binding" 0.788649299311765
508 0.218987725069334 3 48 "GO:0002020" "protease binding" 0.634083860648519
-349 0.403232896783094 2 47 "GO:0002039" "p53 binding" 0.757390519553227
-137 0.892214999826931 4 8 "GO:0002161" "aminoacyl-tRNA editing activity" 0.976297695946405
313 0.78842953674519 2 6 "GO:0002162" "dystroglycan binding" 0.937417753596937
-79 0.870466087691555 3 35 "GO:0003678" "DNA helicase activity" 0.971805923646506
1819 0.118730945102122 2 6 "GO:0003680" "AT DNA binding" 0.509874734724023
506 0.000281540238605922 2 440 "GO:0003682" "chromatin binding" 0.0126043399129728
-351 0.405061471298708 2 46 "GO:0003684" "damaged DNA binding" 0.757390519553227
-784 0.41029885061116 2 9 "GO:0003688" "DNA replication origin binding" 0.760490226292023
-34 0.973420897537025 4 8 "GO:0003689;GO:0033170" "DNA clamp loader activity" 0.997173253183209
145 0.584276520477301 2 117 "GO:0003690" "double-stranded DNA binding" 0.870828427179729
-681 0.500442215156115 2 8 "GO:0003691" "double-stranded telomeric DNA binding" 0.827435708013804
