"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 10 "GO:0000030" "mannosyltransferase activity" 1
0 1 2 7 "GO:0000182" "rDNA binding" 1
0 1 2 16 "GO:0000217;GO:0000400" "DNA secondary structure binding" 1
0 1 2 114 "GO:0000287" "magnesium ion binding" 1
0 1 3 5 "GO:0000339" "RNA cap binding" 1
0 1 6 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate 5-kinase activity" 1
0 0.030133656809622 3 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.885176168782646
0 8.6663670685513e-05 3 369 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.0229473099098887
0 4.63883111164688e-05 2 191 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.0229473099098887
0 0.237315454677126 2 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 1
0 1 2 57 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 1
0 9.76481272761223e-05 3 466 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.0229473099098887
0 0.000624017114746753 4 291 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.104745729975348
0 0.078389731902184 4 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 1
0 0.00308761017451386 2 384 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.296820502218511
0 1 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 1
0 1 3 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 1
0 1 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 1
0 1 4 6 "GO:0001025" "RNA polymerase III transcription factor binding" 1
0 0.078003222952369 2 91 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.0299098776005002 2 133 "GO:0001047" "core promoter binding" 0.885176168782646
0 1 2 7 "GO:0001055" "RNA polymerase II activity" 1
0 1 2 10 "GO:0001056" "RNA polymerase III activity" 1
0 1 2 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 1
0 0.416152816409296 2 105 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 1
0 0.00307000372222964 2 196 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.296820502218511
0 0.0916489381013899 2 100 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 1
0 1 2 97 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 1 2 9 "GO:0001091;GO:0001094" "RNA polymerase II basal transcription factor binding" 1
0 1 4 24 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 1 5 33 "GO:0001102" "RNA polymerase II activating transcription factor binding" 1
0 1 5 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 1
0 1 2 64 "GO:0001104" "RNA polymerase II transcription cofactor activity" 1
0 1 2 30 "GO:0001105" "RNA polymerase II transcription coactivator activity" 1
0 1 3 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 1
0 1 2 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 1
0 1 2 8 "GO:0001135" "RNA polymerase II transcription factor recruiting transcription factor activity" 1
0 1 2 80 "GO:0001158;GO:0035326" "enhancer binding" 1
0 1 3 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 1
0 1 4 8 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 1
0 1 3 9 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region DNA binding" 1
0 1 4 41 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 1
0 1 2 30 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 1
0 1 5 24 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 1
0 1 2 8 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 1
0 0.00820520065497212 4 27 "GO:0001221" "transcription cofactor binding" 0.60763459038913
0 0.0497262854382194 5 10 "GO:0001222" "transcription corepressor binding" 1
0 0.0497262854382194 5 10 "GO:0001223" "transcription coactivator binding" 1
0 0.0385320602957616 4 147 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.999474299589393
0 0.0104915758760424 4 263 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.648821139702622
0 1 2 5 "GO:0001517" "N-acetylglucosamine 6-O-sulfotransferase activity" 1
0 1 2 5 "GO:0001530" "lipopolysaccharide binding" 1
0 1 2 5 "GO:0001540" "beta-amyloid binding" 1
0 0.601799506555734 4 179 "GO:0001664" "G-protein coupled receptor binding" 1
0 1 5 5 "GO:0001665" "alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity" 1
0 1 2 5 "GO:0001671" "ATPase activator activity" 1
0 1 5 5 "GO:0001727" "lipid kinase activity" 1
0 1 5 6 "GO:0001784" "phosphotyrosine binding" 1
0 1 2 16 "GO:0001786" "phosphatidylserine binding" 1
0 1 3 6 "GO:0001848" "complement binding" 1
0 0.304585040057444 2 71 "GO:0001948" "glycoprotein binding" 1
0 1 3 17 "GO:0001965" "G-protein alpha-subunit binding" 1
0 1 3 19 "GO:0001968" "fibronectin binding" 1
0 1 2 50 "GO:0002020" "protease binding" 1
0 0.217523655436698 3 48 "GO:0002039" "p53 binding" 1
0 1 2 9 "GO:0002161" "aminoacyl-tRNA editing activity" 1
0 1 2 6 "GO:0002162" "dystroglycan binding" 1
0 1 2 35 "GO:0003678" "DNA helicase activity" 1
0 1 2 6 "GO:0003680" "AT DNA binding" 1
0 0.192424453673798 2 448 "GO:0003682" "chromatin binding" 1
0 1 5 50 "GO:0003684" "damaged DNA binding" 1
0 1 2 9 "GO:0003688" "DNA replication origin binding" 1
0 1 3 8 "GO:0003689;GO:0033170" "protein-DNA loading ATPase activity" 1
0 0.0234404310375019 2 121 "GO:0003690" "double-stranded DNA binding" 0.885176168782646
0 1 2 8 "GO:0003691" "double-stranded telomeric DNA binding" 1
0 1 2 78 "GO:0003697" "single-stranded DNA binding" 1
0 6.55615789557391e-05 2 747 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.0229473099098887
0 0.315216198473848 4 74 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 1
0 0.0209339971694751 3 44 "GO:0003707;GO:0004879;GO:0098531" "steroid hormone receptor activity" 0.885176168782646
0 1 3 6 "GO:0003708" "retinoic acid receptor activity" 1
0 0.016716029404253 2 194 "GO:0003713" "transcription coactivator activity" 0.81838893958322
0 0.494687244839381 2 133 "GO:0003714" "transcription corepressor activity" 1
0 1 3 7 "GO:0003720;GO:0003964" "telomerase activity" 1
0 1 3 62 "GO:0003725" "double-stranded RNA binding" 1
0 0.304585040057444 5 71 "GO:0003727" "single-stranded RNA binding" 1
0 0.0461048290118741 4 158 "GO:0003729" "mRNA binding" 1
0 0.217523655436698 5 48 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 87 "GO:0003735" "structural constituent of ribosome" 1
0 1 2 42 "GO:0003743" "translation initiation factor activity" 1
0 1 4 14 "GO:0003746" "translation elongation factor activity" 1
0 1 6 6 "GO:0003747;GO:0008079" "translation termination factor activity" 1
0 0.119802364324484 2 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 7 91 "GO:0003774" "motor activity" 1
