"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1183 0.192889111054663 3 10 "GO:0000030" "mannosyltransferase activity" 0.620387568466192
654 0.546904397885107 2 7 "GO:0000182" "rDNA binding" 0.859241975134587
-180 0.80226238495912 3 16 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.949122813492875
175 0.518626322250957 3 114 "GO:0000287" "magnesium ion binding" 0.853487723940912
-1671 0.193386301827422 5 5 "GO:0000339" "RNA cap binding" 0.620387568466192
-1593 0.214850096002464 4 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate 5-kinase activity" 0.64878805204671
2387 0.0418250074486698 3 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.318304602141825
610 6.12806793820544e-05 4 369 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.0118291603131778
641 0.0022551691806709 8 191 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.0771707455957146
731 0.0644649722266196 2 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.399751044706869
-21 0.956118090349938 2 57 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.989089832787333
572 2.78822694294099e-05 2 464 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.00653560395425368
577 0.000753335732406649 3 290 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.0401322490172997
1338 0.0624697186367982 3 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.391521445146136
362 0.0154541210817766 2 384 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.206517249527116
146 0.909829386223627 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.973808256305106
-193 0.782378882193679 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.944510701945029
-405 0.730028369299589 4 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.930428456312768
2213 0.0591416488516269 2 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.38507784696726
1058 0.000467998063065315 4 91 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0288680910480289
828 0.000956211991472257 3 133 "GO:0001047" "core promoter binding" 0.0459601181455981
-794 0.464426931325698 2 7 "GO:0001055" "RNA polymerase II activity" 0.836111157471149
-1968 0.0302760350687778 2 10 "GO:0001056" "RNA polymerase III activity" 0.284102695163581
1982 0.0910363708241738 2 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.455357532920361
258 0.359267532738671 3 105 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.760638823773555
505 0.0149953077101308 2 195 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.206517249527116
