"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-825 0.362477400308321 5 10 "GO:0000030" "mannosyltransferase activity" 0.727854619819109
-87 0.90304455465458 3 16 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.983831162202542
172 0.523385085775533 3 114 "GO:0000287" "magnesium ion binding" 0.826224254903514
630 3.38682339211536e-05 3 369 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.00255027801426287
667 0.00143039721276395 6 191 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.0307739743203216
1013 0.0102065931562401 8 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.10824738938942
620 0.10292463732583 2 57 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.428809446373723
513 0.000163637309353885 3 464 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.00770118087146721
647 0.00015117117097485 2 290 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.00758879278293747
913 0.202669770609846 2 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.585259584895455
587 8.30980786004923e-05 2 384 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.00481329639893621
253 0.716012596389357 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.907990270266387
1301 1.61300745470024e-05 2 91 "GO:0001046" "core promoter sequence-specific DNA binding" 0.0015182432667366
1204 1.47861366256593e-06 2 133 "GO:0001047" "core promoter binding" 0.000556698043956073
-2568 0.00459886684928143 2 10 "GO:0001056" "RNA polymerase III activity" 0.0679009164217435
542 0.053573954788393 3 105 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.312422065719834
637 0.00211859688571165 5 195 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0409052167933557
771 0.00740916113801356 2 100 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.0945609887614273
537 0.0661131771603073 4 97 "GO:0001085" "RNA polymerase II transcription factor binding" 0.34813442238959
293 0.617067891720988 3 24 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.884145501576094
539 0.280545415401167 2 33 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.679829722079133
-665 0.312055595673114 2 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.711321433823542
-46 0.897300064388964 4 64 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.983831162202542
-111 0.831450141632776 2 30 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.96320301022997
563 0.368237510610972 2 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.735498263899368
1149 0.1649756411119 2 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 0.547253998930664
621 0.0532560191189117 2 80 "GO:0001158;GO:0035326" "enhancer binding" 0.312422065719834
-799 0.355165596167229 3 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.727854619819109
312 0.486367190163672 4 41 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.800908116458375
462 0.377304740030194 4 30 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.737670724503448
544 0.352876856393421 2 24 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.727854619819109
1003 0.0693032176444374 4 27 "GO:0001221" "transcription cofactor binding" 0.35260353301528
-309 0.733104795994713 5 10 "GO:0001222" "transcription corepressor binding" 0.916989886019965
2345 0.0096727729105559 2 10 "GO:0001223" "transcription coactivator binding" 0.1055217192271
507 0.0329845017616339 4 147 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.22579390751373
545 0.00235821096864323 2 262 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0440379335948844
67 0.757289085812221 2 178 "GO:0001664" "G-protein coupled receptor binding" 0.928727494489581
248 0.728873996619714 3 16 "GO:0001786" "phosphatidylserine binding" 0.914989522580891
915 0.00773979965303046 3 70 "GO:0001948" "glycoprotein binding" 0.0950626900202294
516 0.457629186125003 3 17 "GO:0001965" "G-protein alpha-subunit binding" 0.783538225791907
1453 0.0314877621139388 2 18 "GO:0001968" "fibronectin binding" 0.222065719464041
841 0.0404424322533298 4 49 "GO:0002020" "protease binding" 0.260283346040661
