"ID","filename","APA2"
"15140C","        TT15140C_D1H1_Room.dat","consistent"
"15140C","        TT15140C_D1T1_Room.dat","consistent"
"15140C","        TT15140C_D1T2_Room.dat","consistent"
"15140C","        TT15140C_D1T3_Room.dat","consistent"
"15140C","        TT15140C_D2R1_Room.dat","consistent"
"15140C","        TT15140C_D2T4_Room.dat","consistent"
"15140C","        TT15140C_D2T5_Room.dat","consistent"
"15140C","        TT15140C_D2T6_Room.dat","consistent"
"15140C","        TT15140C_D2T7_Room.dat","consistent"
"15140C","        TT15140C_D3R2_Room.dat","consistent"
"15141C","        TT15141C_D1H1_Room.dat","consistent"
"15141C","        TT15141C_D1T1_Room.dat","consistent"
"15141C","        TT15141C_D1T2_Room.dat","consistent"
"15141C","        TT15141C_D1T3_Room.dat","consistent"
"15141C","        TT15141C_D2R1_Room.dat","consistent"
"15141C","        TT15141C_D2T4_Room.dat","consistent"
"15141C","        TT15141C_D2T5_Room.dat","consistent"
"15141C","        TT15141C_D2T6_Room.dat","consistent"
"15141C","        TT15141C_D3R2_Room.dat","consistent"
"15142C","        TT15142C_D1H1_Room.dat","consistent"
"15142C","        TT15142C_D1T1_Room.dat","consistent"
"15142C","        TT15142C_D1T2_Room.dat","consistent"
"15142C","        TT15142C_D1T3_Room.dat","consistent"
"15142C","        TT15142C_D2R1_Room.dat","consistent"
"15142C","        TT15142C_D2T4_Room.dat","consistent"
"15142C","        TT15142C_D2T5_Room.dat","consistent"
"15142C","        TT15142C_D2T6_Room.dat","consistent"
"15142C","        TT15142C_D2T7_Room.dat","consistent"
"15142C","        TT15142C_D4R2_Room.dat","consistent"
"15143C","        TT15143C_D1H1_Room.dat","consistent"
"15143C","        TT15143C_D1T1_Room.dat","consistent"
"15143C","        TT15143C_D1T2_Room.dat","consistent"
"15143C","        TT15143C_D1T3_Room.dat","consistent"
"15143C","        TT15143C_D2R1_Room.dat","consistent"
"15143C","        TT15143C_D2T4_Room.dat","consistent"
"15143C","        TT15143C_D2T5_Room.dat","consistent"
"15143C","        TT15143C_D2T6_Room.dat","consistent"
"15143C","        TT15143C_D3R2_Room.dat","consistent"
"15144C","        TT15144C_D1H1_Room.dat","consistent"
"15144C","        TT15144C_D1T1_Room.dat","consistent"
"15144C","        TT15144C_D1T2_Room.dat","consistent"
"15144C","        TT15144C_D1T3_Room.dat","consistent"
"15144C","        TT15144C_D2R1_Room.dat","consistent"
"15144C","        TT15144C_D2T4_Room.dat","consistent"
"15144C","        TT15144C_D2T5_Room.dat","consistent"
"15144C","        TT15144C_D2T6_Room.dat","consistent"
"15144C","        TT15144C_D3T7_Room.dat","consistent"
"15144C","        TT15144C_D3R2_Room.dat","consistent"
"15145C","        TT15145C_D1H1_Room.dat","consistent"
"15145C","        TT15145C_D1T1_Room.dat","consistent"
"15145C","        TT15145C_D1T2_Room.dat","consistent"
"15145C","        TT15145C_D1T3_Room.dat","consistent"
"15145C","        TT15145C_D2R1_Room.dat","consistent"
"15145C","        TT15145C_D2T4_Room.dat","consistent"
"15145C","        TT15145C_D2T5_Room.dat","consistent"
"15145C","        TT15145C_D2T6_Room.dat","consistent"
"15145C","        TT15145C_D3R2_Room.dat","consistent"
"15146C","        TT15146C_D1H1_Room.dat","consistent"
"15146C","        TT15146C_D1T1_Room.dat","consistent"
"15146C","        TT15146C_D1T2_Room.dat","consistent"
"15146C","        TT15146C_D1T3_Room.dat","consistent"
"15146C","        TT15146C_D2R1_Room.dat","consistent"
"15146C","        TT15146C_D2T4_Room.dat","consistent"
"15146C","        TT15146C_D2T5_Room.dat","consistent"
"15146C","        TT15146C_D2T6_Room.dat","consistent"
"15146C","        TT15146C_D3R2_Room.dat","consistent"
"15147C","        TT15147C_D1H1_Room.dat","consistent"
"15147C","        TT15147C_D1T1_Room.dat","consistent"
"15147C","        TT15147C_D1T2_Room.dat","consistent"
"15147C","        TT15147C_D1T3_Room.dat","consistent"
"15147C","        TT15147C_D2R1_Room.dat","consistent"
"15147C","        TT15147C_D2T4_Room.dat","consistent"
"15147C","        TT15147C_D2T5_Room.dat","consistent"
"15147C","        TT15147C_D2T6_Room.dat","consistent"
"15147C","        TT15147C_D3R2_Room.dat","consistent"
"15140D","        YT15140D_D1H1_Room.dat","yoked-consistent"
"15140D","        YT15140D_D1T1_Room.dat","yoked-consistent"
"15140D","        YT15140D_D1T2_Room.dat","yoked-consistent"
"15140D","        YT15140D_D1T3_Room.dat","yoked-consistent"
"15140D","        YT15140D_D2R1_Room.dat","yoked-consistent"
"15140D","        YT15140D_D2T4_Room.dat","yoked-consistent"
"15140D","        YT15140D_D2T5_Room.dat","yoked-consistent"
"15140D","        YT15140D_D2T6_Room.dat","yoked-consistent"
"15140D","        YT15140D_D2T7_Room.dat","yoked-consistent"
"15140D","        YT15140D_D3R2_Room.dat","yoked-consistent"
"15141D","        YT15141D_D1H1_Room.dat","yoked-consistent"
"15141D","        YT15141D_D1T1_Room.dat","yoked-consistent"
"15141D","        YT15141D_D1T2_Room.dat","yoked-consistent"
"15141D","        YT15141D_D1T3_Room.dat","yoked-consistent"
"15141D","       YT15141D_D1T31_Room.dat","yoked-consistent"
"15141D","        YT15141D_D2R1_Room.dat","yoked-consistent"
"15141D","        YT15141D_D2T4_Room.dat","yoked-consistent"
"15141D","        YT15141D_D2T5_Room.dat","yoked-consistent"
"15141D","        YT15141D_D2T6_Room.dat","yoked-consistent"
"15141D","        YT15141D_D3R2_Room.dat","yoked-consistent"
"15142D","        YT15142D_D1H1_Room.dat","yoked-consistent"
"15142D","        YT15142D_D1T1_Room.dat","yoked-consistent"
"15142D","        YT15142D_D1T2_Room.dat","yoked-consistent"
"15142D","        YT15142D_D1T3_Room.dat","yoked-consistent"
"15142D","        YT15142D_D2R1_Room.dat","yoked-consistent"
"15142D","        YT15142D_D2T4_Room.dat","yoked-consistent"
"15142D","        YT15142D_D2T5_Room.dat","yoked-consistent"
"15142D","        YT15142D_D2T6_Room.dat","yoked-consistent"
"15142D","        YT15142D_D2T7_Room.dat","yoked-consistent"
"15142D","        YT15142D_D4R2_Room.dat","yoked-consistent"
"15143D","        YT15143D_D1H1_Room.dat","yoked-consistent"
"15143D","        YT15143D_D1T1_Room.dat","yoked-consistent"
"15143D","        YT15143D_D1T2_Room.dat","yoked-consistent"
"15143D","        YT15143D_D1T3_Room.dat","yoked-consistent"
"15143D","        YT15143D_D2R1_Room.dat","yoked-consistent"
"15143D","        YT15143D_D2T4_Room.dat","yoked-consistent"
"15143D","        YT15143D_D2T5_Room.dat","yoked-consistent"
"15143D","        YT15143D_D2T6_Room.dat","yoked-consistent"
"15143D","        YT15143D_D3R2_Room.dat","yoked-consistent"
"15144D","        YT15144D_D1H1_Room.dat","yoked-consistent"
"15144D","        YT15144D_D1T1_Room.dat","yoked-consistent"
"15144D","        YT15144D_D1T2_Room.dat","yoked-consistent"
"15144D","        YT15144D_D1T3_Room.dat","yoked-consistent"
"15144D","        YT15144D_D2R1_Room.dat","yoked-consistent"
"15144D","        YT15144D_D2T4_Room.dat","yoked-consistent"
"15144D","        YT15144D_D2T5_Room.dat","yoked-consistent"
"15144D","        YT15144D_D2T6_Room.dat","yoked-consistent"
"15144D","        YT15144D_D3R2_Room.dat","yoked-consistent"
"15145D","        YT15145D_D1H1_Room.dat","yoked-consistent"
"15145D","        YT15145D_D1T1_Room.dat","yoked-consistent"
"15145D","        YT15145D_D1T2_Room.dat","yoked-consistent"
"15145D","        YT15145D_D1T3_Room.dat","yoked-consistent"
"15145D","        YT15145D_D2R1_Room.dat","yoked-consistent"
"15145D","        YT15145D_D2T4_Room.dat","yoked-consistent"
"15145D","        YT15145D_D2T5_Room.dat","yoked-consistent"
"15145D","        YT15145D_D2T6_Room.dat","yoked-consistent"
"15145D","        YT15145D_D3R2_Room.dat","yoked-consistent"
"15146D","        YT15146D_D1H1_Room.dat","yoked-consistent"
"15146D","        YT15146D_D1T1_Room.dat","yoked-consistent"
"15146D","        YT15146D_D1T2_Room.dat","yoked-consistent"
"15146D","        YT15146D_D1T3_Room.dat","yoked-consistent"
"15146D","        YT15146D_D2R1_Room.dat","yoked-consistent"
"15146D","        YT15146D_D2T4_Room.dat","yoked-consistent"
"15146D","        YT15146D_D2T5_Room.dat","yoked-consistent"
"15146D","        YT15146D_D2T6_Room.dat","yoked-consistent"
"15146D","        YT15146D_D3R2_Room.dat","yoked-consistent"
"15147D","        YT15147D_D1H1_Room.dat","yoked-consistent"
"15147D","        YT15147D_D1T1_Room.dat","yoked-consistent"
"15147D","        YT15147D_D1T2_Room.dat","yoked-consistent"
"15147D","        YT15147D_D1T3_Room.dat","yoked-consistent"
"15147D","        YT15147D_D2R1_Room.dat","yoked-consistent"
"15147D","        YT15147D_D2T4_Room.dat","yoked-consistent"
"15147D","        YT15147D_D2T5_Room.dat","yoked-consistent"
"15147D","        YT15147D_D2T6_Room.dat","yoked-consistent"
"15147D","        YT15147D_D3R2_Room.dat","yoked-consistent"
"15140A","        TC15140A_D1H1_Room.dat","conflict"
"15140A","        TC15140A_D1T1_Room.dat","conflict"
"15140A","        TC15140A_D1T2_Room.dat","conflict"
"15140A","        TC15140A_D1T3_Room.dat","conflict"
"15140A","        TC15140A_D2R1_Room.dat","conflict"
"15140A","        TC15140A_D2C1_Room.dat","conflict"
"15140A","        TC15140A_D2C2_Room.dat","conflict"
"15140A","        TC15140A_D2C3_Room.dat","conflict"
"15140A","        TC15140A_D3R2_Room.dat","conflict"
"15142A","        TC15142A_D1H1_Room.dat","conflict"
"15142A","        TC15142A_D1T1_Room.dat","conflict"
"15142A","        TC15142A_D1T2_Room.dat","conflict"
"15142A","        TC15142A_D1T3_Room.dat","conflict"
"15142A","        TC15142A_D2R1_Room.dat","conflict"
"15142A","        TC15142A_D2C1_Room.dat","conflict"
"15142A","        TC15142A_D2C2_Room.dat","conflict"
"15142A","        TC15142A_D2C3_Room.dat","conflict"
"15142A","        TC15142A_D2C4_Room.dat","conflict"
"15142A","        TC15142A_D3R2_Room.dat","conflict"
"15143A","        TC15143A_D1H1_Room.dat","conflict"
"15143A","        TC15143A_D1T1_Room.dat","conflict"
"15143A","        TC15143A_D1T2_Room.dat","conflict"
"15143A","        TC15143A_D1T3_Room.dat","conflict"
"15143A","        TC15143A_D2R1_Room.dat","conflict"
"15143A","        TC15143A_D2C1_Room.dat","conflict"
"15143A","        TC15143A_D2C2_Room.dat","conflict"
"15143A","        TC15143A_D2C3_Room.dat","conflict"
"15143A","        TC15143A_D3R2_Room.dat","conflict"
"15144A","        TC15144A_D1H1_Room.dat","conflict"
"15144A","        TC15144A_D1T1_Room.dat","conflict"
"15144A","        TC15144A_D1T2_Room.dat","conflict"
"15144A","        TC15144A_D1T3_Room.dat","conflict"
"15144A","        TC15144A_D2R1_Room.dat","conflict"
"15144A","        TC15144A_D2C1_Room.dat","conflict"
"15144A","        TC15144A_D2C2_Room.dat","conflict"
"15144A","        TC15144A_D2C3_Room.dat","conflict"
"15144A","        TC15144A_D3R2_Room.dat","conflict"
"15145A","        TC15145A_D1H1_Room.dat","conflict"
"15145A","        TC15145A_D1T1_Room.dat","conflict"
"15145A","        TC15145A_D1T2_Room.dat","conflict"
"15145A","        TC15145A_D1T3_Room.dat","conflict"
"15145A","        TC15145A_D2R1_Room.dat","conflict"
"15145A","        TC15145A_D2C1_Room.dat","conflict"
"15145A","        TC15145A_D2C2_Room.dat","conflict"
"15145A","        TC15145A_D2C3_Room.dat","conflict"
"15145A","        TC15145A_D3R2_Room.dat","conflict"
"15146A","        TC15146A_D1H1_Room.dat","conflict"
"15146A","        TC15146A_D1T1_Room.dat","conflict"
"15146A","        TC15146A_D1T2_Room.dat","conflict"
"15146A","        TC15146A_D1T3_Room.dat","conflict"
"15146A","        TC15146A_D2R1_Room.dat","conflict"
"15146A","        TC15146A_D2C1_Room.dat","conflict"
"15146A","        TC15146A_D2C2_Room.dat","conflict"
"15146A","        TC15146A_D2C3_Room.dat","conflict"
"15146A","        TC15146A_D3R2_Room.dat","conflict"
"15147A","        TC15147A_D1H1_Room.dat","conflict"
"15147A","        TC15147A_D1T1_Room.dat","conflict"
"15147A","        TC15147A_D1T2_Room.dat","conflict"
"15147A","        TC15147A_D1T3_Room.dat","conflict"
"15147A","        TC15147A_D2R1_Room.dat","conflict"
"15147A","        TC15147A_D2C1_Room.dat","conflict"
"15147A","        TC15147A_D2C2_Room.dat","conflict"
"15147A","        TC15147A_D2C3_Room.dat","conflict"
"15147A","        TC15147A_D3R2_Room.dat","conflict"
"15148A","        TC15148A_D1H1_Room.dat","conflict"
"15148A","        TC15148A_D1T1_Room.dat","conflict"
"15148A","        TC15148A_D1T2_Room.dat","conflict"
"15148A","        TC15148A_D1T3_Room.dat","conflict"
"15148A","        TC15148A_D2R1_Room.dat","conflict"
"15148A","        TC15148A_D2C1_Room.dat","conflict"
"15148A","        TC15148A_D2C2_Room.dat","conflict"
"15148A","        TC15148A_D2C3_Room.dat","conflict"
"15148A","        TC15148A_D3R2_Room.dat","conflict"
"15148C","        TC15148C_D1H1_Room.dat","conflict"
"15148C","        TC15148C_D1T1_Room.dat","conflict"
"15148C","        TC15148C_D1T2_Room.dat","conflict"
"15148C","        TC15148C_D1T3_Room.dat","conflict"
"15148C","        TC15148C_D2R1_Room.dat","conflict"
"15148C","        TC15148C_D2C1_Room.dat","conflict"
"15148C","        TC15148C_D2C2_Room.dat","conflict"
"15148C","        TC15148C_D2C3_Room.dat","conflict"
"15148C","        TC15148C_D2C4_Room.dat","conflict"
"15148C","        TC15148C_D3R2_Room.dat","conflict"
"15140B","        YC15140B_D1H1_Room.dat","yoked-conflict"
"15140B","        YC15140B_D1T1_Room.dat","yoked-conflict"
"15140B","        YC15140B_D1T2_Room.dat","yoked-conflict"
"15140B","        YC15140B_D1T3_Room.dat","yoked-conflict"
"15140B","        YC15140B_D2R1_Room.dat","yoked-conflict"
"15140B","        YC15140B_D2C1_Room.dat","yoked-conflict"
"15140B","        YC15140B_D2C2_Room.dat","yoked-conflict"
"15140B","        YC15140B_D2C3_Room.dat","yoked-conflict"
"15140B","        YC15140B_D3R2_Room.dat","yoked-conflict"
"15142B","        YC15142B_D1H1_Room.dat","yoked-conflict"
"15142B","        YC15142B_D1T1_Room.dat","yoked-conflict"
"15142B","        YC15142B_D1T2_Room.dat","yoked-conflict"
"15142B","        YC15142B_D1T3_Room.dat","yoked-conflict"
"15142B","        YC15142B_D2R1_Room.dat","yoked-conflict"
"15142B","        YC15142B_D2C1_Room.dat","yoked-conflict"
"15142B","        YC15142B_D2C2_Room.dat","yoked-conflict"
"15142B","        YC15142B_D2C3_Room.dat","yoked-conflict"
"15142B","        YC15142B_D2C4_Room.dat","yoked-conflict"
"15142B","        YC15142B_D3R2_Room.dat","yoked-conflict"
"15143B","        YC15143B_D1H1_Room.dat","yoked-conflict"
"15143B","        YC15143B_D1T1_Room.dat","yoked-conflict"
"15143B","        YC15143B_D1T2_Room.dat","yoked-conflict"
"15143B","        YC15143B_D1T3_Room.dat","yoked-conflict"
"15143B","        YC15143B_D2R1_Room.dat","yoked-conflict"
"15143B","        YC15143B_D2C1_Room.dat","yoked-conflict"
"15143B","        YC15143B_D2C2_Room.dat","yoked-conflict"
"15143B","        YC15143B_D2C3_Room.dat","yoked-conflict"
"15143B","        YC15143B_D3R2_Room.dat","yoked-conflict"
"15144B","        YC15144B_D1H1_Room.dat","yoked-conflict"
"15144B","        YC15144B_D1T1_Room.dat","yoked-conflict"
"15144B","        YC15144B_D1T2_Room.dat","yoked-conflict"
"15144B","        YC15144B_D1T3_Room.dat","yoked-conflict"
"15144B","        YC15144B_D2R1_Room.dat","yoked-conflict"
"15144B","        YC15144B_D2C1_Room.dat","yoked-conflict"
"15144B","        YC15144B_D2C2_Room.dat","yoked-conflict"
