"","samplename","title","sourcename","organism","char1","char2","mol","des","Group","processes","R1filename","R2filename","process2"
"1","142C-CA1-S","15142C CA1 consistent","JA16268","15-142C","Mus musculus","C57BL/6","RNA"," ","consistent","142C-CA1-S /abundance.txt","142C_CA1_S_S19_L003_R1_001.fastq.gz","142C_CA1_S_S19_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"2","142C-DG-S","15142C DG consistent","JA16268","15-142C","Mus musculus","C57BL/6","RNA"," ","consistent","142C-DG-S /abundance.txt","142C_DG_S_S21_L003_R1_001.fastq.gz","142C_DG_S_S21_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"3","143A-CA3-1","15143A CA3 conflict","JA16444","15-143A","Mus musculus","C57BL/6","RNA"," ","conflict","143A-CA3-1 /abundance.txt","143A_CA3_1_S35_L002_R1_001.fastq.gz","143A_CA3_1_S35_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"4","143A-DG-1","15143A DG conflict","JA16444","15-143A","Mus musculus","C57BL/6","RNA"," ","conflict","143A-DG-1 /abundance.txt","143A_DG_1_S36_L002_R1_001.fastq.gz","143A_DG_1_S36_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"5","143B-CA1-1","15143B CA1 control","JA16444","15-143B","Mus musculus","C57BL/6","RNA"," ","control","143B-CA1-1 /abundance.txt","143B_CA1_1_S37_L002_R1_001.fastq.gz","143B_CA1_1_S37_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"6","143B-DG-1","15143B DG control","JA16444","15-143B","Mus musculus","C57BL/6","RNA"," ","control","143B-DG-1 /abundance.txt","143B_DG_1_S38_L002_R1_001.fastq.gz","143B_DG_1_S38_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"7","143C-CA1-S","15143C CA1 consistent","JA16268","15-143C","Mus musculus","C57BL/6","RNA"," ","consistent","143C-CA1-S /abundance.txt","143C_CA1_S_S20_L003_R1_001.fastq.gz","143C_CA1_S_S20_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"8","143C-DG-S","15143C DG consistent","JA16268","15-143C","Mus musculus","C57BL/6","RNA"," ","consistent","143C-DG-S /abundance.txt","143C_DG_S_S22_L003_R1_001.fastq.gz","143C_DG_S_S22_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"9","143C-CA1-1","15143C CA1 consistent","JA16444","15-143C","Mus musculus","C57BL/6","RNA"," ","consistent","143C-CA1-1 /abundance.txt","143C_CA1_1_S39_L002_R1_001.fastq.gz","143C_CA1_1_S39_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"10","143D-CA1-3","15143D CA1 control","JA16444","15-143D","Mus musculus","C57BL/6","RNA"," ","control","143D-CA1-3 /abundance.txt","143D_CA1_3_S40_L002_R1_001.fastq.gz","143D_CA1_3_S40_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"11","143D-DG-3","15143D DG control","JA16444","15-143D","Mus musculus","C57BL/6","RNA"," ","control","143D-DG-3 /abundance.txt","143D_DG_3_S41_L002_R1_001.fastq.gz","143D_DG_3_S41_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"12","144A-CA1-2","15144A CA1 conflict","JA16444","15-144A","Mus musculus","C57BL/6","RNA"," ","conflict","144A-CA1-2 /abundance.txt","144A_CA1_2_S42_L002_R1_001.fastq.gz","144A_CA1_2_S42_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"13","144A-CA3-2","15144A CA3 conflict","JA16444","15-144A","Mus musculus","C57BL/6","RNA"," ","conflict","144A-CA3-2 /abundance.txt","144A_CA3_2_S43_L002_R1_001.fastq.gz","144A_CA3_2_S43_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"14","144A-DG-2","15144A DG conflict","JA16444","15-144A","Mus musculus","C57BL/6","RNA"," ","conflict","144A-DG-2 /abundance.txt","144A_DG_2_S44_L002_R1_001.fastq.gz","144A_DG_2_S44_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"15","144B-CA1-1","15144B CA1 control","JA16444","15-144B","Mus musculus","C57BL/6","RNA"," ","control","144B-CA1-1 /abundance.txt","144B_CA1_1_S45_L002_R1_001.fastq.gz","144B_CA1_1_S45_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"16","144B-CA3-1","15144B CA3 control","JA16444","15-144B","Mus musculus","C57BL/6","RNA"," ","control","144B-CA3-1 /abundance.txt","144B_CA3_1_S46_L002_R1_001.fastq.gz","144B_CA3_1_S46_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"17","144C-CA1-2","15144C CA1 consistent","JA16444","15-144C","Mus musculus","C57BL/6","RNA"," ","consistent","144C-CA1-2 /abundance.txt","144C_CA1_2_S47_L002_R1_001.fastq.gz","144C_CA1_2_S47_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"18","144C-CA3-2","15144C CA3 consistent","JA16444","15-144C","Mus musculus","C57BL/6","RNA"," ","consistent","144C-CA3-2 /abundance.txt","144C_CA3_2_S48_L002_R1_001.fastq.gz","144C_CA3_2_S48_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"19","144C-DG-2","15144C DG consistent","JA16444","15-144C","Mus musculus","C57BL/6","RNA"," ","consistent","144C-DG-2 /abundance.txt","144C_DG_2_S49_L002_R1_001.fastq.gz","144C_DG_2_S49_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"20","144D-CA3-2","15144D CA3 control","JA16444","15-144D","Mus musculus","C57BL/6","RNA"," ","control","144D-CA3-2 /abundance.txt","144D_CA3_2_S50_L002_R1_001.fastq.gz","144D_CA3_2_S50_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"21","144D-DG-2","15144D DG control","JA16444","15-144D","Mus musculus","C57BL/6","RNA"," ","control","144D-DG-2 /abundance.txt","144D_DG_2_S51_L002_R1_001.fastq.gz","144D_DG_2_S51_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"22","145A-CA1-2","15145A CA1 conflict","JA16444","15-145A","Mus musculus","C57BL/6","RNA"," ","conflict","145A-CA1-2 /abundance.txt","145A_CA1_2_S52_L002_R1_001.fastq.gz","145A_CA1_2_S52_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"23","145A-CA3-2","15145A CA3 conflict","JA16444","15-145A","Mus musculus","C57BL/6","RNA"," ","conflict","145A-CA3-2 /abundance.txt","145A_CA3_2_S53_L002_R1_001.fastq.gz","145A_CA3_2_S53_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"24","145A-DG-2","15145A DG conflict","JA16444","15-145A","Mus musculus","C57BL/6","RNA"," ","conflict","145A-DG-2 /abundance.txt","145A_DG_2_S54_L002_R1_001.fastq.gz","145A_DG_2_S54_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"25","145B-CA1-1","15145B CA1 control","JA16444","15-145B","Mus musculus","C57BL/6","RNA"," ","control","145B-CA1-1 /abundance.txt","145B_CA1_1_S55_L002_R1_001.fastq.gz","145B_CA1_1_S55_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"26","145B-DG-1","15145B DG control","JA16444","15-145B","Mus musculus","C57BL/6","RNA"," ","control","145B-DG-1 /abundance.txt","145B_DG_1_S57_L002_R1_001.fastq.gz","145B_DG_1_S57_L002_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"27","146A-CA1-2","15146A CA1 conflict","JA16444","15-146A","Mus musculus","C57BL/6","RNA"," ","conflict","146A-CA1-2 /abundance.txt","146A_CA1_2_S58_L003_R1_001.fastq.gz","146A_CA1_2_S58_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"28","146A-CA3-2","15146A CA3 conflict","JA16444","15-146A","Mus musculus","C57BL/6","RNA"," ","conflict","146A-CA3-2 /abundance.txt","146A_CA3_2_S59_L003_R1_001.fastq.gz","146A_CA3_2_S59_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"29","146A-DG-2","15146A DG conflict","JA16444","15-146A","Mus musculus","C57BL/6","RNA"," ","conflict","146A-DG-2 /abundance.txt","146A_DG_2_S60_L003_R1_001.fastq.gz","146A_DG_2_S60_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"30","146B-CA1-2","15146B CA1 control","JA16444","15-146B","Mus musculus","C57BL/6","RNA"," ","control","146B-CA1-2 /abundance.txt","146B_CA1_2_S61_L003_R1_001.fastq.gz","146B_CA1_2_S61_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
