"ID","treatment","trialNum","Day","PC1","PC2"
"15140A","conflict.trained",9,3,2.09853639324853,-1.22683753492101
"15140B","conflict.yoked",9,3,-0.803027626836712,-1.59143292874011
"15140C","standard.trained",9,3,6.43463883323636,0.171008536567821
"15140D","standard.yoked",9,3,-1.13184424935476,1.71556938729817
"15141C","standard.trained",9,3,-0.164459581661155,1.13722876690162
"15141D","standard.yoked",9,3,-2.77458643022001,2.22148673856328
"15142A","conflict.trained",9,3,2.21983669911059,-0.136797798700639
"15142B","conflict.yoked",9,3,-0.148916429532684,-0.695109117533761
"15142C","standard.trained",9,4,5.47240104046497,-1.64423076691213
"15142D","standard.yoked",9,4,-2.89475723992102,-1.60404566065042
"15143A","conflict.trained",9,3,-0.227503872529299,3.03543737772736
"15143B","conflict.yoked",9,3,-3.14366274031751,-0.488342908007758
"15143C","standard.trained",9,3,5.88603904877922,0.332350633370283
"15143D","standard.yoked",9,3,-2.75327194839813,-0.0758480924418908
"15144A","conflict.trained",9,3,6.7041815320433,-0.0785371854937037
"15144B","conflict.yoked",9,3,-2.34767300680143,-0.0283647533780785
"15144C","standard.trained",9,4,7.0499369186223,-1.78499206484036
"15144D","standard.yoked",9,3,-3.30262843896572,1.17314374317798
"15145A","conflict.trained",9,3,6.93926898436082,0.258661805731786
"15145B","conflict.yoked",9,3,-1.31554825039484,1.65006063385895
"15145C","standard.trained",9,3,-0.435650552941855,-0.601803222180512
"15145D","standard.yoked",9,3,-2.67020075859146,3.93899576516546
"15146A","conflict.trained",9,3,6.94306075618733,0.0368477447149329
"15146B","conflict.yoked",9,3,-1.43973162345974,2.00572330130975
"15146C","standard.trained",9,3,4.1176614187888,-1.14256371369996
"15146D","standard.yoked",9,3,-1.55055221831252,2.93792498009093
"15147A","conflict.trained",9,3,-0.655298743232545,-3.10701933853353
"15147B","conflict.yoked",9,3,-0.559262791707973,1.38531143864187
"15147C","standard.trained",9,3,5.30428309018512,-0.987544797090164
"15147D","standard.yoked",9,3,-3.08722990779175,4.45313975414287
"15148A","conflict.trained",9,3,-0.155440703606241,-0.072322842412781
"15148B","conflict.yoked",9,3,-1.69991712199111,2.86451259226846
"15148C","conflict.trained",9,3,-1.42343425246291,1.66258076608787
"15148D","conflict.yoked",9,3,-2.30254930105179,3.58910242774596
