"trials","ANOVA","Predictor","df","F","p"
"Pre-training (Pre)","NumEntrances ~ treatment","treatment","3, 30","0.09",".967"
"Pre-training (Pre)","pTimeShockZone ~ treatment","treatment","3, 30","0.78",".512"
"Pre-training (Pre)","Time1stEntr ~ treatment","treatment","3, 30","0.80",".506"
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","treatment","3, 90","26.42",".000"
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","trial","2, 90","5.88",".004"
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","treatment x trial","6, 90","0.72",".631"
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","treatment","3, 90","48.26",".000"
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","trial","2, 90","0.88",".419"
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","treatment x trial","6, 90","0.59",".736"
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","treatment","3, 90","0.02",".997"
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","trial","2, 90","0.11",".895"
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","treatment x trial","6, 90","3.24",".006"
"Initial recall (Rt)","NumEntrances ~ treatment","treatment","3, 30","45.44",".000"
"Initial recall (Rt)","pTimeShockZone ~ treatment","treatment","3, 30","129.49",".000"
"Initial recall (Rt)","Time1stEntr ~ treatment","treatment","3, 30","7.96",".000"
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","treatment","3, 90","9.37",".000"
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","trial","2, 90","0.09",".913"
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","treatment x trial","6, 90","3.43",".004"
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","treatment","3, 90","25.26",".000"
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","trial","2, 90","0.03",".972"
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","treatment x trial","6, 90","1.54",".174"
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","treatment","3, 90","6.03",".001"
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","trial","2, 90","0.05",".954"
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","treatment x trial","6, 90","1.74",".120"
"Conflict recall (Rn)","NumEntrances ~ treatment","treatment","3, 30","18.01",".000"
"Conflict recall (Rn)","pTimeShockZone ~ treatment","treatment","3, 30","26.90",".000"
"Conflict recall (Rn)","Time1stEntr ~ treatment","treatment","3, 30","5.97",".003"
"All trials","PC1 ~ treatment","treatment","3, 302","101.35",".000"
"All trails","PC2 ~ treatment","treatment","3, 302","10.61",".000"
"Retention (Rn)","PC1 ~ treatment","treatment","3, 30","18.53",".000"
"Retention","PC2 ~ treatment","treatment","3, 30","0.36",".782"
