"APA2","TrainSessionComboNum","m","se"
"yoked-consistent",1,31.375,2.32177195262584
"yoked-consistent",2,21.375,2.01722493256737
"yoked-consistent",3,15.375,1.40073322635988
"yoked-consistent",4,14.5,2.00890873006075
"yoked-consistent",5,16.875,0.875
"yoked-consistent",6,15,1.55838744494796
"yoked-consistent",7,13.875,1.45697215386666
"yoked-consistent",8,14.875,1.66301683695626
"yoked-consistent",9,17,1.5
"yoked-conflict",1,32.3333333333333,1.15470053837925
"yoked-conflict",2,20.7777777777778,1.22222222222222
"yoked-conflict",3,13.5555555555556,1.93010586289336
"yoked-conflict",4,15.6666666666667,1.69967317119759
"yoked-conflict",5,16.1111111111111,1.75945418023479
"yoked-conflict",6,14.8888888888889,1.37885262733232
"yoked-conflict",7,14.4444444444444,1.13175271041463
"yoked-conflict",8,16.5555555555556,2.20549258236436
"yoked-conflict",9,14,1.49071198499986
"consistent",1,31.125,2.13338681108567
"consistent",2,7.125,0.854348122421835
"consistent",3,5.25,2.11077169368389
"consistent",4,3.375,1.17924764150708
"consistent",5,3.375,0.924613818999973
"consistent",6,4.25,1.67705098312484
"consistent",7,3.625,1.28086884574495
"consistent",8,4.25,2.04197033698897
"consistent",9,3.25,1.31949665727937
"conflict",1,31.6666666666667,1.52752523165195
"conflict",2,8.33333333333333,1.10554159678513
"conflict",3,2.55555555555556,0.293972367896066
"conflict",4,2.55555555555556,1.20313376820598
"conflict",5,2.22222222222222,0.74120355911813
"conflict",6,18.4444444444444,2.82405889491974
"conflict",7,6.22222222222222,2.7627370575903
"conflict",8,5.88888888888889,2.38888888888889
"conflict",9,5.44444444444444,1.74889735985524
