"","APA","Session"
"conflict_Hab","conflict","Hab"
"conflict_Retention","conflict","Retention"
"conflict_Retest","conflict","Retest"
"conflict_T1","conflict","T1"
"conflict_T2","conflict","T2"
"conflict_T3","conflict","T3"
"conflict_T4_C1","conflict","T4_C1"
"conflict_T5_C2","conflict","T5_C2"
"conflict_T6_C3","conflict","T6_C3"
"consistent_Hab","consistent","Hab"
"consistent_Retention","consistent","Retention"
"consistent_Retest","consistent","Retest"
"consistent_T1","consistent","T1"
"consistent_T2","consistent","T2"
"consistent_T3","consistent","T3"
"consistent_T4_C1","consistent","T4_C1"
"consistent_T5_C2","consistent","T5_C2"
"consistent_T6_C3","consistent","T6_C3"
"control_Hab","control","Hab"
"control_Retention","control","Retention"
"control_Retest","control","Retest"
"control_T1","control","T1"
"control_T2","control","T2"
"control_T3","control","T3"
"control_T4_C1","control","T4_C1"
"control_T5_C2","control","T5_C2"
"control_T6_C3","control","T6_C3"
