"treatment","TrainSessionComboNum","m","se","measure"
"standard.yoked",1,31.375,2.32177195262584,"Number of target zone entrances"
"standard.yoked",2,21.375,2.01722493256737,"Number of target zone entrances"
"standard.yoked",3,15.375,1.40073322635988,"Number of target zone entrances"
"standard.yoked",4,14.5,2.00890873006075,"Number of target zone entrances"
"standard.yoked",5,16.875,0.875,"Number of target zone entrances"
"standard.yoked",6,15,1.55838744494796,"Number of target zone entrances"
"standard.yoked",7,13.875,1.45697215386666,"Number of target zone entrances"
"standard.yoked",8,14.875,1.66301683695626,"Number of target zone entrances"
"standard.yoked",9,17,1.5,"Number of target zone entrances"
"standard.trained",1,31.125,2.13338681108567,"Number of target zone entrances"
"standard.trained",2,7.125,0.854348122421835,"Number of target zone entrances"
"standard.trained",3,5.25,2.11077169368389,"Number of target zone entrances"
"standard.trained",4,3.375,1.17924764150708,"Number of target zone entrances"
"standard.trained",5,3.375,0.924613818999973,"Number of target zone entrances"
"standard.trained",6,4.25,1.67705098312484,"Number of target zone entrances"
"standard.trained",7,3.625,1.28086884574495,"Number of target zone entrances"
"standard.trained",8,4.25,2.04197033698897,"Number of target zone entrances"
"standard.trained",9,3.25,1.31949665727937,"Number of target zone entrances"
"conflict.yoked",1,32.3333333333333,1.15470053837925,"Number of target zone entrances"
"conflict.yoked",2,20.7777777777778,1.22222222222222,"Number of target zone entrances"
"conflict.yoked",3,13.5555555555556,1.93010586289336,"Number of target zone entrances"
"conflict.yoked",4,15.6666666666667,1.69967317119759,"Number of target zone entrances"
"conflict.yoked",5,16.1111111111111,1.75945418023479,"Number of target zone entrances"
"conflict.yoked",6,14.8888888888889,1.37885262733232,"Number of target zone entrances"
"conflict.yoked",7,14.4444444444444,1.13175271041463,"Number of target zone entrances"
"conflict.yoked",8,16.5555555555556,2.20549258236436,"Number of target zone entrances"
"conflict.yoked",9,14,1.49071198499986,"Number of target zone entrances"
"conflict.trained",1,31.6666666666667,1.52752523165195,"Number of target zone entrances"
"conflict.trained",2,8.33333333333333,1.10554159678513,"Number of target zone entrances"
"conflict.trained",3,2.55555555555556,0.293972367896066,"Number of target zone entrances"
"conflict.trained",4,2.55555555555556,1.20313376820598,"Number of target zone entrances"
"conflict.trained",5,2.22222222222222,0.74120355911813,"Number of target zone entrances"
"conflict.trained",6,18.4444444444444,2.82405889491974,"Number of target zone entrances"
"conflict.trained",7,6.22222222222222,2.7627370575903,"Number of target zone entrances"
"conflict.trained",8,5.88888888888889,2.38888888888889,"Number of target zone entrances"
"conflict.trained",9,5.44444444444444,1.74889735985524,"Number of target zone entrances"
"standard.yoked",1,0.207895833333333,0.0695415396122837,"Time to 1st target zone entrance (min)"
"standard.yoked",2,0.275604166666667,0.128832285839008,"Time to 1st target zone entrance (min)"
"standard.yoked",3,0.691166666666667,0.191643456151558,"Time to 1st target zone entrance (min)"
"standard.yoked",4,0.519520833333333,0.115662212748319,"Time to 1st target zone entrance (min)"
"standard.yoked",5,0.251791666666667,0.0784573091251461,"Time to 1st target zone entrance (min)"
"standard.yoked",6,0.705,0.0659927845983758,"Time to 1st target zone entrance (min)"
"standard.yoked",7,0.3243125,0.0636128187695338,"Time to 1st target zone entrance (min)"
"standard.yoked",8,0.481645833333333,0.0881520570165552,"Time to 1st target zone entrance (min)"
"standard.yoked",9,0.420791666666667,0.102343016400497,"Time to 1st target zone entrance (min)"
"standard.trained",1,0.102354166666667,0.0378043789652523,"Time to 1st target zone entrance (min)"
"standard.trained",2,0.0773333333333333,0.0222180973354234,"Time to 1st target zone entrance (min)"
"standard.trained",3,2.09339583333333,0.995514599289389,"Time to 1st target zone entrance (min)"
"standard.trained",4,2.9736875,1.26380185645475,"Time to 1st target zone entrance (min)"
"standard.trained",5,3.77327083333333,1.2319640733855,"Time to 1st target zone entrance (min)"
"standard.trained",6,4.6429375,1.29553834107369,"Time to 1st target zone entrance (min)"
"standard.trained",7,2.93020833333333,1.55425236255185,"Time to 1st target zone entrance (min)"
"standard.trained",8,5.29966666666667,1.77902791390478,"Time to 1st target zone entrance (min)"
"standard.trained",9,5.9869375,1.4811079383814,"Time to 1st target zone entrance (min)"
"conflict.yoked",1,0.182518518518519,0.0339724657532432,"Time to 1st target zone entrance (min)"
"conflict.yoked",2,0.164185185185185,0.0619995920713161,"Time to 1st target zone entrance (min)"
"conflict.yoked",3,0.69512962962963,0.160809247327581,"Time to 1st target zone entrance (min)"
"conflict.yoked",4,0.444833333333333,0.148184921072737,"Time to 1st target zone entrance (min)"
"conflict.yoked",5,0.560611111111111,0.193394590391232,"Time to 1st target zone entrance (min)"
"conflict.yoked",6,0.342462962962963,0.0778347498571323,"Time to 1st target zone entrance (min)"
"conflict.yoked",7,0.186648148148148,0.0498653390690005,"Time to 1st target zone entrance (min)"
"conflict.yoked",8,0.672462962962963,0.249828425349244,"Time to 1st target zone entrance (min)"
"conflict.yoked",9,0.920925925925926,0.26726023221111,"Time to 1st target zone entrance (min)"
"conflict.trained",1,0.165037037037037,0.0500816214794781,"Time to 1st target zone entrance (min)"
"conflict.trained",2,0.122037037037037,0.0272031364184605,"Time to 1st target zone entrance (min)"
"conflict.trained",3,1.38557407407407,0.796365658746918,"Time to 1st target zone entrance (min)"
"conflict.trained",4,4.45092592592593,1.08264594934306,"Time to 1st target zone entrance (min)"
