"ID","treatment","Hab","Retention","Retest","T1","T2","T3","T4_C1","T5_C2","T6_C3","sums"
"15140A","conflict
trained",52,9,1,7,3,3,13,6,2,96
"15140C","standard
trained",62,0,10,6,7,8,3,8,0,104
"15141C","standard
trained",44,21,7,8,19,11,10,7,12,139
"15142A","conflict
trained",60,6,0,7,4,2,7,3,3,92
"15142C","standard
trained",57,8,1,5,1,1,0,0,0,73
"15143A","conflict
trained",56,33,2,10,3,1,14,2,1,122
"15143C","standard
trained",52,1,2,10,3,1,0,1,0,70
"15144A","conflict
trained",64,0,1,12,4,1,26,3,1,112
"15144C","standard
trained",64,0,1,9,3,2,3,0,1,83
"15145A","conflict
trained",59,0,6,6,2,1,29,4,4,111
"15145C","standard
trained",54,28,6,10,7,5,5,9,13,137
"15146A","conflict
trained",66,0,1,25,2,1,26,1,1,123
"15146C","standard
trained",58,4,3,5,1,1,13,4,8,97
"15147A","conflict
trained",48,30,5,6,3,1,15,5,9,122
"15147C","standard
trained",49,5,1,4,2,1,2,1,0,65
"15148A","conflict
trained",61,40,0,7,1,1,24,5,9,148
"15148C","conflict
trained",50,37,4,7,3,15,33,28,23,200
"15140A","conflict
yoked",52,9,1,7,3,3,13,6,2,96
"15140C","standard
yoked",62,0,10,6,7,8,3,8,0,104
"15141C","standard
yoked",44,21,7,8,19,11,10,7,12,139
"15142A","conflict
yoked",60,6,0,7,4,2,7,3,3,92
"15142C","standard
yoked",57,8,1,5,1,1,0,0,0,73
"15143A","conflict
yoked",56,33,2,10,3,1,14,2,1,122
"15143C","standard
yoked",52,1,2,10,3,1,0,1,0,70
"15144A","conflict
yoked",64,0,1,12,4,1,26,3,1,112
"15144C","standard
yoked",64,0,1,9,3,2,3,0,1,83
"15145A","conflict
yoked",59,0,6,6,2,1,29,4,4,111
"15145C","standard
yoked",54,28,6,10,7,5,5,9,13,137
"15146A","conflict
yoked",66,0,1,25,2,1,26,1,1,123
"15146C","standard
yoked",58,4,3,5,1,1,13,4,8,97
"15147A","conflict
yoked",48,30,5,6,3,1,15,5,9,122
"15147C","standard
yoked",49,5,1,4,2,1,2,1,0,65
"15148A","conflict
yoked",61,40,0,7,1,1,24,5,9,148
"15148C","conflict
yoked",50,37,4,7,3,15,33,28,23,200
