"ID","Day","treatment","training","TrainSessionCombo","TrainSessionComboNum","ShockOnOff","PairedPartner","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeShockZone","pTimeShockZone","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"15140A",3,"conflict.trained","trained","Retention",9,"Off","15140B",3.21,0.2926,4,102.43,2.82,18.87,0.22,9,337,440.07,13.07,19.95,16.466,0.0286,0.093,0.4489,0.4296,0.53,200.37,122.38,65.47,2e-04,350,250,180,0.072,230,170,270,0.0045,3.5,0.3783,15,15.21,12.42,1.46,8.53,0.0275309967782876,0.029699820483105
"15140B",3,"conflict.yoked","yoked","Retention",9,"Off","15140A",2.95,0.3889,12,65.8,2.22,23.87,0.61,33,111,69.8,2.42,7.08,59.036,0.1094,0.2551,0.3921,0.2434,0.27,152.05,158.06,106.63,0.0109,300,200,90,0.0559,180,100,240,0.0238,18,0.3643,15,13.21,19.21,1.38,4.8,0.0337386018237082,0.0346704871060172
"15140C",3,"standard.trained","trained","Retention",9,"Off","15140D",2.39,0.352,0,599.97,16.06,-1,0,0,599,599.97,16.06,-1,0.833,0.0021,0.0389,0.6373,0.3218,0.72,206.02,264.76,55.44,1e-04,0,240,190,0.0895,220,170,250,0.0015,19.4,0.2642,15,14.95,17.11,1.43,6.63,0.02676800506692,0.02676800506692
"15140D",3,"standard.yoked","yoked","Retention",9,"Off","15140C",1.98,0.2509,14,48.93,0.86,1.96,0.82,41,115,102.03,1.96,1.96,82.302,0.1617,0.2329,0.3298,0.2755,0.1,143.83,171.81,107.12,0.0185,320,230,90,0.0433,190,120,310,0.0291,3.5,0.3684,18,15.35,19.11,1.69,5.95,0.017576129164112,0.019210036263844
"15141C",3,"standard.trained","trained","Retention",9,"Off","15141D",2.2,0.2746,8,30.53,0.79,1.91,0.51,21,172,83.57,1.84,1.69,35.798,0.0909,0.2891,0.2836,0.3365,0.3,186.05,226.21,88.1,0.0058,340,270,160,0.0594,230,150,290,0.015,3.5,0.3389,16.6,15.08,16.34,1.78,6.91,0.0258761873566983,0.0220174703841091
"15141D",3,"standard.yoked","yoked","Retention",9,"Off","15141C",1.88,0.2241,19,19.13,0.52,1.61,1.29,52,66,78.2,1.55,1.75,133.5,0.3379,0.2615,0.169,0.2315,0.18,0.71,156.48,98.49,0.0129,170,80,310,0.0479,350,280,80,0.0053,18,0.457,16.6,13.92,21.6,1.45,4.27,0.0271824359644537,0.0198209718670077
"15142A",3,"conflict.trained","trained","Retention",9,"Off","15142B",2.43,0.3674,3,140.2,3.34,1.91,0.19,6,308,171.77,4.06,1.89,11.268,0.0203,0.5307,0.4368,0.0122,0.76,113.26,129.81,112.37,0,0,120,80,0.1042,100,70,140,0.0072,11.1,0.4133,16.6,16.68,7.37,1.47,7.21,0.0238231098430813,0.0236362577865751
"15142B",3,"conflict.yoked","yoked","Retention",9,"Off","15142A",2.55,0.3876,12,157.7,3.67,10.73,0.7,38,157,165.93,3.97,7.13,77.468,0.1527,0.0611,0.3992,0.387,0.29,228.7,155.76,82.47,0.0032,70,260,160,0.0575,250,150,290,0.0072,3.5,0.3537,16.6,15.68,12.91,2.03,9.86,0.0232720355104629,0.0239257518230579
"15142C",4,"standard.trained","trained","Retention",9,"Off","15142D",2.67,0.4565,3,482.43,13.14,2.73,0.17,8,482,544.53,15.36,2.97,18.1,0.0445,0.1189,0.7355,0.1011,0.65,173.07,240.26,61.69,7e-04,40,180,140,0.1081,180,130,200,0.025,8.5,0.3735,16.6,15.03,16.14,2.41,9.87,0.027237112119893,0.0282078122417498
"15142D",4,"standard.yoked","yoked","Retention",9,"Off","15142C",2.75,0.4658,22,7.93,0.27,3.22,1.07,51,53,29,0.66,6.86,96.399,0.2346,0.2515,0.2316,0.2823,0.06,296.04,184.64,107.58,0.0146,130,70,270,0.0451,70,260,90,0.0017,18,0.2798,13.2,11.98,21.58,1.02,3.5,0.0340479192938209,0.0227586206896552
