"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","variable"
"Retention_AnnularAvg",-0.0699619388993936,-0.0783932380891574,-0.0244044324677448,-0.0361273572181118,0.0650628646631031,0.0280140307784378,-0.00429952776131725,0.0567148040701071,0.0227435634487856,-0.0855805138659509,0.0197469433238054,0.0243815762147823,0.0638150193706087,-0.0136106562661944,0.07482676531359,-0.00220436291763481,-0.0401393147926483,-0.00866191180739864,-0.0943666084561395,0.0427867028444636,0.00996431472054026,0.0384785632308889,-0.0245363698387053,-0.0670076878830858,0.0337481237750286,-0.0523935556236172,0.00463566213822755,-0.00155839997838162,-0.0142811396864296,0.0212046448638212,-0.0412254604757684,0.0201230464056344,-0.0224139175193201,0.119389954867505,"Retention_AnnularAvg"
"Retention_AnnularKurtosis",-0.0677000935890015,0.0268041291092384,-0.00314533436582437,0.0352765288682629,0.0287635301299644,0.0360623935889098,-0.0333021452344985,0.0220274900828631,0.0432403243550486,-0.0924429642570389,-0.0107020041116365,0.142226316717299,0.028298215225519,-0.0428764975189354,0.055355126744471,0.0263207674914086,0.0672472169692918,-0.0379923071359644,-0.0561025938596725,0.0409849866658321,0.0354304173361273,0.0208140902781272,0.0145417559926264,-0.0646361642653521,0.0473315830431463,-0.042306223390599,-0.00802800597973092,-0.0175177682591584,0.173642665537245,0.0284460952144317,0.033768385486422,0.0364832780428874,0.00640308640261251,-0.0847780614622551,"Retention_AnnularKurtosis"
"Retention_AnnularMaxBin",-0.0504232242926571,-0.0696032049548309,-0.0363605664174367,-0.0541646333211327,0.0743366870841778,0.0421328106623708,-0.0266621667925076,0.0342966803950853,0.0235101697505412,-0.146035764203583,-0.0313956467451061,-0.0196365321545964,0.07700070894982,-0.0376981558080163,-0.00371835542382547,-0.0107456048728614,-0.0509503861272267,-0.00680948625987478,-0.14244005222462,-0.0279401315455795,-0.0563102558832056,0.0399339396499716,-0.114869466429153,-0.0808705988465996,0.00507612711518303,-0.0232291195465443,-0.00239082580703231,-0.00633203374549809,0.00994815312686715,-0.0309308720048881,-0.0975928907577851,-0.00673003851473696,-0.0282452139871979,-0.115649534263355,"Retention_AnnularMaxBin"
"Retention_AnnularMaxVal",-0.0125290974770157,0.0954205154651834,-0.0141894426199788,0.133020503620424,-0.0639184806974636,-0.0861180998676534,-0.0388950494756105,0.027837407639343,0.00272394426274256,-0.0564326966374101,0.00229259521265296,0.123013503739786,0.00179017311129844,-0.0393801595412941,-0.0648676940174863,-0.0475327862613674,0.047757986767845,0.0176174891480861,-0.00797681754588161,-0.144438032492,0.00892957332829124,0.0762901895326484,0.0628505907873974,-0.00958124915446402,0.0790273995798472,-0.0418181490302614,0.091472416493212,0.0657519153358885,0.0445297261532987,-0.0735639978150465,0.0311603181834211,0.0114794504612276,-0.00106485258846441,-0.0264307458961378,"Retention_AnnularMaxVal"
"Retention_AnnularMinBin",0.0363510943921228,0.0576234383758657,0.0914604979152404,-0.0270384953881624,0.0307535372042704,-0.0437353720473478,-0.0729460386448435,-0.0217464065171713,-0.0483087278219344,0.030590937725889,0.0618584265822816,-0.0858279572835793,-0.0734290747733185,-0.0238892111960373,0.0330748430147503,0.0435931113623363,0.00974823050294474,0.0488087063276468,-0.00948481699854994,-0.0759730916848269,-0.127508287960067,-0.0245522730012577,0.11601010723017,-0.0966258724872014,-0.0890092633594553,0.0543687041344213,-0.114768477459701,-0.12962195513052,0.0874798139819018,0.0945803640218486,-0.142049607020756,-0.000671764973432278,-0.0755505266030498,0.0982345227893383,"Retention_AnnularMinBin"
"Retention_AnnularMinVal",0.0192657010122829,-0.0209730039558803,-0.040036571650416,-0.0583531975451451,-0.0192123521735056,0.116957311378744,0.0804507671206762,-0.0356432101997553,-0.0553545704677446,0.0603551591122944,-0.0594743441997683,-0.0772903942764562,0.108641122867315,-0.0230710535799249,-0.0800928175572158,-0.0482344191236085,0.029571791335222,-0.170295525210008,0.00581707811505299,0.00656502326051509,-0.0181456056673859,0.186761698178166,-0.0395972346815713,0.0499496096946499,-0.0861733813756833,0.0345177280075881,0.0491809005689829,0.00302270328017106,-0.123504242857575,-0.0463812523698074,-0.0261513206456954,0.0425847812425679,-0.0753692046599995,0.00430890443395828,"Retention_AnnularMinVal"
"Retention_AnnularSd",0.0823037832154325,0.0250842289919501,0.0313702010362498,-0.077269406685096,-0.0343947453816308,0.0199362128693613,0.0277034927340082,-0.024987383684797,-0.01917996882485,0.0389829729725638,-0.00851959060576636,-0.00820966666208775,0.0298469275372548,-0.00519493578456445,-0.0328904828280704,-0.0170961179256232,-0.0298571995898056,-0.0683529197562704,0.057996155514052,-0.035014552371784,-0.0140736811157794,-0.010724426420719,-0.0205764311784739,0.0504072318460414,-0.0251586418723568,0.0388046911359056,-0.0636444198409847,0.00173175448187223,0.0248954275019429,-0.0309633359973279,-0.0832461642015649,-0.00387399798959152,0.0042081555214528,-0.110089734101196,"Retention_AnnularSd"
"Retention_AnnularSkewnes",-0.0575946289146845,-0.0403591032734413,0.0132944951957532,-0.0419539211610435,0.0732945310687535,0.0637442447800586,-0.0248351860380745,0.0352877558256496,0.0559088453704284,-0.113129178008304,0.0201681048582399,0.0905636852965485,0.0704198028864,-0.0462125267656033,0.0733183256638452,-0.0100897556588571,0.0246436412062748,-0.0779263064946199,-0.11345309015141,0.0520745717124651,0.0239650105216603,0.0637202474375514,-0.0436429825835531,-0.0279824745079802,0.0374141846520401,0.00502548924861788,-0.067566617323533,-0.0196168606364172,0.0765444256470738,0.00237272147817003,-0.081713317587783,0.0324392217811511,0.049131666251317,0.124351757778,"Retention_AnnularSkewnes"
"Retention_Dist1stEntr.m.",0.084864697894369,0.00689258962845278,-0.0122814952834453,0.0449300364371203,-0.065223085914572,-0.012578379434753,0.0363129598648609,-0.0180553880748741,0.0363072977977451,0.0181877191939043,-0.000994762820585272,-0.00182194382473873,-0.00800411393240959,-0.0574979423397417,-0.0681681900281557,0.00768086968203614,0.0129434811311098,-0.0420254745380985,0.0721503157955654,0.00308912004989636,-0.050284552538747,-0.00695908723498694,-0.0057949511032181,0.0259315060161539,0.0405843373214221,0.0329775351595911,0.00389859516635908,-0.0200353162497616,-0.00263565721398738,0.0330429679822931,0.00725466264642763,0.00167160807230098,0.0198801881371051,-0.0324790697648306,"Retention_Dist1stEntr.m."
"Retention_Linearity.Arena.",-0.0342195814177741,0.0290989307479903,-0.0210736279698714,-0.0198891752779608,0.0880162338180219,0.122029159451157,0.0152867447252044,0.048876279472363,0.0561962669586033,0.0547588614515551,-0.033527145691356,-0.142501371556097,-0.15986944505421,-0.00902188517023262,0.0850933700552511,0.0600177211006258,-0.0236269031589631,0.107568396668083,-0.0209019965626875,-0.0441225384067704,-0.0202746403687661,0.00114063079277003,0.0214790768660401,0.0342492701038462,0.0621757303342032,0.0128905248676425,0.0126998832482363,-0.0135140549523507,-0.0638214151290637,-0.0579026232981803,0.0120519963934451,0.0123461951165829,0.0754609178903043,0.0451125759024597,"Retention_Linearity.Arena."
