"APA2","TrainSessionComboNum","m","se","measure"
"yoked-consistent",1,31.375,2.32177195262584,"Number of Entrances"
"yoked-consistent",2,21.375,2.01722493256737,"Number of Entrances"
"yoked-consistent",3,15.375,1.40073322635988,"Number of Entrances"
"yoked-consistent",4,14.5,2.00890873006075,"Number of Entrances"
"yoked-consistent",5,16.875,0.875,"Number of Entrances"
"yoked-consistent",6,15,1.55838744494796,"Number of Entrances"
"yoked-consistent",7,13.875,1.45697215386666,"Number of Entrances"
"yoked-consistent",8,14.875,1.66301683695626,"Number of Entrances"
"yoked-consistent",9,17,1.5,"Number of Entrances"
"consistent",1,31.125,2.13338681108567,"Number of Entrances"
"consistent",2,7.125,0.854348122421835,"Number of Entrances"
"consistent",3,5.25,2.11077169368389,"Number of Entrances"
"consistent",4,3.375,1.17924764150708,"Number of Entrances"
"consistent",5,3.375,0.924613818999973,"Number of Entrances"
"consistent",6,4.25,1.67705098312484,"Number of Entrances"
"consistent",7,3.625,1.28086884574495,"Number of Entrances"
"consistent",8,4.25,2.04197033698897,"Number of Entrances"
"consistent",9,3.25,1.31949665727937,"Number of Entrances"
"yoked-conflict",1,32.3333333333333,1.15470053837925,"Number of Entrances"
"yoked-conflict",2,20.7777777777778,1.22222222222222,"Number of Entrances"
"yoked-conflict",3,13.5555555555556,1.93010586289336,"Number of Entrances"
"yoked-conflict",4,15.6666666666667,1.69967317119759,"Number of Entrances"
"yoked-conflict",5,16.1111111111111,1.75945418023479,"Number of Entrances"
"yoked-conflict",6,14.8888888888889,1.37885262733232,"Number of Entrances"
"yoked-conflict",7,14.4444444444444,1.13175271041463,"Number of Entrances"
"yoked-conflict",8,16.5555555555556,2.20549258236436,"Number of Entrances"
"yoked-conflict",9,14,1.49071198499986,"Number of Entrances"
"conflict",1,31.6666666666667,1.52752523165195,"Number of Entrances"
"conflict",2,8.33333333333333,1.10554159678513,"Number of Entrances"
"conflict",3,2.55555555555556,0.293972367896066,"Number of Entrances"
"conflict",4,2.55555555555556,1.20313376820598,"Number of Entrances"
"conflict",5,2.22222222222222,0.74120355911813,"Number of Entrances"
"conflict",6,18.4444444444444,2.82405889491974,"Number of Entrances"
"conflict",7,6.22222222222222,2.7627370575903,"Number of Entrances"
"conflict",8,5.88888888888889,2.38888888888889,"Number of Entrances"
"conflict",9,5.44444444444444,1.74889735985524,"Number of Entrances"
"yoked-consistent",1,0.0591542349515324,0.00785604911274954,"Speed"
"yoked-consistent",2,0.0311932739811995,0.00304651718966899,"Speed"
"yoked-consistent",3,0.0212308841951959,0.00206132216563394,"Speed"
"yoked-consistent",4,0.022150643738762,0.00332938559715721,"Speed"
"yoked-consistent",5,0.0212625434035222,0.00448530497441496,"Speed"
"yoked-consistent",6,0.0192547724458673,0.0026407664234918,"Speed"
"yoked-consistent",7,0.0188495901720973,0.00439135245626164,"Speed"
"yoked-consistent",8,0.0168898355818723,0.00370413609667218,"Speed"
"yoked-consistent",9,0.014938215954765,0.00214640951353479,"Speed"
"consistent",1,0.068432668405894,0.00556067988681877,"Speed"
"consistent",2,0.0371041733695748,0.00350015465969914,"Speed"
"consistent",3,0.0259690992600579,0.00174914187806421,"Speed"
"consistent",4,0.0267067590762803,0.00117651086730183,"Speed"
"consistent",5,0.0294047802767425,0.00216747023308348,"Speed"
"consistent",6,0.0261053616430687,0.00136909711729545,"Speed"
"consistent",7,0.0255652033478881,0.000963966350518047,"Speed"
"consistent",8,0.0249859287030623,0.00101797339091601,"Speed"
"consistent",9,0.0259792615909285,0.00113288638822091,"Speed"
"yoked-conflict",1,0.056432338550244,0.00399118698270954,"Speed"
"yoked-conflict",2,0.041259520599724,0.00633847168567988,"Speed"
"yoked-conflict",3,0.023004265190053,0.00179341190823217,"Speed"
"yoked-conflict",4,0.0223820360795956,0.00346310560225108,"Speed"
"yoked-conflict",5,0.020898294854581,0.00181475523398338,"Speed"
"yoked-conflict",6,0.0359506477236377,0.00273224483778118,"Speed"
"yoked-conflict",7,0.0287761543831096,0.0028048809144609,"Speed"
"yoked-conflict",8,0.0201590791290917,0.00329540494274599,"Speed"
"yoked-conflict",9,0.0221380672977953,0.00228497333068778,"Speed"
"conflict",1,0.067683309890678,0.0053318269689899,"Speed"
"conflict",2,0.047933885319524,0.00772278816565105,"Speed"
"conflict",3,0.0269486415708255,0.00124325734502889,"Speed"
"conflict",4,0.0268348080589167,0.000443180114988599,"Speed"
"conflict",5,0.0276111762784035,0.000800635390721395,"Speed"
"conflict",6,0.0366305897118628,0.00230830564028993,"Speed"
"conflict",7,0.0302938407059293,0.00206185266985007,"Speed"
"conflict",8,0.0263635889293001,0.000977934486605392,"Speed"
"conflict",9,0.0326002892245867,0.00487895136385138,"Speed"
"yoked-consistent",1,29.58375,5.7053990524953,"Time to 2nd Entrance"
"yoked-consistent",2,50.00875,12.5589893015635,"Time to 2nd Entrance"
"yoked-consistent",3,96.36875,20.4827508822755,"Time to 2nd Entrance"
"yoked-consistent",4,89.88875,16.4099584788258,"Time to 2nd Entrance"
"yoked-consistent",5,52.90375,9.8813592430936,"Time to 2nd Entrance"
"yoked-consistent",6,92.0125,8.11735150992701,"Time to 2nd Entrance"
"yoked-consistent",7,59.23,9.13009779324875,"Time to 2nd Entrance"
"yoked-consistent",8,65.6875,11.8077760017347,"Time to 2nd Entrance"
"yoked-consistent",9,69.055,11.0717733126051,"Time to 2nd Entrance"
"consistent",1,16.26,3.05946657348723,"Time to 2nd Entrance"
"consistent",2,48.38,11.1328649566433,"Time to 2nd Entrance"
"consistent",3,299.53,90.6554105823648,"Time to 2nd Entrance"
"consistent",4,331.01375,101.938408293886,"Time to 2nd Entrance"
"consistent",5,365.48375,92.9886514185141,"Time to 2nd Entrance"
"consistent",6,352.68375,78.4931828463352,"Time to 2nd Entrance"
"consistent",7,335.96375,100.473798271303,"Time to 2nd Entrance"
"consistent",8,404.20625,96.1023122944928,"Time to 2nd Entrance"
"consistent",9,450.34375,80.1591903860575,"Time to 2nd Entrance"
"yoked-conflict",1,25.0333333333333,3.57152628437759,"Time to 2nd Entrance"
"yoked-conflict",2,32.6633333333333,7.63473440562568,"Time to 2nd Entrance"
"yoked-conflict",3,111.941111111111,18.9266071858614,"Time to 2nd Entrance"
"yoked-conflict",4,69.7466666666667,12.6201512140967,"Time to 2nd Entrance"
"yoked-conflict",5,106.481111111111,33.889470482259,"Time to 2nd Entrance"
"yoked-conflict",6,77.0922222222222,16.5882981494133,"Time to 2nd Entrance"
"yoked-conflict",7,44.1111111111111,5.82233759957775,"Time to 2nd Entrance"
"yoked-conflict",8,83.4122222222222,13.6440987220949,"Time to 2nd Entrance"
"yoked-conflict",9,90.2044444444444,15.4985282554964,"Time to 2nd Entrance"
"conflict",1,24.6477777777778,5.75103391134,"Time to 2nd Entrance"
"conflict",2,33.2933333333333,5.54607594009795,"Time to 2nd Entrance"
"conflict",3,233.836666666667,65.1818328686077,"Time to 2nd Entrance"
"conflict",4,471.497777777778,72.5237533076382,"Time to 2nd Entrance"
"conflict",5,451.475555555556,71.31686373563,"Time to 2nd Entrance"
"conflict",6,18.5,4.15466805733824,"Time to 2nd Entrance"
"conflict",7,184.878888888889,61.6172051965567,"Time to 2nd Entrance"
"conflict",8,366.731111111111,87.4329815319591,"Time to 2nd Entrance"
"conflict",9,295.795555555556,86.0874593253072,"Time to 2nd Entrance"
