"APA2","TrainSessionComboNum","m","se"
"yoked-consistent",1,0.2063875,0.0181471902341067
"yoked-consistent",2,0.3095375,0.0220889754135729
"yoked-consistent",3,0.2296625,0.0163438273352445
"yoked-consistent",4,0.1679125,0.028090882083872
"yoked-consistent",5,0.2216,0.0200542923798658
"yoked-consistent",6,0.199925,0.0174260862543159
"yoked-consistent",7,0.2113375,0.0232668290667514
"yoked-consistent",8,0.2174375,0.0135788956196739
"yoked-consistent",9,0.2306125,0.0149088712505101
"yoked-conflict",1,0.231777777777778,0.0139759592970073
"yoked-conflict",2,0.269777777777778,0.033661013460092
"yoked-conflict",3,0.246222222222222,0.0283464027591283
"yoked-conflict",4,0.252377777777778,0.0502935377386758
"yoked-conflict",5,0.290877777777778,0.0304182044258669
"yoked-conflict",6,0.242822222222222,0.0311876122922841
"yoked-conflict",7,0.306322222222222,0.0108690153108348
"yoked-conflict",8,0.2631,0.0238348251281374
"yoked-conflict",9,0.3096,0.0189605218517025
"consistent",1,0.227275,0.0171216628656715
"consistent",2,0.156025,0.0201899174801965
"consistent",3,0.1153125,0.0272398305893358
"consistent",4,0.0369,0.0130945735762131
"consistent",5,0.1049875,0.0220632486720402
"consistent",6,0.106225,0.0338061318930668
"consistent",7,0.06885,0.0227631829935974
"consistent",8,0.10205,0.0470540494689731
"consistent",9,0.1740875,0.045444689448902
"conflict",1,0.245766666666667,0.0138798915301557
"conflict",2,0.0802666666666667,0.024606187117155
"conflict",3,0.0713666666666667,0.0246868554768187
"conflict",4,0.0799444444444444,0.0400872766983044
"conflict",5,0.0805555555555556,0.0373725579325225
"conflict",6,0.384688888888889,0.122752301906957
"conflict",7,0.214833333333333,0.0737370233404571
"conflict",8,0.184522222222222,0.063171960591217
"conflict",9,0.194822222222222,0.0539744146635385
