"RNAseqID","Mouse","Punch","Group","Conflict","ID","APA","APA2"
"143A-CA3-1","15-143A","CA3","conflict","Conflict","15143A","Conflict","conflict"
"143A-DG-1","15-143A","DG","conflict","Conflict","15143A","Conflict","conflict"
"143B-CA1-1","15-143B","CA1","control","Conflict","15143B","Control","yoked_conflict"
"143B-DG-1","15-143B","DG","control","Conflict","15143B","Control","yoked_conflict"
"143C-CA1-1","15-143C","CA1","consistent","NoConflict","15143C","Consistent","consistent"
"143D-CA1-3","15-143D","CA1","control","NoConflict","15143D","Control","yoked_consistent"
"143D-DG-3","15-143D","DG","control","NoConflict","15143D","Control","yoked_consistent"
"144A-CA1-2","15-144A","CA1","conflict","Conflict","15144A","Conflict","conflict"
"144A-CA3-2","15-144A","CA3","conflict","Conflict","15144A","Conflict","conflict"
"144A-DG-2","15-144A","DG","conflict","Conflict","15144A","Conflict","conflict"
"144B-CA1-1","15-144B","CA1","control","Conflict","15144B","Control","yoked_conflict"
"144B-CA3-1","15-144B","CA3","control","Conflict","15144B","Control","yoked_conflict"
"144C-CA1-2","15-144C","CA1","consistent","NoConflict","15144C","Consistent","consistent"
"144C-CA3-2","15-144C","CA3","consistent","NoConflict","15144C","Consistent","consistent"
"144C-DG-2","15-144C","DG","consistent","NoConflict","15144C","Consistent","consistent"
"144D-CA3-2","15-144D","CA3","control","NoConflict","15144D","Control","yoked_consistent"
"144D-DG-2","15-144D","DG","control","NoConflict","15144D","Control","yoked_consistent"
"145A-CA1-2","15-145A","CA1","conflict","Conflict","15145A","Conflict","conflict"
"145A-CA3-2","15-145A","CA3","conflict","Conflict","15145A","Conflict","conflict"
"145A-DG-2","15-145A","DG","conflict","Conflict","15145A","Conflict","conflict"
"145B-CA1-1","15-145B","CA1","control","Conflict","15145B","Control","yoked_conflict"
"145B-DG-1","15-145B","DG","control","Conflict","15145B","Control","yoked_conflict"
"146A-CA1-2","15-146A","CA1","conflict","Conflict","15146A","Conflict","conflict"
"146A-CA3-2","15-146A","CA3","conflict","Conflict","15146A","Conflict","conflict"
"146A-DG-2","15-146A","DG","conflict","Conflict","15146A","Conflict","conflict"
"146B-CA1-2","15-146B","CA1","control","Conflict","15146B","Control","yoked_conflict"
"146B-CA3-2","15-146B","CA3","control","Conflict","15146B","Control","yoked_conflict"
"146B-DG-2","15-146B","DG","control","Conflict","15146B","Control","yoked_conflict"
"146C-CA1-4","15-146C","CA1","consistent","NoConflict","15146C","Consistent","consistent"
"146C-DG-4","15-146C","DG","consistent","NoConflict","15146C","Consistent","consistent"
"146D-CA1-3","15-146D","CA1","control","NoConflict","15146D","Control","yoked_consistent"
"146D-CA3-3","15-146D","CA3","control","NoConflict","15146D","Control","yoked_consistent"
"146D-DG-3","15-146D","DG","control","NoConflict","15146D","Control","yoked_consistent"
"147C-CA1-3","15-147C","CA1","consistent","NoConflict","15147C","Consistent","consistent"
"147C-CA3-3","15-147C","CA3","consistent","NoConflict","15147C","Consistent","consistent"
"147C-DG-3","15-147C","DG","consistent","NoConflict","15147C","Consistent","consistent"
"147D-CA3-1","15-147D","CA3","control","NoConflict","15147D","Control","yoked_consistent"
"147D-DG-1","15-147D","DG","control","NoConflict","15147D","Control","yoked_consistent"
"148A-CA1-3","15-148A","CA1","conflict","Conflict","15148A","Conflict","conflict"
"148A-CA3-3","15-148A","CA3","conflict","Conflict","15148A","Conflict","conflict"
"148A-DG-3","15-148A","DG","conflict","Conflict","15148A","Conflict","conflict"
"148B-CA1-4","15-148B","CA1","control","Conflict","15148B","Control","yoked_conflict"
"148B-CA3-4","15-148B","CA3","control","Conflict","15148B","Control","yoked_conflict"
"148B-DG-4","15-148B","DG","control","Conflict","15148B","Control","yoked_conflict"
