"","143A-CA3-1","143A-DG-1","143B-CA1-1","143B-DG-1","143C-CA1-1","143D-CA1-3","143D-DG-3","144A-CA1-2","144A-CA3-2","144A-DG-2","144B-CA1-1","144B-CA3-1","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","145A-CA1-2","145A-CA3-2","145A-DG-2","145B-CA1-1","145B-DG-1","146A-CA1-2","146A-CA3-2","146A-DG-2","146B-CA1-2","146B-CA3-2","146B-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1","148A-CA1-3","148A-CA3-3","148A-DG-3","148B-CA1-4","148B-CA3-4","148B-DG-4"
"0610007P14Rik",42,56,30,24,19,14,22,40,10,40,36,17,32,14,25,22,75,66,2,20,26,10,14,44,12,6,16,0,19,11,6,44,3,34,82,41,40,152,68,28,52,2,61,8
"0610009B22Rik",12,17,10,5,10,0,0,15,4,4,7,4,8,12,8,6,12,18,3,7,8,5,8,4,3,3,22,0,4,3,2,12,0,8,15,20,20,52,30,12,8,0,22,1
"0610009L18Rik",4,9,10,8,2,0,2,9,5,0,1,4,2,4,6,9,13,21,0,1,3,0,8,9,6,0,2,0,9,0,0,7,0,2,11,3,9,67,16,7,11,0,11,1
"0610009O20Rik",85,185,44,72,76,25,38,95,20,82,49,24,89,48,85,46,151,96,12,52,124,46,68,102,44,16,46,2,31,10,1,83,3,58,191,145,88,377,162,65,226,0,70,18
"0610010F05Rik",18,19,7,15,7,5,8,15,2,17,9,3,12,7,12,14,18,22,1,6,4,5,9,10,6,7,14,1,5,4,1,18,0,19,41,23,28,56,25,19,22,0,22,3
"0610010K14Rik",2,7,1,2,2,2,1,3,1,2,4,1,3,1,2,2,6,3,0,2,2,2,3,1,2,1,1,1,1,0,1,1,0,4,3,2,0,16,5,4,2,0,4,1
"0610012G03Rik",59,181,59,106,83,20,36,120,25,86,112,42,87,53,48,107,147,192,7,42,56,35,81,116,42,28,54,8,42,17,15,123,3,108,167,106,168,359,211,116,61,16,104,61
"0610030E20Rik",36,94,38,69,28,20,30,68,12,80,36,31,38,6,48,36,174,56,2,45,91,40,35,38,46,12,37,7,19,24,13,84,0,77,182,110,41,334,73,41,125,16,52,19
"0610037L13Rik",19,27,9,15,7,4,8,12,2,8,14,6,10,4,9,6,29,13,1,9,6,7,5,8,8,3,9,0,5,2,1,10,2,9,16,22,14,71,15,14,17,1,13,5
"0610040J01Rik",5,2,0,2,2,0,2,1,1,3,1,0,4,0,2,1,1,4,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,2,3,4,4,2,8,3,0,0,3,0
"1110002E22Rik",0,71,7,47,2,1,18,4,0,54,1,0,4,2,40,0,52,5,1,6,0,31,0,15,19,11,0,1,11,0,0,0,0,7,6,122,0,173,3,6,87,0,0,3
"1110004E09Rik",20,17,6,13,16,8,3,15,1,9,10,3,11,9,9,10,20,19,0,6,16,5,15,11,6,3,9,0,4,0,1,9,0,17,12,18,5,48,22,18,19,2,10,2
"1110004F10Rik",35,61,30,27,25,12,16,37,3,22,29,14,41,20,27,29,63,68,5,18,18,13,28,28,13,11,25,0,17,4,10,27,2,39,65,53,44,127,77,34,46,2,30,12
"1110008F13Rik",207,157,79,104,97,48,58,168,13,73,73,50,101,67,96,99,147,320,20,47,69,62,70,148,50,39,105,0,30,18,22,56,0,90,173,180,184,565,154,150,114,17,192,34
"1110008L16Rik",5,9,1,2,3,3,1,4,0,5,1,0,6,1,1,2,5,6,0,0,1,2,1,0,0,3,2,0,1,1,0,2,0,4,5,3,3,7,6,2,4,0,6,1
"1110008P14Rik",119,153,53,77,49,31,24,94,27,35,30,35,74,70,41,93,122,122,17,36,22,44,41,125,32,7,95,2,16,5,12,52,0,50,161,81,232,285,141,162,119,8,132,25
"1110012L19Rik",0,24,2,47,10,0,3,34,5,0,10,4,28,3,12,6,29,17,6,3,0,8,16,13,9,3,0,0,0,3,0,5,0,9,6,25,14,73,20,6,11,0,10,10
"1110017D15Rik",0,3,0,1,0,1,0,0,0,4,0,0,4,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,5,0,2,0,2,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",15,16,5,9,9,7,3,13,3,8,8,4,9,7,3,5,18,17,2,3,2,2,11,14,3,3,14,0,2,0,0,9,1,17,19,7,9,16,23,11,4,0,16,5
"1110032F04Rik",64,31,40,9,22,2,0,47,0,12,8,8,20,10,11,18,31,67,0,12,36,6,24,25,13,16,31,3,2,0,0,16,0,39,30,14,45,99,64,21,9,8,24,10
"1110034G24Rik",7,14,7,3,2,7,3,9,1,3,3,0,5,1,4,1,8,14,0,8,0,2,3,4,2,0,8,0,7,0,0,2,0,8,22,9,5,24,12,3,3,0,7,6
"1110037F02Rik",37,72,19,38,38,37,31,30,2,83,35,24,42,9,51,32,98,50,0,27,42,28,33,25,25,22,28,0,35,7,5,25,5,42,62,99,52,219,78,34,91,6,44,13
"1110038F14Rik",34,117,32,57,53,7,14,54,4,59,51,19,29,22,39,38,89,68,0,16,51,7,19,37,28,20,26,1,16,6,4,20,7,37,71,73,79,282,53,41,82,7,81,8
"1110051M20Rik",134,107,26,66,58,21,21,81,13,58,49,37,69,31,53,67,99,140,4,29,40,28,43,115,35,27,82,5,27,17,6,80,0,61,138,89,131,276,134,108,83,29,136,32
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",4,6,2,8,5,2,2,7,1,3,7,2,6,4,4,7,13,10,0,3,2,4,4,7,2,1,6,0,1,0,1,5,0,4,10,11,14,28,9,5,10,0,6,1
"1110059G10Rik",9,28,6,10,10,6,6,28,1,10,9,4,16,2,5,15,22,25,2,12,14,4,10,14,6,2,11,1,16,0,1,2,0,18,17,11,21,35,26,12,21,2,11,5
