"Punch","APA"
"CA3","Conflict"
"DG","Conflict"
"CA1","Control"
"DG","Control"
"CA1","Consistent"
"CA1","Control"
"DG","Control"
"CA1","Conflict"
"CA3","Conflict"
"DG","Conflict"
"CA1","Control"
"CA3","Control"
"CA1","Consistent"
"CA3","Consistent"
"DG","Consistent"
"CA3","Control"
"DG","Control"
"CA1","Conflict"
"CA3","Conflict"
"DG","Conflict"
"CA1","Control"
"DG","Control"
"CA1","Conflict"
"CA3","Conflict"
"DG","Conflict"
"CA1","Control"
"CA3","Control"
"DG","Control"
"CA1","Consistent"
"DG","Consistent"
"CA1","Control"
"CA3","Control"
"DG","Control"
"CA1","Consistent"
"CA3","Consistent"
"DG","Consistent"
"CA3","Control"
"DG","Control"
"CA1","Conflict"
"CA3","Conflict"
"DG","Conflict"
"CA1","Control"
"CA3","Control"
"DG","Control"
