"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","group","Punch","avoidance","name","wrap","PunchAPA","APA2"
"143A-CA3-1",-18.1134671173173,-19.3897927912511,-5.18488727897085,-7.60043164164486,-6.9169279543784,0.244208087447607,-0.174893925017757,0.233555402384878,-0.922503326799608,"CA3 : yes","CA3","yes","143A-CA3-1","Principle Compent Analysis","CA3_","yes"
"143A-DG-1",30.6259536176695,-0.965678615974955,-5.45522716282703,4.08733641397488,-0.0880655484988718,2.79881417971993,-2.09071745132935,-0.682981915015768,0.705640904675299,"DG : yes","DG","yes","143A-DG-1","Principle Compent Analysis","DG_","yes"
"143B-CA1-1",-15.8115282301344,15.2530309127125,-3.60646154039795,0.952063899021807,3.88942446187772,0.432903511499323,-0.79580646441194,-3.02702113036717,-0.0066893723212036,"CA1 : no","CA1","no","143B-CA1-1","Principle Compent Analysis","CA1_","no"
"143B-DG-1",26.9109990887242,-1.89431622542536,-2.19285186704262,-0.76799499675766,4.05246079044829,0.218227289028149,-2.29143217371459,1.62446572587422,3.8663533558471,"DG : no","DG","no","143B-DG-1","Principle Compent Analysis","DG_","no"
"143C-CA1-1",-16.3062310519872,17.2428682921202,-7.79293421123348,2.1072939501122,-0.17333588166772,-1.15848674424121,0.00844682225300312,-2.80626849011407,-1.88459736271465,"CA1 : yes","CA1","yes","143C-CA1-1","Principle Compent Analysis","CA1_","yes"
"143D-CA1-3",-16.3722320165425,17.3568496421526,0.823613764462919,-4.1148409558143,-2.57261117423341,7.08868801947411,1.26129748305174,4.43763006255213,7.10084478307794,"CA1 : no","CA1","no","143D-CA1-3","Principle Compent Analysis","CA1_","no"
"143D-DG-3",27.2978406153981,-0.759208916095551,1.02884521641103,-2.80458471237852,0.254768405159444,-0.136691218096614,-2.85324748202503,1.96103831655645,0.346851614053753,"DG : no","DG","no","143D-DG-3","Principle Compent Analysis","DG_","no"
"144A-CA1-2",-11.0967255654882,11.2220959848742,-3.33734096818098,3.80842952017616,2.89813581480431,-3.34886045072764,-4.07952577964223,0.603912051423198,2.04905958539384,"CA1 : yes","CA1","yes","144A-CA1-2","Principle Compent Analysis","CA1_","yes"
"144A-CA3-2",-13.3817826010351,-14.6576732357953,4.21908296650666,3.25042087834961,1.31425015923236,1.35280903871725,-2.70237632187575,3.46413072539685,2.5381138699408,"CA3 : yes","CA3","yes","144A-CA3-2","Principle Compent Analysis","CA3_","yes"
"144A-DG-2",31.4875244860801,0.313846539440185,-1.74925129348348,9.06154670697285,-5.1976623552714,1.70162993020405,1.15379765601849,-1.02698977361802,-4.0324254075051,"DG : yes","DG","yes","144A-DG-2","Principle Compent Analysis","DG_","yes"
"144B-CA1-1",-17.6455359548764,17.5020756998198,-2.18996521781975,-1.57714959349773,0.769025934320018,-0.616549093614683,-1.70009912961247,0.530604257077812,2.18699759660875,"CA1 : no","CA1","no","144B-CA1-1","Principle Compent Analysis","CA1_","no"
"144B-CA3-1",-10.3811209130263,-14.3860095598885,1.81844705300279,-3.66080289442425,-5.57353406237127,5.08871018655099,-0.293691134563582,-3.30798821352867,-3.18302001869835,"CA3 : no","CA3","no","144B-CA3-1","Principle Compent Analysis","CA3_","no"
"144C-CA1-2",-11.5050181466885,13.254159197988,-3.18695447338751,3.53654505958403,1.15983227429703,-5.89626278445325,-0.89586106266169,-0.97948595458043,-0.59565913762602,"CA1 : yes","CA1","yes","144C-CA1-2","Principle Compent Analysis","CA1_","yes"
"144C-CA3-2",-15.5422849906958,-16.4679358945105,-0.0419313500462585,4.10608406333445,4.84280947703502,3.38662049146923,-0.930630951502659,-1.7626840350214,-0.790272577922709,"CA3 : yes","CA3","yes","144C-CA3-2","Principle Compent Analysis","CA3_","yes"
"144C-DG-2",33.3250628092815,1.16936568038788,-3.0010399956862,4.65412034577729,-4.52477935976289,1.97383220126448,-0.313948548371969,0.509079441090032,-1.84347761082184,"DG : yes","DG","yes","144C-DG-2","Principle Compent Analysis","DG_","yes"
"144D-CA3-2",-16.6508946039444,-19.654086881604,-5.06513508654574,-2.58214666452676,1.80550390631039,-3.324191028777,4.04702388462524,-1.36388739851518,-0.595287056194177,"CA3 : no","CA3","no","144D-CA3-2","Principle Compent Analysis","CA3_","no"
"144D-DG-2",31.232429061051,-1.61505628210805,-7.95718601762961,-10.937346341136,5.38604852632896,-2.95374545559904,3.11079026993499,-1.1229656830463,-0.13121239459591,"DG : no","DG","no","144D-DG-2","Principle Compent Analysis","DG_","no"
"145A-CA1-2",-17.0904084328963,17.2457506383539,-8.04894588017378,0.658146101415401,2.18403741286524,1.81726507130708,-2.51871550016016,-0.313499650240687,-1.36908931392642,"CA1 : yes","CA1","yes","145A-CA1-2","Principle Compent Analysis","CA1_","yes"
"145A-CA3-2",-7.8932257724278,-10.338858484328,10.1256364450671,9.77593832297084,6.14819994553846,4.43900044532099,5.70458271656641,-0.615928851654828,7.22049491933561,"CA3 : yes","CA3","yes","145A-CA3-2","Principle Compent Analysis","CA3_","yes"
"145A-DG-2",28.5433723259338,0.543038554270614,-1.23159365376156,-0.430420916762667,-0.0910594004603261,-0.982395297443194,1.2296156463558,0.640454537751051,-0.0283480202296347,"DG : yes","DG","yes","145A-DG-2","Principle Compent Analysis","DG_","yes"
