"","padjPunchCA1DG","padjPunchCA1CA3","padjPunchCA3DG","padjAPAConsistentControl","padjAPAConflictControl","padjAPAConflictConsistent"
"0610007P14Rik",0.995988468926685,1,0.995321763491502,1,1,1
"0610009B22Rik",0.892041566424012,0.491886231970963,0.103459047031459,1,1,1
"0610009L18Rik",0.692606273567592,0.675260279353958,0.976739818969468,1,1,1
"0610009O20Rik",0.732507527833876,0.986051649979111,0.43481177309672,1,1,1
"0610010F05Rik",0.711816108554768,0.182376808532213,0.393608069112102,1,1,1
"0610010K14Rik",0.995988468926685,0.524715210387356,0.285145451360834,1,1,1
"0610012G03Rik",0.79340776078392,0.972802650309429,0.922281531183105,1,1,1
"0610030E20Rik",0.995988468926685,0.492956914754635,0.286922806987975,1,1,1
"0610037L13Rik",0.375525634866924,0.986051649979111,0.0934982460319176,1,1,1
"0610040J01Rik",0.66481820803648,0.732401393662519,1,1,1,1
"1110002E22Rik",0.0227766029462831,0.00039877382585157,9.71132078618938e-10,1,1,1
"1110004E09Rik",0.687898355590302,0.390419005684161,0.819785762993897,1,1,1
"1110004F10Rik",0.931619370614413,0.739019261965483,0.910155473665324,1,1,1
"1110008F13Rik",0.945706664964378,1,0.821274936075628,1,1,1
"1110008L16Rik",0.995988468926685,0.986051649979111,0.992748872195981,1,1,1
"1110008P14Rik",0.571588699293954,0.0156063122712947,0.136121622289051,1,1,1
"1110012L19Rik",0.0280492187888239,0.811047883392422,0.12016070719099,1,1,1
"1110017D15Rik",0.995988468926685,0.998480285282291,0.899869940883015,1,1,1
"1110032A03Rik",0.995988468926685,0.801680909618841,0.769660664618481,1,1,1
"1110032F04Rik",0.305014311540922,0.793737990200078,0.738489347594953,1,1,1
"1110034G24Rik",0.995988468926685,0.945839406430205,0.600602506487983,1,1,1
"1110037F02Rik",0.995988468926685,0.333356950265498,0.188630409732094,1,1,1
"1110038F14Rik",1,0.986051649979111,0.920230992485012,1,1,1
"1110051M20Rik",0.968059447305522,0.582619901223646,0.22158399717398,1,1,1
"1110059E24Rik",0.638379127715604,0.661967500911085,0.995344704139728,1,1,1
"1110059G10Rik",0.995988468926685,0.986051649979111,1,1,1,1
"1110065P20Rik",0.199137739067789,1,0.104861382562521,1,1,1
"1190002N15Rik",0.0112656335344704,3.08515694481443e-10,0.00122344673785202,0.00461290428766886,0.02898850058987,1
"1190005I06Rik",0.995988468926685,0.867153693130901,0.814050355121402,1,1,1
"1190007I07Rik",0.995988468926685,0.768518920760627,0.44602219320983,1,1,1
"1300017J02Rik",1,0.986051649979111,0.920230992485012,1,1,1
"1500009C09Rik",0.732416347382214,0.36968495506167,0.754695508567637,1,1,1
"1500009L16Rik",0.622594344826967,0.998026686265285,0.451787187358734,1,1,1
"1500011B03Rik",0.960088395384313,0.777974643749974,0.920230992485012,1,1,1
"1500011K16Rik",0.297896015411741,0.84056093058231,0.673393382812602,1,1,1
"1500015O10Rik",0.788900809997944,0.986051649979111,0.587416507835781,1,1,1
"1520401A03Rik",0.995988468926685,0.998480285282291,0.920230992485012,1,1,1
"1600002H07Rik",0.139132778003304,0.998480285282291,0.122376425891283,1,1,1
"1600002K03Rik",0.426859155900223,0.843973014219152,0.834177296198019,1,1,1
"1600012H06Rik",0.76427859662853,0.319090557441865,0.624259693318023,1,1,1
"1600014C10Rik",0.887069102172401,0.952527884269246,0.985069158867999,1,1,1
"1600014C23Rik",0.995988468926685,0.986051649979111,1,1,1,1
"1700001C19Rik",0.995988468926685,0.268252989811883,0.29094207497929,1,1,1
"1700001J03Rik",1,1,0.981396385055707,1,1,1
"1700001K19Rik",0.234100389653342,0.581595367051678,0.842717011868605,1,1,1
"1700001L19Rik",0.0745164849256566,0.00849012875903411,0.63457463159333,1,1,1
"1700001O22Rik",0.305200215908099,0.0240576357283615,0.395542667609573,1,1,1
"1700001P01Rik",0.797111881790156,0.986051649979111,0.484061188501557,1,1,1
"1700003E16Rik",0.265228360988915,0.597943081061861,0.870695951595514,1,1,1
"1700003F12Rik",0.334992566661521,0.744177923467365,0.842448443242247,1,1,1
"1700006E09Rik",0.995988468926685,0.959198565709067,0.945427348684575,1,1,1
"1700007G11Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"1700007K09Rik",0.995988468926685,0.986051649979111,0.94855079465412,1,1,1
"1700007K13Rik",0.995988468926685,0.986051649979111,0.937271981448394,1,1,1
"1700008O03Rik",0.995988468926685,0.986051649979111,0.878669636005664,1,1,1
"1700010I14Rik",0.484363175013911,0.987632901317324,0.541224738441278,1,1,1
"1700011E24Rik",0.995988468926685,0.998480285282291,0.931966990636756,1,1,1
