"","gene","padj","tissue","comparison"
"1","1810022K09Rik",0.0882274563254958,"CA1","consistent-yoked_consistent"
"2","1810030O07Rik",0.0712202484585068,"CA1","consistent-yoked_consistent"
"3","2410002F23Rik",0.0103370246199599,"CA1","consistent-yoked_consistent"
"4","2410004P03Rik",0.0103889752308515,"CA1","consistent-yoked_consistent"
"5","3110035E14Rik",0.0899172061140718,"CA1","consistent-yoked_consistent"
"6","3632451O06Rik",0.023924907379866,"CA1","consistent-yoked_consistent"
"7","6330408A02Rik",0.0369168722079954,"CA1","consistent-yoked_consistent"
"8","9430015G10Rik",0.0548031457309276,"CA1","consistent-yoked_consistent"
"9","Aagab",0.0873729434792686,"CA1","consistent-yoked_consistent"
"10","Abcd4",0.0827839865016426,"CA1","consistent-yoked_consistent"
"11","Abce1",0.0475602920475161,"CA1","consistent-yoked_consistent"
"12","Abcf1",0.0356779182900007,"CA1","consistent-yoked_consistent"
"13","Abhd14b",0.0538441447733751,"CA1","consistent-yoked_consistent"
"14","Abl1",0.0475602920475161,"CA1","consistent-yoked_consistent"
"15","Ablim1",0.0958445565441069,"CA1","consistent-yoked_consistent"
"16","Ablim2",0.0829147919239184,"CA1","consistent-yoked_consistent"
"17","Abr",0.0769170440476556,"CA1","consistent-yoked_consistent"
"18","Acad8",0.0992361379402916,"CA1","consistent-yoked_consistent"
"19","Acads",0.0197907326867976,"CA1","consistent-yoked_consistent"
"20","Acin1",0.0196248377765692,"CA1","consistent-yoked_consistent"
"21","Acot9",0.096286699356294,"CA1","consistent-yoked_consistent"
"22","Acp1",0.0534714284282014,"CA1","consistent-yoked_consistent"
"23","Acta1",0.0613216057423428,"CA1","consistent-yoked_consistent"
"24","Actl6b",0.0710180776881066,"CA1","consistent-yoked_consistent"
"25","Actr6",0.0642909082234129,"CA1","consistent-yoked_consistent"
"26","Acvr1b",0.0496906730880663,"CA1","consistent-yoked_consistent"
"27","Adam8",0.0750396396526025,"CA1","consistent-yoked_consistent"
"28","Adamts1",9.15907827502029e-05,"CA1","consistent-yoked_consistent"
"29","Adat1",0.0793985731554781,"CA1","consistent-yoked_consistent"
"30","Adgrf5",0.0285669920143051,"CA1","consistent-yoked_consistent"
"31","Adgrl4",0.0506195978902684,"CA1","consistent-yoked_consistent"
"32","Adrb1",0.0974732857775257,"CA1","consistent-yoked_consistent"
"33","Aff4",0.0216084523908142,"CA1","consistent-yoked_consistent"
"34","Afg3l2",0.0829147919239184,"CA1","consistent-yoked_consistent"
"35","Aftph",0.0750396396526025,"CA1","consistent-yoked_consistent"
"36","Agap1",1.13642655516713e-06,"CA1","consistent-yoked_consistent"
"37","Agfg2",0.0880001448613267,"CA1","consistent-yoked_consistent"
"38","Ahcyl1",0.0688181753314265,"CA1","consistent-yoked_consistent"
"39","Ahdc1",0.0958445565441069,"CA1","consistent-yoked_consistent"
"40","Ahnak",0.019268528212236,"CA1","consistent-yoked_consistent"
"41","Aip",0.0827839865016426,"CA1","consistent-yoked_consistent"
"42","AK010878",0.0823302354218658,"CA1","consistent-yoked_consistent"
"43","Akap9",0.0353960744308593,"CA1","consistent-yoked_consistent"
"44","Akt2",0.048090945567435,"CA1","consistent-yoked_consistent"
"45","Aldoa",0.0508064287245582,"CA1","consistent-yoked_consistent"
"46","Alg11",0.0608631852762809,"CA1","consistent-yoked_consistent"
"47","Alms1",0.0508064287245582,"CA1","consistent-yoked_consistent"
"48","Amigo1",0.077753551921182,"CA1","consistent-yoked_consistent"
"49","Amigo3",0.0823056507737565,"CA1","consistent-yoked_consistent"
"50","Amotl1",0.0620232473452582,"CA1","consistent-yoked_consistent"
"51","Amotl2",0.0514338384452124,"CA1","consistent-yoked_consistent"
"52","Ampd3",0.0710180776881066,"CA1","consistent-yoked_consistent"
"53","Ankfy1",0.0935650874606001,"CA1","consistent-yoked_consistent"
"54","Ankrd12",0.0873729434792686,"CA1","consistent-yoked_consistent"
"55","Ankrd26",0.0497823262907982,"CA1","consistent-yoked_consistent"
"56","Ankrd50",0.0499912898651349,"CA1","consistent-yoked_consistent"
"57","Ankrd9",0.0458607128423574,"CA1","consistent-yoked_consistent"
"58","Ankzf1",0.0714431698259295,"CA1","consistent-yoked_consistent"
"59","Ap1s1",0.0475602920475161,"CA1","consistent-yoked_consistent"
"60","Ap3m2",0.0958445565441069,"CA1","consistent-yoked_consistent"
"61","Ap4m1",0.0538441447733751,"CA1","consistent-yoked_consistent"
"62","Aph1c",0.0712489676278573,"CA1","consistent-yoked_consistent"
"63","Apln",0.0593696759890437,"CA1","consistent-yoked_consistent"
"64","Apmap",0.0881667638877915,"CA1","consistent-yoked_consistent"
"65","Apol8",0.0819593046423781,"CA1","consistent-yoked_consistent"
"66","Aptx",0.0899562425800852,"CA1","consistent-yoked_consistent"
"67","Arf5",0.0556976843109107,"CA1","consistent-yoked_consistent"
"68","Arfgef3",0.0899172061140718,"CA1","consistent-yoked_consistent"
"69","Arglu1",0.0908523109042983,"CA1","consistent-yoked_consistent"
"70","Arhgap29",0.0574395049557861,"CA1","consistent-yoked_consistent"
"71","Arhgap31",0.0947131369609527,"CA1","consistent-yoked_consistent"
"72","Arhgef11",0.023924907379866,"CA1","consistent-yoked_consistent"
"73","Arhgef19",0.0880836642843458,"CA1","consistent-yoked_consistent"
"74","Arid1b",0.0353960744308593,"CA1","consistent-yoked_consistent"
"75","Arl13b",0.0978626363146362,"CA1","consistent-yoked_consistent"
"76","Arl5a",0.0673914135602202,"CA1","consistent-yoked_consistent"
"77","Armc1",0.0880001448613267,"CA1","consistent-yoked_consistent"
"78","Armc7",0.0770488874418785,"CA1","consistent-yoked_consistent"
"79","Arntl2",0.0902327485300217,"CA1","consistent-yoked_consistent"
"80","Arrdc3",0.0902327485300217,"CA1","consistent-yoked_consistent"
"81","Arrdc4",0.0475602920475161,"CA1","consistent-yoked_consistent"
"82","Asap1",0.0705532795715202,"CA1","consistent-yoked_consistent"
"83","Asb3",0.0307582939273495,"CA1","consistent-yoked_consistent"
"84","Ascc1",0.0827839865016426,"CA1","consistent-yoked_consistent"
"85","Asxl3",0.0528731464395985,"CA1","consistent-yoked_consistent"
"86","Atf5",0.0964829694715684,"CA1","consistent-yoked_consistent"
"87","Atf6b",0.0404114909261722,"CA1","consistent-yoked_consistent"
"88","Atp13a4",0.0576381661407861,"CA1","consistent-yoked_consistent"
"89","Atp2b2",0.0819593046423781,"CA1","consistent-yoked_consistent"
"90","Atp5e",0.0663582133664104,"CA1","consistent-yoked_consistent"
"91","Atp6v1b2",0.0487676869081087,"CA1","consistent-yoked_consistent"
"92","Atp6v1g2",0.0467754474859671,"CA1","consistent-yoked_consistent"
"93","Atpaf2",0.0899172061140718,"CA1","consistent-yoked_consistent"
"94","Atxn10",0.00348455815644432,"CA1","consistent-yoked_consistent"
"95","Atxn7l2",0.0557769902550423,"CA1","consistent-yoked_consistent"
"96","Atxn7l3",0.0596236371397107,"CA1","consistent-yoked_consistent"
"97","AU019823",0.0268276638073166,"CA1","consistent-yoked_consistent"
"98","AU040320",0.0574395049557861,"CA1","consistent-yoked_consistent"
"99","Azin2",0.0827839865016426,"CA1","consistent-yoked_consistent"
"100","Bag3",0.062104329072406,"CA1","consistent-yoked_consistent"
"101","Bahcc1",0.0253205032511947,"CA1","consistent-yoked_consistent"
"102","Bap1",0.0673914135602202,"CA1","consistent-yoked_consistent"
"103","Basp1",0.0560869784250237,"CA1","consistent-yoked_consistent"
"104","Bax",0.0442131372396869,"CA1","consistent-yoked_consistent"
"105","Baz2a",0.0967956750172379,"CA1","consistent-yoked_consistent"
"106","Baz2b",0.0908523109042983,"CA1","consistent-yoked_consistent"
"107","Bbs5",0.0794085200818998,"CA1","consistent-yoked_consistent"
"108","BC024978",0.0770488874418785,"CA1","consistent-yoked_consistent"
"109","BC030500",0.0902986243200686,"CA1","consistent-yoked_consistent"
"110","Bloc1s5",0.0827839865016426,"CA1","consistent-yoked_consistent"
"111","Bmpr2",0.0615540132101413,"CA1","consistent-yoked_consistent"
"112","Bop1",0.0770488874418785,"CA1","consistent-yoked_consistent"
"113","Bri3bp",0.0514338384452124,"CA1","consistent-yoked_consistent"
"114","Btbd10",0.0880001448613267,"CA1","consistent-yoked_consistent"
"115","Bud31",0.023924907379866,"CA1","consistent-yoked_consistent"
"116","C1galt1c1",0.0259826229135241,"CA1","consistent-yoked_consistent"
"117","C2cd3",0.0673914135602202,"CA1","consistent-yoked_consistent"
"118","Cabp1",0.0899172061140718,"CA1","consistent-yoked_consistent"
"119","Camk2d",0.0394029552272985,"CA1","consistent-yoked_consistent"
