"gene","padj","logpadj","lfc","direction"
"0610007P14Rik",1,0,0.129806682749542,"NS"
"0610009B22Rik",1,0,-0.194144034424487,"NS"
"0610009L18Rik",1,0,0.480090201060547,"NS"
"0610009O20Rik",1,0,-0.133223166566646,"NS"
"0610010F05Rik",1,0,-0.530797990725413,"NS"
"0610010K14Rik",1,0,0.333698071474738,"NS"
"0610012G03Rik",1,0,0.0319432855254338,"NS"
"0610030E20Rik",1,0,-0.369272909958453,"NS"
"0610037L13Rik",1,0,0.54454307023946,"NS"
"0610040J01Rik",1,0,1.77989907168925,"NS"
"1110002E22Rik",1,0,0.749760865007216,"NS"
"1110004E09Rik",1,0,-0.100546836857976,"NS"
"1110004F10Rik",1,0,-0.285441590967313,"NS"
"1110008F13Rik",1,0,0.355539039761068,"NS"
"1110008L16Rik",1,0,-0.728487498502737,"NS"
"1110008P14Rik",1,0,0.278747402180571,"NS"
"1110012L19Rik",1,0,2.04628735551261,"NS"
"1110017D15Rik",1,0,-1.10356548603641,"NS"
"1110032A03Rik",1,0,0.290816386421993,"NS"
"1110032F04Rik",1,0,0.289268735833986,"NS"
"1110034G24Rik",1,0,-0.800889810127916,"NS"
"1110037F02Rik",1,0,-0.144338995440107,"NS"
"1110038F14Rik",1,0,-0.516396199098097,"NS"
"1110051M20Rik",1,0,0.476433369549515,"NS"
"1110059E24Rik",1,0,-0.566872581045713,"NS"
"1110059G10Rik",1,0,0.744508037611789,"NS"
"1110065P20Rik",1,0,0.775846376507761,"NS"
"1190002N15Rik",1,0,-0.754574998141348,"NS"
"1190005I06Rik",1,0,-1.51163476066162,"NS"
"1190007I07Rik",1,0,0.982415774382693,"NS"
"1500009C09Rik",1,0,0.133999962957278,"NS"
"1500009L16Rik",1,0,0.236348716996477,"NS"
"1500011B03Rik",1,0,0.631050434098491,"NS"
"1500011K16Rik",1,0,0.0553509073409206,"NS"
"1520401A03Rik",1,0,2.08474409705553,"NS"
"1600002H07Rik",1,0,0.422000838890086,"NS"
"1600002K03Rik",1,0,-0.673018784743197,"NS"
"1600012H06Rik",1,0,1.42704968784197,"NS"
"1600014C10Rik",1,0,0.232010323907721,"NS"
"1700001C02Rik",1,0,0,"NS"
"1700001C19Rik",1,0,-3.20777562856185,"NS"
"1700001J03Rik",1,0,2.03900868957997,"NS"
"1700001K19Rik",1,0,0.489225026172807,"NS"
"1700001L19Rik",1,0,0.653953008881715,"NS"
"1700001O22Rik",1,0,5.43178777722011,"NS"
"1700001P01Rik",1,0,3.36367282303753,"NS"
"1700003E16Rik",1,0,0.766790027857846,"NS"
"1700003F12Rik",1,0,1.31662971092363,"NS"
"1700006E09Rik",1,0,4.08812277598146,"NS"
"1700007G11Rik",1,0,2.98442136199316,"NS"
"1700007K09Rik",1,0,0,"NS"
"1700007K13Rik",1,0,-1.13260625379393,"NS"
"1700008O03Rik",1,0,0.0473081878993318,"NS"
"1700010I14Rik",1,0,4.41804019490745,"NS"
"1700011E24Rik",1,0,0,"NS"
"1700011H14Rik",1,0,0,"NS"
"1700013F07Rik",1,0,3.50001244494401,"NS"
"1700014D04Rik",1,0,3.86879386040122,"NS"
"1700015E13Rik",1,0,1.74502864814374,"NS"
"1700016D06Rik",1,0,-0.0981784256306328,"NS"
"1700017B05Rik",1,0,-0.183736725656535,"NS"
"1700019B03Rik",1,0,-0.943326025403225,"NS"
"1700019D03Rik",1,0,-0.014919854822856,"NS"
"1700020A23Rik",1,0,2.08471246802575,"NS"
"1700020D05Rik",1,0,3.66210577908755,"NS"
"1700020L24Rik",1,0,-3.56044429092669,"NS"
"1700021F05Rik",1,0,0.629240199658982,"NS"
"1700022I11Rik",1,0,-0.173996509538028,"NS"
"1700023F06Rik",1,0,5.84621111947863,"NS"
"1700024P16Rik",1,0,4.70588952857581,"NS"
"1700025G04Rik",1,0,0.121049079285087,"NS"
"1700027J19Rik",1,0,0,"NS"
"1700028J19Rik",1,0,-2.65824004290948,"NS"
"1700028P14Rik",1,0,1.1880823926217,"NS"
"1700029F12Rik",1,0,-2.9991290614612,"NS"
"1700029I15Rik",1,0,-0.408428729973693,"NS"
"1700029J07Rik",1,0,1.44571343700881,"NS"
"1700029P11Rik",1,0,-3.12351668030614,"NS"
"1700030J22Rik",1,0,-0.698913708556841,"NS"
"1700030K09Rik",1,0,0.809957124569555,"NS"
"1700034I23Rik",1,0,-0.639272389976219,"NS"
"1700034J05Rik",1,0,3.0025207679128,"NS"
"1700037C18Rik",1,0,3.10978391680904,"NS"
"1700037H04Rik",1,0,-0.109444845396381,"NS"
"1700040L02Rik",1,0,0.975799883092841,"NS"
"1700047I17Rik2",1,0,-0.843804991186232,"NS"
"1700048O20Rik",1,0,0.0054844026405928,"NS"
"1700057G04Rik",1,0,0,"NS"
"1700061G19Rik",1,0,4.68365057366064,"NS"
"1700066B19Rik",1,0,-2.37818948537462,"NS"
"1700066M21Rik",1,0,0.349853851877899,"NS"
"1700067K01Rik",1,0,0,"NS"
"1700088E04Rik",1,0,4.99300111246364,"NS"
"1700093K21Rik",1,0,4.33249438644947,"NS"
"1700102P08Rik",1,0,-0.903251525136789,"NS"
"1700109H08Rik",1,0,1.302793486039,"NS"
"1700112E06Rik",1,0,-1.12420659238298,"NS"
"1700123L14Rik",1,0,1.64166649818645,"NS"
"1700123O20Rik",1,0,-0.495194921760846,"NS"
"1700128F08Rik",1,0,1.05195802864133,"NS"
"1810009A15Rik",1,0,-1.011065733342,"NS"
"1810010H24Rik",1,0,-1.3856777899002,"NS"
"1810011H11Rik",1,0,3.40113781013061,"NS"
"1810011O10Rik",1,0,-4.88478529847797,"NS"
"1810013L24Rik",1,0,-0.323167257238748,"NS"
"1810022K09Rik",1,0,-1.02293149846741,"NS"
"1810024B03Rik",1,0,0,"NS"
"1810026J23Rik",1,0,0.419024679712231,"NS"
"1810030O07Rik",1,0,-0.247956672659008,"NS"
"1810032O08Rik",1,0,-0.0552452067688559,"NS"
"1810037I17Rik",1,0,-0.238435286223955,"NS"
"1810041L15Rik",1,0,-0.60126207542634,"NS"
"1810043G02Rik",1,0,0.149786223416222,"NS"
"1810043H04Rik",1,0,1.85394950451437,"NS"
"1810049J17Rik",1,0,-1.19156471547325,"NS"
"1810055G02Rik",1,0,1.28117014662652,"NS"
"2010005H15Rik",1,0,0,"NS"
"2010107E04Rik",1,0,0.834376670802356,"NS"
"2010107G23Rik",1,0,0.253075977283715,"NS"
"2010109A12Rik",1,0,3.2412397319569,"NS"
"2010109I03Rik",1,0,-0.572615083267616,"NS"
"2010111I01Rik",1,0,0.687596374171041,"NS"
"2010300C02Rik",1,0,0.730431442394708,"NS"
