"gene","lfc","padj","tissue","comparison"
"Sco2",7.9434628891649,0.0130891757922191,"CA3","standard.trained-standard.yoked"
"Sco2",7.46254633274755,0.0193463093876184,"CA3","conflict.yoked-standard.yoked"
"Tbc1d16",-2.01314395385284,0.0960506721439744,"CA3","conflict.yoked-standard.yoked"
"4930524J08Rik",8.83520688040961,0.0672852873582772,"CA3","home.cage-standard.yoked"
"Acvrl1",-6.13815819280114,0.085446444661855,"CA3","home.cage-standard.yoked"
"Anxa5",-3.14855340438497,0.0723417692778479,"CA3","home.cage-standard.yoked"
"Apc",-1.23526908209252,0.086088387500504,"CA3","home.cage-standard.yoked"
"Btbd19",3.98183397951662,0.0706312986523909,"CA3","home.cage-standard.yoked"
"Camk2a",-0.970445173590509,0.086088387500504,"CA3","home.cage-standard.yoked"
"Chd7",2.80162653504272,0.086088387500504,"CA3","home.cage-standard.yoked"
"Ephb1",-2.24353143260887,0.0993899174971617,"CA3","home.cage-standard.yoked"
"Ets1",-6.83960957901934,0.0988528560358019,"CA3","home.cage-standard.yoked"
"Fam129b",-6.57863076769053,0.0601355325841765,"CA3","home.cage-standard.yoked"
"Fbxo27",3.16604255915084,0.086088387500504,"CA3","home.cage-standard.yoked"
"Gjc3",-2.85289454064924,0.078403337586512,"CA3","home.cage-standard.yoked"
"Gpc5",-3.21916693400346,0.0601355325841765,"CA3","home.cage-standard.yoked"
"Gprc5b",-2.43398733070255,0.085446444661855,"CA3","home.cage-standard.yoked"
"Gria4",-2.12472501637855,0.0672852873582772,"CA3","home.cage-standard.yoked"
"Hba-a1",-7.41826485410457,0.0269313099443404,"CA3","home.cage-standard.yoked"
"Hexb",-2.43744254153861,0.086088387500504,"CA3","home.cage-standard.yoked"
"Hist1h1c",-6.52387300029033,0.0673722619624725,"CA3","home.cage-standard.yoked"
"Hkdc1",3.77831102896853,0.085446444661855,"CA3","home.cage-standard.yoked"
"Iqsec3",-1.20715680135706,0.085446444661855,"CA3","home.cage-standard.yoked"
"Kcna6",-1.74891901489099,0.0164649827163066,"CA3","home.cage-standard.yoked"
"Kif5a",-1.76498086955898,0.0751298947536758,"CA3","home.cage-standard.yoked"
"Msn",-4.89545179852429,0.0690776121624195,"CA3","home.cage-standard.yoked"
"Ndst4",6.89940103233908,0.0722230608880426,"CA3","home.cage-standard.yoked"
"Nfic",-1.62647704320736,0.0775079567847854,"CA3","home.cage-standard.yoked"
"Nkd1",-4.4087282075295,0.085446444661855,"CA3","home.cage-standard.yoked"
"Pcbp3",1.56091857872506,0.0673722619624725,"CA3","home.cage-standard.yoked"
"Pcdhgb6",-4.239999223336,0.0690776121624195,"CA3","home.cage-standard.yoked"
"Prelp",-6.56965399106529,0.0716178005975702,"CA3","home.cage-standard.yoked"
"Prr18",-3.10434881921598,0.0673722619624725,"CA3","home.cage-standard.yoked"
"Ptn",-2.21032005381145,0.086088387500504,"CA3","home.cage-standard.yoked"
"Rapgef4",-2.02323181105147,0.0601355325841765,"CA3","home.cage-standard.yoked"
"Rell1",-6.25567848704182,0.0925071837094993,"CA3","home.cage-standard.yoked"
"Sco2",8.40018630603537,0.00237258469921066,"CA3","home.cage-standard.yoked"
"Scrg1",-5.77812048709473,0.0723417692778479,"CA3","home.cage-standard.yoked"
"Slc15a2",-3.80401527090263,0.0723417692778479,"CA3","home.cage-standard.yoked"
"Slc52a2",-4.48579301955563,0.086088387500504,"CA3","home.cage-standard.yoked"
