"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","145A-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"0610007P14Rik",7.09015549814664,7.58968939134596,7.26702246679002,7.03429978792216,6.91967757890632,6.82584840314581,7.26704771105379,6.79931924351579,7.15772473689789,7.17264028836216,6.8811453014069,6.96254929387533,7.29519162145446
"0610009B22Rik",6.50078779677736,7.01165109789794,6.57733709709349,6.9472979425053,6.4254065919863,6.91947305077529,6.28875375545057,6.9344863898694,6.51582681477711,6.4039209779424,6.5868764471116,6.57874428070402,6.73221266530582
"0610009L18Rik",6.08722641205504,6.71402883175886,6.32100404828009,6.27744994173976,6.32127130520305,5.79792097911291,6.28875375545057,6.04910969117149,6.19680057265716,6.16657206991213,6.17114505901687,6.2232376120478,6.26590698445161
"0610009O20Rik",7.09015549814664,7.55117713406461,7.04686957512864,7.38540617473129,6.95623438934602,7.34855397765671,7.37810921280463,6.97147746832983,7.12818176809957,7.27314551763497,6.93830709012026,7.05820767082486,6.95259058973309
"0610010F05Rik",7.43524966761463,7.42762249608666,7.07108568610524,7.54024590564301,7.53846498179142,6.72106904335073,7.2354725541587,7.55291171060551,7.53164813945865,7.68010705312725,7.54752741467699,7.63966017736645,7.56991293152909
"0610010K14Rik",6.50078779677736,7.07342074871035,6.65735097676436,6.68512652022891,6.513781055925,6.26536257807974,6.36378895405733,6.38372248186076,6.2740297740858,6.41378993985285,5.79792097911291,6.79815436842671,6.66965585338728
"0610012G03Rik",6.88498311060856,7.73270598568828,7.41604426344919,7.45831262422742,7.51009310440255,7.0045905035685,7.47290344536593,7.06378544657569,7.39282113135617,7.18427819935172,7.34040769333045,7.44470715111714,7.18872726059552
"0610030E20Rik",6.65464831115343,7.18685016413178,7.2056027373785,6.3838927431576,6.82832897589128,6.45615448321674,6.79159928130839,6.85582799787156,7.13564547200782,7.24065929600212,6.5868764471116,6.81009691450627,6.79965217280958
"0610037L13Rik",7.56835719249833,7.33737649052932,7.62387047655966,7.13341550901129,7.0365206826003,7.22382484024835,7.17792088330295,7.29095139695241,7.15772473689789,7.10831913812145,7.15839298531856,7.51930162251841,7.27240470376461
"0610040J01Rik",6.44058521629575,6.51219978787452,5.79792097911291,5.79792097911291,6.14787876397264,5.79792097911291,6.16454579830947,6.10536968899937,5.79792097911291,6.16657206991213,6.26269979858284,6.32999581367957,6.30627491963178
"1110002E22Rik",5.79792097911291,5.79792097911291,5.79792097911291,6.13777583631765,5.79792097911291,6.26536257807974,6.42958630896623,5.79792097911291,5.79792097911291,6.07052348116682,5.79792097911291,6.19188989760723,5.79792097911291
"1110004E09Rik",7.2048703899092,6.61998239225951,6.76375146374334,7.33935249233526,6.99145004644954,6.45615448321674,7.00371826299416,6.97147746832983,6.77112959799212,6.64886013127356,6.42900672553653,7.27201585934757,6.79965217280958
"1110004F10Rik",7.74214755538339,7.51139780343617,7.96863884596317,8.13817050695213,7.92140945373541,8.11293076279755,7.77641092466592,7.81494079597839,7.60288598243154,7.82744588187083,7.69332937079517,7.90444549823807,7.58321600448941
"1110008F13Rik",7.73401068421134,7.23933856488408,7.54812708849267,7.64150192452544,7.45124230132953,7.74610527607146,7.66491538941533,7.51677516674413,6.90253916646795,7.20718308324678,7.40568533610333,7.64510656762451,7.63502606768385
"1110008L16Rik",6.48626620448924,5.79792097911291,5.79792097911291,6.33344226761965,6.32127130520305,5.79792097911291,5.79792097911291,6.32845163915429,6.24980044309452,6.35178899370089,6.29448713200246,6.35337292064651,6.55249005025261
"1110008P14Rik",7.85461659022944,8.48296427946143,7.83921161799106,8.3159324595173,7.97207444873693,8.20562459623509,8.13371947437473,8.02232493338832,7.27494577815321,7.6648863907727,8.19853327536335,8.35421655108711,7.90417183535242
"1110012L19Rik",5.79792097911291,6.71402883175886,6.32100404828009,6.21367939312316,6.22600934735641,6.91947305077529,6.38658562481648,5.79792097911291,6.13534096449054,6.07052348116682,6.26269979858284,6.19188989760723,6.24430431086825
"1110017D15Rik",5.79792097911291,6.21310074711845,5.79792097911291,5.79792097911291,6.04568107033321,5.79792097911291,5.9622333015132,5.79792097911291,5.79792097911291,6.14950243147828,5.79792097911291,5.95917437673526,6.11418856171014
"1110032A03Rik",6.90241723207205,7.23933856488408,6.82781852939039,7.03429978792216,6.55383120923871,7.15571777335637,6.9835086158122,7.10695379713706,6.66662803657371,6.7520789808854,6.5482908398375,6.83350426876075,6.8877473475772
"1110032F04Rik",6.92797124788397,5.79792097911291,6.53372974508939,6.55103753686899,6.53410176611446,5.79792097911291,6.60919523044297,6.7696296775595,6.39854584178971,6.4039209779424,6.6234939915914,6.52940122954013,6.48568564295717
"1110034G24Rik",6.4561892013672,6.51219978787452,5.79792097911291,6.27744994173976,6.14787876397264,5.79792097911291,6.38658562481648,6.6388637663606,6.19680057265716,6.68914791897956,6.26269979858284,6.25237071273043,6.42673423028301
"1110037F02Rik",7.267043262824,6.71402883175886,7.86372856197482,7.01326038037562,7.42839507868782,6.26536257807974,7.17792088330295,7.35167922471489,7.06646162100063,7.25521562025265,7.2888734549429,7.35816168975257,7.35557709636147
"1110038F14Rik",6.63116817770828,6.61998239225951,6.91601621412504,6.90065878241931,6.85537865287435,5.79792097911291,6.77892499117682,6.69043814152509,6.46825388324829,6.72122099597147,6.8811453014069,6.81009691450627,7.03515978391065
"1110051M20Rik",8.35242026160747,8.16000499776555,8.25906719788499,7.9329950926958,8.04926870194431,7.40612017158758,8.45522161158793,8.27253995366578,7.94278159965813,7.88019324392119,8.04129292301088,8.35105415895356,8.32242715356604
"1110059E24Rik",6.59450576999748,6.79825293427866,6.65735097676436,7.03429978792216,6.97985280716356,5.79792097911291,6.88690634572817,6.9344863898694,6.71473986659565,6.70854474480406,6.98637755903975,6.73580293536541,6.71189678562978
"1110059G10Rik",6.42456678793802,6.51219978787452,6.48711914429975,6.33344226761965,6.74174966337278,6.72106904335073,6.65518241394606,6.62086964246792,6.05952294059436,6.4424374288196,6.59620443620098,6.56268222169983,6.47146478007793
"1110065P20Rik",7.50611628945627,8.1354597591778,7.76270619792192,7.59192330796934,7.59328487854632,7.65821001155342,7.72455074796254,6.97147746832983,7.08224136025943,6.98507287221741,7.25315163288251,7.60646624357958,7.35021824919519
"1190002N15Rik",6.55588679675163,5.79792097911291,6.69440505779589,6.74433809655362,6.80042601164352,6.60070257844287,6.84052547305139,6.84203459986828,6.39854584178971,6.78183763879804,6.50741396199011,6.37576087085878,6.68042929125745
"1190005I06Rik",5.79792097911291,5.79792097911291,6.16880374796255,6.3838927431576,6.40114897700492,5.79792097911291,6.03016844607983,6.43397438820465,5.79792097911291,5.95546405847215,6.26269979858284,6.2232376120478,5.99818610328899
"1190007I07Rik",6.27628957614457,6.38308265537795,6.32100404828009,6.13777583631765,6.44870669832753,6.72106904335073,6.33998374420797,6.23190420549957,6.09985557890259,6.28147600077981,6.35242392720033,6.35337292064651,6.22156488840593
"1500009C09Rik",7.68404931555059,8.3203072131815,7.14048955769022,7.85335112853879,7.73850812873867,7.28792862847895,8.05002627840617,7.68121700485989,7.48352475910575,7.90154940553064,7.56846188875505,8.23200206131254,7.68880127185074
"1500009L16Rik",6.58186425300839,6.61998239225951,6.16880374796255,6.79960298001174,7.01424139923227,7.15571777335637,6.7125215629335,6.54409459673837,6.89308364554046,6.53746112616613,6.07644940259797,6.65412835436906,6.45691463827587
"1500011B03Rik",7.83968054743949,8.03248191501105,7.65290411316203,7.82216754830422,7.71443779915754,8.49968202435094,7.95183069500378,7.6153613339845,7.26838686781605,7.5666332713553,7.73028584796361,8.15004216146089,7.99332454046595
"1500011K16Rik",6.54252647170037,6.79825293427866,7.41604426344919,6.65378352774233,6.64502095386144,6.45615448321674,7.00371826299416,6.94697623192235,6.65412498630262,6.81059525875415,7.05979338820606,6.82187834980783,6.92879463563695
"1520401A03Rik",6.00266189302359,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.04910969117149,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1600002H07Rik",6.61914818949769,6.51219978787452,6.38195803397133,5.79792097911291,6.44870669832753,5.79792097911291,6.52541301907359,6.7696296775595,6.09985557890259,6.68257580844665,6.44083513550014,6.78604476894869,6.70154472001311
"1600002K03Rik",5.79792097911291,6.21310074711845,5.79792097911291,5.79792097911291,6.44870669832753,5.79792097911291,6.26092805397241,6.2663850034612,5.79792097911291,6.49599525105774,6.21028215568731,6.41799407050082,6.45691463827587
"1600012H06Rik",7.06122783321169,6.79825293427866,7.04686957512864,6.27744994173976,6.57301478134742,7.65821001155342,6.92021584041698,6.79931924351579,7.09778218025806,6.77005945832707,7.02093536102191,6.8675002186995,6.8535411894347
"1600014C10Rik",7.24259504419134,6.79825293427866,7.26702246679002,7.05490655755214,7.13113787248326,7.0045905035685,7.31278987282366,6.88279931198112,6.95735477697783,7.15295742310539,7.1682524772251,7.47009658304789,6.87931527027895
"1700001C02Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.22600934735641,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700001C19Rik",5.79792097911291,5.79792097911291,5.79792097911291,6.13777583631765,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.09985557890259,6.22799069013637,5.79792097911291,5.95917437673526,5.93958660595551
"1700001J03Rik",5.79792097911291,6.21310074711845,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.99818610328899
"1700001K19Rik",6.33692882350559,6.21310074711845,6.06053473843515,5.79792097911291,5.97322132464596,6.26536257807974,6.28875375545057,6.52350943179416,6.3797318296214,6.28147600077981,6.10293924104485,5.79792097911291,6.11418856171014
"1700001L19Rik",6.18015868991783,6.21310074711845,6.06053473843515,5.79792097911291,6.26002946404218,6.26536257807974,6.08221192150798,6.35680452749698,6.13534096449054,6.24198646124767,6.21028215568731,6.35337292064651,6.19749454254532
"1700001O22Rik",6.31753497558397,5.79792097911291,6.16880374796255,5.79792097911291,6.29163758153291,6.26536257807974,6.50735933102665,6.10536968899937,5.79792097911291,5.79792097911291,5.79792097911291,5.95917437673526,6.28652382987929
"1700001P01Rik",6.23097893317135,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700003E16Rik",6.77262843687469,7.23933856488408,6.32100404828009,6.77242020048512,7.24536333123389,7.61181566777793,6.56013488838651,7.09633016940974,6.77112959799212,6.79345580853078,6.83408965728887,7.01153360121945,6.79965217280958
"1700003F12Rik",6.18015868991783,5.79792097911291,6.57733709709349,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.95546405847215,6.07644940259797,5.79792097911291,5.79792097911291
"1700006E09Rik",6.08722641205504,6.38308265537795,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.01380191826847,5.79792097911291,5.99818610328899
"1700007G11Rik",6.15195133449451,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700007K09Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.01161542902384,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700007K13Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.10117829047018,5.79792097911291,5.79792097911291,6.10536968899937,5.79792097911291,5.99082321164452,6.07644940259797,5.79792097911291,6.04309649571116
"1700008O03Rik",6.08722641205504,5.79792097911291,5.79792097911291,5.79792097911291,6.10117829047018,5.79792097911291,5.79792097911291,5.79792097911291,6.13534096449054,6.19849026973764,5.79792097911291,6.35337292064651,5.93958660595551
"1700010I14Rik",6.00266189302359,6.38308265537795,6.06053473843515,5.79792097911291,6.26002946404218,5.79792097911291,5.79792097911291,6.10536968899937,6.39854584178971,5.79792097911291,5.79792097911291,6.2232376120478,5.93958660595551
"1700011E24Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.09985557890259,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700011H14Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.10117829047018,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"1700013F07Rik",6.04857148034713,5.79792097911291,6.06053473843515,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.19188989760723,5.93958660595551
"1700014D04Rik",6.35561876365576,5.79792097911291,6.06053473843515,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.11418856171014
"1700015E13Rik",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.10117829047018,5.79792097911291,5.79792097911291,5.79792097911291,6.13534096449054,5.79792097911291,5.79792097911291,5.95917437673526,6.08091217074918
"1700016D06Rik",6.23097893317135,6.38308265537795,6.06053473843515,6.21367939312316,6.04568107033321,6.45615448321674,6.19932390637337,6.04910969117149,5.79792097911291,6.30604222883444,5.79792097911291,5.95917437673526,6.22156488840593
"1700017B05Rik",7.66694119704936,7.42762249608666,6.76375146374334,7.5792085547727,7.35703404830244,6.82584840314581,7.16089670247966,7.47192134136347,7.93139693345838,7.22590753318343,7.1682524772251,7.29417800587137,7.5011098215384
"1700019B03Rik",5.79792097911291,6.21310074711845,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.07052348116682,5.79792097911291,5.79792097911291,5.93958660595551
"1700019D03Rik",6.39115103340929,6.61998239225951,6.25153872094999,6.4301316464168,6.22600934735641,5.79792097911291,6.60919523044297,6.6736238818126,6.2740297740858,6.56889996280363,6.78439946440884,6.63964846623165,6.47146478007793
"1700020A23Rik",6.00266189302359,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.97424176824464,5.79792097911291,5.79792097911291
