"gene","padj","logpadj","lfc","direction"
"0610007P14Rik",1,0,-0.178338427912299,"NS"
"0610009B22Rik",1,0,-0.760087957587221,"NS"
"0610009L18Rik",1,0,0.642550784362731,"NS"
"0610009O20Rik",1,0,0.26475428873668,"NS"
"0610010F05Rik",1,0,-0.389059086152412,"NS"
"0610010K14Rik",1,0,0.410580873809367,"NS"
"0610012G03Rik",1,0,0.0959189802299824,"NS"
"0610030E20Rik",1,0,-0.105455100304139,"NS"
"0610037L13Rik",1,0,0.118541387832647,"NS"
"0610040J01Rik",1,0,-0.29700028781524,"NS"
"1110002E22Rik",1,0,-0.169984845106831,"NS"
"1110004E09Rik",1,0,0.403258240835542,"NS"
"1110004F10Rik",1,0,-0.0144911696143771,"NS"
"1110008F13Rik",1,0,-0.398828854074662,"NS"
"1110008L16Rik",1,0,0.276310252448828,"NS"
"1110008P14Rik",1,0,0.575576750904566,"NS"
"1110012L19Rik",1,0,-0.811784141682475,"NS"
"1110017D15Rik",1,0,0.458039829162897,"NS"
"1110032A03Rik",1,0,0.85640852916267,"NS"
"1110032F04Rik",1,0,0.967290474584709,"NS"
"1110034G24Rik",1,0,0.679530083513737,"NS"
"1110037F02Rik",1,0,0.0107713333187793,"NS"
"1110038F14Rik",1,0,0.277218412961173,"NS"
"1110051M20Rik",1,0,-0.286797573707649,"NS"
"1110059E24Rik",1,0,-0.0991562943554077,"NS"
"1110059G10Rik",1,0,1.32811742393901,"NS"
"1110065P20Rik",1,0,-0.0161225339542022,"NS"
"1190002N15Rik",1,0,-0.409508069043497,"NS"
"1190005I06Rik",1,0,-0.765325836587699,"NS"
"1190007I07Rik",1,0,0.0931928203452212,"NS"
"1300017J02Rik",1,0,0,"NS"
"1500009C09Rik",1,0,0.0607478003014501,"NS"
"1500009L16Rik",1,0,0.126292675653682,"NS"
"1500011B03Rik",1,0,-0.0844275404757503,"NS"
"1500011K16Rik",1,0,0.71904991761442,"NS"
"1500015O10Rik",1,0,-0.853866280996171,"NS"
"1520401A03Rik",1,0,-0.764360774332355,"NS"
"1600002H07Rik",1,0,-0.452729724720135,"NS"
"1600002K03Rik",1,0,0.00532864079998543,"NS"
"1600012H06Rik",1,0,-0.270216960990827,"NS"
"1600014C10Rik",1,0,0.419876926465652,"NS"
"1700001C19Rik",1,0,0.364461666110884,"NS"
"1700001K19Rik",1,0,-0.165846874094746,"NS"
"1700001L19Rik",1,0,0.048330726032068,"NS"
"1700001O22Rik",1,0,0.385158836476363,"NS"
"1700001P01Rik",1,0,-1.35205860250825,"NS"
"1700003E16Rik",1,0,-0.0244980988163657,"NS"
"1700003F12Rik",1,0,1.48946367109098,"NS"
"1700006E09Rik",1,0,1.85118334247104,"NS"
"1700007G11Rik",1,0,-0.949463117736016,"NS"
"1700007K13Rik",1,0,1.12650052567607,"NS"
"1700008O03Rik",1,0,3.50712250394658,"NS"
"1700010I14Rik",1,0,-1.96636199890285,"NS"
"1700011E24Rik",1,0,1.12651053072429,"NS"
"1700011H14Rik",1,0,-3.33134605350088,"NS"
"1700011M02Rik",1,0,0,"NS"
"1700013D24Rik",1,0,0,"NS"
"1700013F07Rik",1,0,-2.44736534774665,"NS"
"1700014D04Rik",1,0,-0.564039768416832,"NS"
"1700015E13Rik",1,0,0.379020966262042,"NS"
"1700016D06Rik",1,0,-0.18318941183652,"NS"
"1700016K19Rik",1,0,2.15053355892608,"NS"
"1700017B05Rik",1,0,-0.0150500941079136,"NS"
"1700019A02Rik",1,0,2.54344759384725,"NS"
"1700019B03Rik",1,0,-0.450807757636128,"NS"
"1700019D03Rik",1,0,-0.353934021030615,"NS"
"1700019O17Rik",1,0,0,"NS"
"1700020A23Rik",1,0,2.83002057282535,"NS"
"1700020D05Rik",1,0,1.21692108135345,"NS"
"1700020L24Rik",1,0,2.25280204426745,"NS"
"1700020N01Rik",1,0,1.63214203790949,"NS"
"1700021F05Rik",1,0,0.311446186680434,"NS"
"1700022I11Rik",1,0,-3.0321264056162,"NS"
"1700023F06Rik",1,0,0.493721937139607,"NS"
"1700024P16Rik",1,0,0.691510354980453,"NS"
"1700025G04Rik",1,0,-0.159779023233799,"NS"
"1700027J19Rik",1,0,-0.842646616665415,"NS"
"1700028J19Rik",1,0,-0.614061756070246,"NS"
"1700028K03Rik",1,0,-3.00383133901206,"NS"
"1700028P14Rik",1,0,1.33362826909514,"NS"
"1700029F12Rik",1,0,-2.61753636896862,"NS"
"1700029H14Rik",1,0,1.12651859732888,"NS"
"1700029I15Rik",1,0,0.919609820079858,"NS"
"1700029J07Rik",1,0,-2.17388898918809,"NS"
"1700030J22Rik",1,0,-0.480633754909585,"NS"
"1700030K09Rik",1,0,0.206326872784526,"NS"
"1700034I23Rik",1,0,0.625642325504831,"NS"
"1700034J05Rik",1,0,0.751405570231826,"NS"
"1700037C18Rik",1,0,-1.19028398451984,"NS"
"1700037H04Rik",1,0,-0.127047250248821,"NS"
"1700040L02Rik",1,0,0.386349485287631,"NS"
"1700047I17Rik2",1,0,0.236244302451482,"NS"
"1700048O20Rik",1,0,-0.836566069552958,"NS"
"1700057G04Rik",1,0,-1.49319308928489,"NS"
"1700061G19Rik",1,0,-0.206121815185911,"NS"
"1700064H15Rik",1,0,0,"NS"
"1700066B19Rik",1,0,1.16433608194075,"NS"
"1700066M21Rik",1,0,0.540551017685261,"NS"
"1700067K01Rik",1,0,2.09132767743288,"NS"
"1700088E04Rik",1,0,0.326808055453142,"NS"
"1700092M07Rik",1,0,0,"NS"
"1700093K21Rik",1,0,0.39676941629068,"NS"
"1700102P08Rik",1,0,0.432705319814918,"NS"
"1700109H08Rik",1,0,0.293468498622065,"NS"
"1700112E06Rik",1,0,-0.208411398255304,"NS"
"1700113H08Rik",1,0,-2.84203971062847,"NS"
"1700123K08Rik",1,0,1.30739792607282,"NS"
"1700123L14Rik",1,0,-1.95799320474417,"NS"
"1700123O20Rik",1,0,0.0385233616863365,"NS"
"1700128F08Rik",1,0,-0.445567039760414,"NS"
"1700129C05Rik",1,0,-0.0177221742135106,"NS"
"1810009A15Rik",1,0,-0.62753051006565,"NS"
"1810010H24Rik",1,0,-0.852307204426316,"NS"
"1810011H11Rik",1,0,-2.82508439038414,"NS"
"1810011O10Rik",1,0,-0.132786785661958,"NS"
"1810013L24Rik",1,0,-0.124877210404692,"NS"
"1810022K09Rik",1,0,0.221693638054865,"NS"
"1810024B03Rik",1,0,-2.70374432564554,"NS"
"1810026J23Rik",1,0,-0.00943550943583905,"NS"
"1810030O07Rik",1,0,-0.166923173209521,"NS"
"1810032O08Rik",1,0,0.512918165115107,"NS"
"1810037I17Rik",1,0,-0.0537463699732043,"NS"
"1810041L15Rik",1,0,-0.0940946364725029,"NS"
"1810043G02Rik",1,0,0.124566184826192,"NS"
"1810043H04Rik",1,0,-0.629937268465177,"NS"
"1810049J17Rik",1,0,0.345218481386285,"NS"
"1810055G02Rik",1,0,0.0811357094479618,"NS"
"2010005H15Rik",1,0,-1.08891474336897,"NS"
"2010107E04Rik",1,0,0.311732766946101,"NS"
"2010107G23Rik",1,0,-0.478084430754374,"NS"
"2010109A12Rik",1,0,0,"NS"
"2010109I03Rik",1,0,-1.0785989575445,"NS"
"2010111I01Rik",1,0,-0.89724201044124,"NS"
"2010300C02Rik",1,0,0.091822072082592,"NS"
"2010315B03Rik",1,0,0.47563813121694,"NS"
"2200002D01Rik",1,0,-1.10193909011054,"NS"
"2210010C04Rik",1,0,-0.898074113324875,"NS"
"2210013O21Rik",1,0,0.409032290832341,"NS"
"2210016F16Rik",1,0,0.188125319104059,"NS"
"2210016L21Rik",1,0,-0.229202239700611,"NS"
"2210017I01Rik",1,0,-1.1900887862336,"NS"
"2210408I21Rik",1,0,0.553215175746363,"NS"
"2210418O10Rik",1,0,0.312469916390686,"NS"
"2300009A05Rik",1,0,0.271669949179574,"NS"
"2310009B15Rik",1,0,0.0483751596023814,"NS"
"2310011J03Rik",1,0,0.656618311626798,"NS"
"2310022A10Rik",1,0,-0.939099277445894,"NS"
"2310022B05Rik",1,0,-0.0762909906925942,"NS"
"2310030G06Rik",1,0,-0.148052832281988,"NS"
"2310033P09Rik",1,0,-0.335852768260516,"NS"
"2310035C23Rik",1,0,-0.0839277759656143,"NS"
"2310036O22Rik",1,0,-0.151890657305568,"NS"
