"gene","padj","logpadj","lfc","direction"
"0610007P14Rik",1,0,-1.01267236219439,"NS"
"0610009B22Rik",1,0,0.0921275834858862,"NS"
"0610009L18Rik",1,0,-0.878976698323399,"NS"
"0610009O20Rik",1,0,-0.209782950032344,"NS"
"0610010F05Rik",1,0,0.0297329265564258,"NS"
"0610010K14Rik",1,0,0.729820538249001,"NS"
"0610012G03Rik",1,0,0.78999665488186,"NS"
"0610030E20Rik",1,0,0.253243329457581,"NS"
"0610037L13Rik",1,0,-0.893742507020054,"NS"
"0610040J01Rik",1,0,-0.671907449700608,"NS"
"1110002E22Rik",1,0,0.282362789984008,"NS"
"1110004E09Rik",1,0,0.162230125083509,"NS"
"1110004F10Rik",1,0,-0.351042761171686,"NS"
"1110008F13Rik",1,0,0.00396382177468191,"NS"
"1110008L16Rik",1,0,0.337199564958024,"NS"
"1110008P14Rik",1,0,0.531378731640754,"NS"
"1110012L19Rik",1,0,1.28497471759718,"NS"
"1110017D15Rik",1,0,0.719397727002189,"NS"
"1110032A03Rik",1,0,-0.0431519198957181,"NS"
"1110032F04Rik",1,0,1.094262228129,"NS"
"1110034G24Rik",1,0,0.488452397349654,"NS"
"1110037F02Rik",1,0,-0.846594711157465,"NS"
"1110038F14Rik",1,0,-0.988125556730492,"NS"
"1110051M20Rik",1,0,0.795139213579288,"NS"
"1110059E24Rik",1,0,-0.0547673581730505,"NS"
"1110059G10Rik",1,0,0.330045711690963,"NS"
"1110065P20Rik",1,0,0.0162338636204055,"NS"
"1190002N15Rik",1,0,0.182080798895575,"NS"
"1190005I06Rik",1,0,0.383372774774372,"NS"
"1190007I07Rik",1,0,0.520788644452452,"NS"
"1300017J02Rik",1,0,0.681832265894155,"NS"
"1500009C09Rik",1,0,0.00978500605303947,"NS"
"1500009L16Rik",1,0,-0.206004801806973,"NS"
"1500011B03Rik",1,0,-0.805948191262373,"NS"
"1500011K16Rik",1,0,-0.0728398020457636,"NS"
"1500015O10Rik",1,0,2.07074694602116,"NS"
"1520401A03Rik",1,0,-1.98204384730316,"NS"
"1600002H07Rik",1,0,0.196828378929954,"NS"
"1600002K03Rik",1,0,1.70409464387782,"NS"
"1600012H06Rik",1,0,-1.03191435166176,"NS"
"1600014C10Rik",1,0,0.450703705657794,"NS"
"1700001C19Rik",1,0,-2.17882281761817,"NS"
"1700001K19Rik",1,0,1.15859758802018,"NS"
"1700001L19Rik",1,0,-0.407603195445379,"NS"
"1700001O22Rik",1,0,0.344747069114657,"NS"
"1700001P01Rik",1,0,-1.05917967909203,"NS"
"1700003E16Rik",1,0,-0.128392070620179,"NS"
"1700003F12Rik",1,0,-0.115076004826858,"NS"
"1700006E09Rik",1,0,-0.263764956600787,"NS"
"1700007G11Rik",1,0,0,"NS"
"1700007K13Rik",1,0,0,"NS"
"1700008O03Rik",1,0,4.53606364685586,"NS"
"1700010I14Rik",1,0,-1.76823027746736,"NS"
"1700011E24Rik",1,0,-1.19526713264887,"NS"
"1700011H14Rik",1,0,0,"NS"
"1700011M02Rik",1,0,-1.38690144842372,"NS"
"1700013D24Rik",1,0,2.72484099742294,"NS"
"1700013F07Rik",1,0,1.28368348538286,"NS"
"1700014D04Rik",1,0,-0.155606921170871,"NS"
"1700015E13Rik",1,0,-0.312740111476631,"NS"
"1700016D06Rik",1,0,0.787506161075221,"NS"
"1700016K19Rik",1,0,-1.90557099595395,"NS"
"1700017B05Rik",1,0,0.0861049761829045,"NS"
"1700019A02Rik",1,0,-0.960162539371761,"NS"
"1700019B03Rik",1,0,0,"NS"
"1700019D03Rik",1,0,0.0615022362999749,"NS"
"1700019O17Rik",1,0,-0.689654626532823,"NS"
"1700020A23Rik",1,0,1.01265114687932,"NS"
"1700020D05Rik",1,0,-0.336319612495459,"NS"
"1700020L24Rik",1,0,-0.480319574062416,"NS"
"1700020N01Rik",1,0,-1.68198661305928,"NS"
"1700021F05Rik",1,0,0.488645578952606,"NS"
"1700022I11Rik",1,0,-1.2430583935959,"NS"
"1700023F06Rik",1,0,1.11701454424334,"NS"
"1700024P16Rik",1,0,0.989910477515106,"NS"
"1700025G04Rik",1,0,-0.458947135403893,"NS"
"1700027J19Rik",1,0,2.22959527672646,"NS"
"1700028J19Rik",1,0,1.71268091371239,"NS"
"1700028K03Rik",1,0,-1.63720824115989,"NS"
"1700028P14Rik",1,0,-0.908563832473695,"NS"
"1700029F12Rik",1,0,-0.497235644425634,"NS"
"1700029H14Rik",1,0,-2.40464368950198,"NS"
"1700029I15Rik",1,0,-0.18206026754811,"NS"
"1700029J07Rik",1,0,0.336019078281533,"NS"
"1700030J22Rik",1,0,-0.70126264314192,"NS"
"1700030K09Rik",1,0,1.36887390206959,"NS"
"1700034I23Rik",1,0,-0.668812158633478,"NS"
"1700034J05Rik",1,0,1.06303340606349,"NS"
"1700037C18Rik",1,0,0.651966593900641,"NS"
"1700037H04Rik",1,0,0.855205791163541,"NS"
"1700040L02Rik",1,0,-0.810416306346543,"NS"
"1700047I17Rik2",1,0,0.0283428962311467,"NS"
"1700048O20Rik",1,0,-0.431761363164968,"NS"
"1700057G04Rik",1,0,1.35606282800235,"NS"
"1700061G19Rik",1,0,1.32464581091947,"NS"
"1700064H15Rik",1,0,-0.727198509490836,"NS"
"1700066B19Rik",1,0,0.878809760051043,"NS"
"1700066M21Rik",1,0,0.367487499148778,"NS"
"1700067K01Rik",1,0,0.011984302921219,"NS"
"1700088E04Rik",1,0,0.728606958653097,"NS"
"1700092M07Rik",1,0,1.33032371421936,"NS"
"1700093K21Rik",1,0,0.0206483376041385,"NS"
"1700102P08Rik",1,0,-0.0982675015561433,"NS"
"1700109H08Rik",1,0,-3.43920808742589,"NS"
"1700112E06Rik",1,0,-0.0637407069481259,"NS"
"1700113H08Rik",1,0,0.556097801847363,"NS"
"1700123K08Rik",1,0,0,"NS"
"1700123L14Rik",1,0,0.948617537899174,"NS"
"1700123O20Rik",1,0,0.205616685001169,"NS"
"1700128F08Rik",1,0,0.508382359509697,"NS"
"1700129C05Rik",1,0,0,"NS"
"1810009A15Rik",1,0,0.0510924435182231,"NS"
"1810010H24Rik",1,0,-0.501836460360223,"NS"
"1810011H11Rik",1,0,0,"NS"
"1810011O10Rik",1,0,-0.289671770209793,"NS"
"1810013L24Rik",1,0,0.639523056275788,"NS"
"1810022K09Rik",1,0,-0.080438741110259,"NS"
"1810024B03Rik",1,0,-1.29358419693887,"NS"
"1810026J23Rik",1,0,0.0595113266607483,"NS"
"1810030O07Rik",1,0,0.583770980829737,"NS"
"1810032O08Rik",1,0,0.303568786506944,"NS"
"1810037I17Rik",1,0,-0.113287220327278,"NS"
"1810041L15Rik",1,0,-0.430407908228672,"NS"
"1810043G02Rik",1,0,0.168731317943498,"NS"
"1810043H04Rik",1,0,-0.344605644123813,"NS"
"1810049J17Rik",1,0,-1.74325757281654,"NS"
"1810055G02Rik",1,0,-0.692629061313688,"NS"
"2010005H15Rik",1,0,0,"NS"
"2010107E04Rik",1,0,0.334438908157782,"NS"
