"","RNAseqID","Mouse","Punch","Group","Conflict","Treatment","ID","APA2"
"1","143A-DG-1","15-143A","DG","conflict","Conflict","conflict","15143A","conflict"
"2","143B-DG-1","15-143B","DG","control","Conflict","shocked","15143B","yoked_conflict"
"3","143D-DG-3","15-143D","DG","control","NoConflict","yoked","15143D","yoked_consistent"
"4","144A-DG-2","15-144A","DG","conflict","Conflict","conflict","15144A","conflict"
"5","144C-DG-2","15-144C","DG","consistent","NoConflict","trained","15144C","consistent"
"6","144D-DG-2","15-144D","DG","control","NoConflict","yoked","15144D","yoked_consistent"
"7","145A-DG-2","15-145A","DG","conflict","Conflict","conflict","15145A","conflict"
"8","145B-DG-1","15-145B","DG","control","Conflict","shocked","15145B","yoked_conflict"
"9","146A-DG-2","15-146A","DG","conflict","Conflict","conflict","15146A","conflict"
"10","146B-DG-2","15-146B","DG","control","Conflict","shocked","15146B","yoked_conflict"
"11","146C-DG-4","15-146C","DG","consistent","NoConflict","trained","15146C","consistent"
"12","146D-DG-3","15-146D","DG","control","NoConflict","yoked","15146D","yoked_consistent"
"13","147C-DG-3","15-147C","DG","consistent","NoConflict","trained","15147C","consistent"
"14","147D-DG-1","15-147D","DG","control","NoConflict","yoked","15147D","yoked_consistent"
"15","148A-DG-3","15-148A","DG","conflict","Conflict","conflict","15148A","conflict"
"16","148B-DG-4","15-148B","DG","control","Conflict","shocked","15148B","yoked_conflict"
