"gene","lfc","padj","tissue","comparison"
"A830010M20Rik",2.02559481726407,0.00442357850950608,"DG","standard.trained-standard.yoked"
"Acan",2.44398944848191,0.000270327046600616,"DG","standard.trained-standard.yoked"
"Adamts1",2.36248073331825,0.00442357850950608,"DG","standard.trained-standard.yoked"
"Ankrd28",1.65524945935761,0.0676632168080676,"DG","standard.trained-standard.yoked"
"Arc",2.86925145870959,1.76570176081054e-05,"DG","standard.trained-standard.yoked"
"Arl5b",1.88619174718848,0.0135142248314507,"DG","standard.trained-standard.yoked"
"Btg2",2.65186708094821,0.0176115376923306,"DG","standard.trained-standard.yoked"
"Col10a1",6.77709938141061,0.00288773835169069,"DG","standard.trained-standard.yoked"
"Csrnp1",2.30651266650769,0.0132699757722748,"DG","standard.trained-standard.yoked"
"Dbpht2",1.83698527829386,0.000943431599954229,"DG","standard.trained-standard.yoked"
"Dnaja1",0.962994289334881,0.0281979038098353,"DG","standard.trained-standard.yoked"
"Dnajb1",2.10474115751442,0.00171884816883373,"DG","standard.trained-standard.yoked"
"Dusp16",2.56892122675466,0.0135142248314507,"DG","standard.trained-standard.yoked"
"Egr1",2.39714767649039,8.04771299484867e-05,"DG","standard.trained-standard.yoked"
"Egr4",3.22402538061202,0.000547767204239209,"DG","standard.trained-standard.yoked"
"Erf",1.47946829548777,0.0826802152753982,"DG","standard.trained-standard.yoked"
"Errfi1",2.19178972911761,0.00311205092907716,"DG","standard.trained-standard.yoked"
"Fam107b",2.43495200002483,0.00207866115287113,"DG","standard.trained-standard.yoked"
"Fbxo33",3.07188355858879,0.0212557094323867,"DG","standard.trained-standard.yoked"
"Fos",2.54768941670562,0.0688844526666684,"DG","standard.trained-standard.yoked"
"Fosb",3.0343865795145,0.0434474980787608,"DG","standard.trained-standard.yoked"
"Fosl2",2.54538546126344,0.0826802152753982,"DG","standard.trained-standard.yoked"
"Frmd6",3.27594471275406,1.43447136347538e-06,"DG","standard.trained-standard.yoked"
"Fzd5",4.03459176880403,0.000513440256332207,"DG","standard.trained-standard.yoked"
"Gcnt2",2.83369600259052,0.0977006965720203,"DG","standard.trained-standard.yoked"
"Gm13889",2.60987235956835,0.000102596018246194,"DG","standard.trained-standard.yoked"
"Gm1818",-6.20400096029764,0.0977006965720203,"DG","standard.trained-standard.yoked"
"Hes5",-4.5588976320021,0.0688844526666684,"DG","standard.trained-standard.yoked"
"Hmgcr",1.75532165998002,0.0125881098953549,"DG","standard.trained-standard.yoked"
"Homer1",2.71199446725983,0.00780348797191931,"DG","standard.trained-standard.yoked"
"Ier3",3.74690355629373,0.065960069574516,"DG","standard.trained-standard.yoked"
"Irs2",1.85924240577641,0.00207866115287113,"DG","standard.trained-standard.yoked"
"Junb",2.42349187667852,0.000531350530698325,"DG","standard.trained-standard.yoked"
"Jund",1.52999058863354,0.0977006965720203,"DG","standard.trained-standard.yoked"
"Kcnf1",1.92753988291681,0.0739127512664074,"DG","standard.trained-standard.yoked"
"Kdm6b",1.32890721629341,0.0554279678647178,"DG","standard.trained-standard.yoked"
"Lbh",1.77963019266902,0.0271385930935269,"DG","standard.trained-standard.yoked"
"Lmna",2.41394466414906,0.00774230778126629,"DG","standard.trained-standard.yoked"
"Lrrc32",5.92958786154836,0.0634078896024676,"DG","standard.trained-standard.yoked"
"Nfil3",2.46406849324629,0.00321087041117152,"DG","standard.trained-standard.yoked"
"Nlrp3",3.74936877927185,0.00720356644706336,"DG","standard.trained-standard.yoked"
"Npas4",3.54250245126104,0.0219805312629315,"DG","standard.trained-standard.yoked"
"Nr4a1",2.54806988984915,0.0920775154431098,"DG","standard.trained-standard.yoked"
"Nr4a2",2.69636480083904,0.000348884880955036,"DG","standard.trained-standard.yoked"
"Nr4a3",3.35919699026143,0.0579531762957016,"DG","standard.trained-standard.yoked"
"Otud1",2.42046340328285,0.0946647635394595,"DG","standard.trained-standard.yoked"
"Pcdh8",1.80203285993352,0.0297290193459817,"DG","standard.trained-standard.yoked"
"Per1",1.80626468929961,0.00172788254902224,"DG","standard.trained-standard.yoked"
"Per2",1.68057550873516,0.0947885354562546,"DG","standard.trained-standard.yoked"
"Plagl1",1.95477096057361,0.0318309688594318,"DG","standard.trained-standard.yoked"
"Plk2",2.42099765129898,0.065960069574516,"DG","standard.trained-standard.yoked"
"Ppp1r15a",1.98855335925254,0.0219959963164714,"DG","standard.trained-standard.yoked"
"Ptgs2",2.68647359427289,0.000348884880955036,"DG","standard.trained-standard.yoked"
"Rasd1",3.1073210227732,0.000348884880955036,"DG","standard.trained-standard.yoked"
"Rasl11a",2.53599529913679,0.0624166635656186,"DG","standard.trained-standard.yoked"
"Rfx2",3.3594756143046,0.00263466856178247,"DG","standard.trained-standard.yoked"
"Rgs2",2.62025843786209,0.000160341837634388,"DG","standard.trained-standard.yoked"
"Rgs4",1.61562504576325,0.00574380924276148,"DG","standard.trained-standard.yoked"
"Rtl1",2.67687303192413,0.0242825328856759,"DG","standard.trained-standard.yoked"
"Scg2",1.49106685458656,0.052069683956215,"DG","standard.trained-standard.yoked"
"Sertad1",2.50884570392675,0.0977006965720203,"DG","standard.trained-standard.yoked"
"Sgk1",2.56172671862744,0.000102596018246194,"DG","standard.trained-standard.yoked"
"Siah2",2.00722843650162,0.0283953494312221,"DG","standard.trained-standard.yoked"
"Slc16a1",1.96159293287842,0.0903967024498793,"DG","standard.trained-standard.yoked"
"Smad7",3.56925046060118,6.80913231939058e-07,"DG","standard.trained-standard.yoked"
"Snx18",2.17294636295198,0.00207866115287113,"DG","standard.trained-standard.yoked"
"Syt4",1.47850591334285,0.0281979038098353,"DG","standard.trained-standard.yoked"
"Thbs1",5.46821643606157,0.0025469810784038,"DG","standard.trained-standard.yoked"
"Tiparp",2.99616625582563,4.00228646437191e-05,"DG","standard.trained-standard.yoked"
"Ubc",1.07090814330159,0.0984908280368072,"DG","standard.trained-standard.yoked"
"Zfand5",1.34849070816452,0.059107963775233,"DG","standard.trained-standard.yoked"
"Rps12",-20.9992715661098,0.0107119328093506,"DG","conflict.trained-conflict.yoked"
"Kcnc2",4.1128151298375,0.00841098306191012,"DG","conflict.yoked-standard.yoked"
"Nlrp3",4.06188426500367,0.00841098306191012,"DG","conflict.yoked-standard.yoked"
"Ptprq",25.2672872538944,0.000366287595001558,"DG","conflict.yoked-standard.yoked"
"0610009B22Rik",3.37298956699863,0.0159719387095372,"DG","home.cage-standard.yoked"
"1110008F13Rik",1.92099630954478,0.041778906032811,"DG","home.cage-standard.yoked"
"1110051M20Rik",1.37036132126148,0.0507472207466793,"DG","home.cage-standard.yoked"
"1600014C10Rik",2.89268519722589,0.00142061138239881,"DG","home.cage-standard.yoked"
"1810026J23Rik",1.05477587402593,0.0981581386311245,"DG","home.cage-standard.yoked"
"2410004B18Rik",1.99033607020858,0.0954469960445262,"DG","home.cage-standard.yoked"
"2410004P03Rik",-5.25679531441873,0.0180728294005614,"DG","home.cage-standard.yoked"
"3110082I17Rik",3.46074881114666,0.00778568255293598,"DG","home.cage-standard.yoked"
"3830406C13Rik",4.26214951419066,0.000712076392006853,"DG","home.cage-standard.yoked"
"4930447C04Rik",-4.22368781207164,0.0728345358143384,"DG","home.cage-standard.yoked"
"4930562C15Rik",3.22131400286369,0.00653558227119022,"DG","home.cage-standard.yoked"
"4931428L18Rik",-4.22634529260415,0.0946862872015518,"DG","home.cage-standard.yoked"
"5430427O19Rik",3.69241169858583,0.0594358532692484,"DG","home.cage-standard.yoked"
"9130011E15Rik",-5.44197143240771,0.00269109488726961,"DG","home.cage-standard.yoked"
"9330151L19Rik",-2.08428875897761,0.0646677767209854,"DG","home.cage-standard.yoked"
"9430020K01Rik",-2.14793970024504,0.089615159777152,"DG","home.cage-standard.yoked"
"9930021J03Rik",2.11892838303593,0.00845061840836151,"DG","home.cage-standard.yoked"
"A830080D01Rik",-4.78585608126733,0.030443566809223,"DG","home.cage-standard.yoked"
"Abca3",1.35407139690336,0.061833827214021,"DG","home.cage-standard.yoked"
"Abca9",4.74580318638574,0.0108268087891918,"DG","home.cage-standard.yoked"
"Abhd12",1.1042665608914,0.0515606422237113,"DG","home.cage-standard.yoked"
"Abt1",-2.8931601318641,0.0652239311054713,"DG","home.cage-standard.yoked"
"Abtb1",2.86483908140609,0.000160191162064513,"DG","home.cage-standard.yoked"
"Abtb2",-4.22275523599741,0.0754653876953049,"DG","home.cage-standard.yoked"
"Acaa1a",2.48238167895304,0.000859366305345738,"DG","home.cage-standard.yoked"
"Acad11",2.86470618710384,0.00129728228870421,"DG","home.cage-standard.yoked"
"Acan",-4.78713571202085,0.00878065726311591,"DG","home.cage-standard.yoked"
"Acbd5",1.72422015191843,0.0526895366694053,"DG","home.cage-standard.yoked"
"Ackr3",3.64863526169209,0.000438687047331647,"DG","home.cage-standard.yoked"
"Acot11",2.39858826730765,0.0405630946926225,"DG","home.cage-standard.yoked"
"Acot5",3.89994136654454,0.000438687047331647,"DG","home.cage-standard.yoked"
"Acsl1",-2.81841729891409,0.000586177167186538,"DG","home.cage-standard.yoked"
"Adam10",2.22952881281438,0.00198660454503469,"DG","home.cage-standard.yoked"
"Adamts1",1.73950283558478,0.0658591555299895,"DG","home.cage-standard.yoked"
"Adarb1",-1.28976342700832,0.0298057291950353,"DG","home.cage-standard.yoked"
"Adck1",3.65270415833143,0.000120736110752156,"DG","home.cage-standard.yoked"
"Adcy5",2.18275466139294,0.0209267103626872,"DG","home.cage-standard.yoked"
"Adcy6",1.7424089285179,0.0980281385895064,"DG","home.cage-standard.yoked"
"Adcy8",3.15395215194687,0.0150662848801369,"DG","home.cage-standard.yoked"
"Adgra3",-4.49147718568953,0.0281777053298484,"DG","home.cage-standard.yoked"
"Adgre5",-4.24731928490655,0.0974601378028462,"DG","home.cage-standard.yoked"
"Adgrf5",-4.21059610620554,0.0560827916053994,"DG","home.cage-standard.yoked"
"Adgrg1",-5.11382497707842,0.000913801687860431,"DG","home.cage-standard.yoked"
"Adgrl3",-1.21549912698288,0.0791027556423771,"DG","home.cage-standard.yoked"
"Adra1d",2.21971713902576,0.0247984125874591,"DG","home.cage-standard.yoked"
"Adrbk1",0.851739075858579,0.0651869905075924,"DG","home.cage-standard.yoked"
"Agfg1",1.17164253437605,0.0423823788390317,"DG","home.cage-standard.yoked"
"Aggf1",-2.46376064565098,0.0141550884260308,"DG","home.cage-standard.yoked"
"Agtpbp1",-1.15537162919728,0.0606552178131533,"DG","home.cage-standard.yoked"
"Ahctf1",1.48342390700377,0.022685112551735,"DG","home.cage-standard.yoked"
"Ahcyl1",1.55548045229996,0.00470519598321911,"DG","home.cage-standard.yoked"
"Ahr",5.13850257068036,0.00193335460792196,"DG","home.cage-standard.yoked"
"Aimp1",1.65524157303138,0.0365599643965866,"DG","home.cage-standard.yoked"
"Akap10",1.68438456487873,0.0303726570433627,"DG","home.cage-standard.yoked"
"Akap5",2.33335007062193,0.00625142726055565,"DG","home.cage-standard.yoked"
"Akap9",1.48127896930397,0.0450655873996469,"DG","home.cage-standard.yoked"
"Akip1",5.01905158160568,0.0152251410814413,"DG","home.cage-standard.yoked"
"Akirin1",2.20460497107005,0.00551014514695887,"DG","home.cage-standard.yoked"
"Aldh18a1",3.12275021899478,0.000798408389645355,"DG","home.cage-standard.yoked"
"Aldh3b2",7.02550702467044,0.00105105474542798,"DG","home.cage-standard.yoked"
"Aldh7a1",2.59011865988563,0.00263914310831664,"DG","home.cage-standard.yoked"
