"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"1","A830010M20Rik",0,0,0,0,0,0,0,1
"2","Acan",0,0,0,0,0,0,0,1
"3","Adamts1",0,1,1,0,0,0,0,1
"4","Ankrd28",0,0,0,0,0,0,0,1
"5","Arc",0,0,0,0,0,0,0,1
"6","Arl5b",0,0,0,0,0,0,0,1
"7","Btg2",0,0,0,0,0,0,0,1
"8","Col10a1",0,0,0,0,0,0,0,1
"9","Csrnp1",0,0,0,0,0,0,0,1
"10","Dbpht2",0,0,0,0,0,0,0,1
"11","Dnaja1",0,0,0,0,0,0,0,1
"12","Dnajb1",0,0,0,0,0,0,0,1
"13","Dusp16",0,0,0,0,0,0,0,1
"14","Egr1",0,0,0,0,0,0,0,1
"15","Egr4",0,0,0,0,0,0,0,1
"16","Erf",0,0,0,0,0,0,0,1
"17","Errfi1",0,0,0,0,0,0,0,1
"18","Fam107b",0,0,0,0,0,0,0,1
"19","Fbxo33",0,0,0,0,0,0,0,1
"20","Fos",0,0,0,0,0,0,0,1
"21","Fosb",0,0,0,0,0,0,0,1
"22","Fosl2",0,0,0,0,0,0,0,1
"23","Frmd6",0,0,0,0,0,0,0,1
"24","Fzd5",0,0,0,0,0,0,0,1
"25","Gcnt2",0,0,0,0,0,0,0,1
"26","Gm13889",0,0,0,0,0,0,0,1
"27","Gm1818",0,0,0,0,0,0,0,1
"28","Hes5",0,0,0,0,0,0,0,1
"29","Hmgcr",0,0,0,0,0,0,0,1
"30","Homer1",0,0,0,0,0,0,0,1
"31","Ier3",0,0,0,0,0,0,0,1
"32","Irs2",0,0,0,0,0,0,0,1
"33","Junb",0,0,0,0,0,0,0,1
"34","Jund",0,0,0,0,0,0,0,1
"35","Kcnc2",0,0,0,0,0,0,1,0
"36","Kcnf1",0,0,0,0,0,0,0,1
"37","Kdm6b",0,0,0,0,0,0,0,1
"38","Lbh",0,0,0,0,0,0,0,1
"39","Lmna",0,0,0,0,0,0,0,1
"40","Lrrc32",0,0,0,0,0,0,0,1
"41","Nfil3",0,0,0,0,0,0,0,1
"42","Nlrp3",0,0,0,0,0,0,1,1
"43","Npas4",0,0,0,0,0,0,0,1
"44","Nr4a1",0,0,0,0,0,0,0,1
"45","Nr4a2",0,0,0,0,0,0,0,1
"46","Nr4a3",0,0,0,0,0,0,0,1
"47","Otud1",0,0,0,0,0,0,0,1
"48","Pcdh8",0,0,0,0,0,0,0,1
"49","Per1",0,0,0,0,0,0,0,1
"50","Per2",0,0,0,0,0,0,0,1
"51","Plagl1",0,0,0,0,0,0,0,1
"52","Plk2",0,0,0,0,0,0,0,1
"53","Ppp1r15a",0,0,0,0,0,0,0,1
"54","Ptgs2",0,0,0,0,0,0,0,1
"55","Ptprq",0,0,0,0,0,0,1,0
"56","Rasd1",0,0,0,0,0,0,0,1
"57","Rasl11a",0,0,0,0,0,0,0,1
"58","Rfx2",0,0,0,0,0,0,0,1
"59","Rgs2",0,0,0,0,0,0,0,1
"60","Rgs4",0,0,0,0,0,0,0,1
"61","Rps12",0,0,0,0,0,1,0,0
"62","Rtl1",0,0,0,0,0,0,0,1
"63","Scg2",0,0,0,0,0,0,0,1
"64","Sertad1",0,0,0,0,0,0,0,1
"65","Sgk1",0,0,0,0,0,0,0,1
"66","Siah2",0,0,0,0,0,0,0,1
"67","Slc16a1",0,0,0,0,0,0,0,1
"68","Smad7",0,0,0,0,0,0,0,1
"69","Snx18",0,0,0,0,0,0,0,1
"70","Syt4",0,0,0,0,0,0,0,1
"71","Thbs1",0,0,0,0,0,0,0,1
"72","Tiparp",0,1,0,0,0,0,0,1
"73","Ubc",0,0,0,0,0,0,0,1
"74","Zfand5",0,0,0,0,0,0,0,1
"75","2210013O21Rik",0,1,0,0,0,0,0,0
"76","2410002F23Rik",0,1,1,0,0,0,0,0
"77","2410004P03Rik",0,1,1,0,0,0,0,0
"78","3632451O06Rik",0,1,1,0,0,0,0,0
"79","5730409E04Rik",0,1,0,0,0,0,0,0
"80","6330408A02Rik",0,1,1,0,0,0,0,0
"81","Abcd4",0,1,0,0,0,0,0,0
"82","Abcf1",0,1,0,0,0,0,0,0
"83","Abhd14b",0,0,1,0,0,0,0,0
"84","Abl1",0,0,1,0,0,0,0,0
"85","Acads",0,0,1,0,0,0,0,0
"86","Acin1",0,1,1,0,0,0,0,0
"87","Acp1",0,1,0,0,0,0,0,0
"88","Adgrf5",0,1,1,0,0,0,0,0
"89","Adgrl4",0,1,1,0,0,0,0,0
"90","Aff4",0,0,1,0,0,0,0,0
"91","Agap1",0,1,1,0,0,0,0,0
"92","Ahnak",0,1,1,0,0,0,0,0
"93","Akt2",0,0,1,0,0,0,0,0
"94","Alg9",0,1,0,0,0,0,0,0
"95","Alms1",0,0,1,0,0,0,0,0
"96","Amotl2",0,0,1,0,0,0,0,0
"97","Ankrd26",0,0,1,0,0,0,0,0
"98","Ankrd9",0,1,1,0,0,0,0,0
"99","Ankzf1",0,1,0,0,0,0,0,0
"100","Ap1s1",0,0,1,0,0,0,0,0
"101","Apcdd1",0,1,0,0,0,0,0,0
"102","Apmap",0,1,0,0,0,0,0,0
"103","Arhgap4",0,1,0,0,0,0,0,0
"104","Arhgef11",0,1,1,0,0,0,0,0
