"rowname","PC1","PC2"
"NAF1",0.861935321590265,-0.698507702014297
"PTGS2",0.839128043072558,-0.645131569940896
"RGS2",0.833763467481915,-0.610805849228619
"HIST1H1D",0.815086451133942,-0.544260890326119
"COL10A1",0.813004668752554,-0.579185023010569
"ARC",0.805235333287065,-0.635706162682947
"HSPB3",0.803462073950179,-0.28614716655579
"NPAS4",0.798618355792435,-0.64125015224252
"FZD5",0.79807958206511,-0.670406732412983
"ACAN",0.784666155864635,-0.546126392218635
"AREG",0.784164175714898,-0.43815341821232
