"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.HC.ConfT","CA1.HC.ConfY","CA1.HC.StdT","CA1.HC.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.HC.ConfT","CA3.HC.ConfY","CA3.HC.StdT","CA3.HC.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.HC.ConfT","DG.HC.ConfY","DG.HC.StdT","DG.HC.StdY","DG.StdT.StdY"
"1","0610009B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"2","0610010F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3","0610010K14Rik",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1110008F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"5","1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6","1110051M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"7","1500011B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"8","1600002K03Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","1600014C10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"10","1700001O22Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","1700028J19Rik",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","1700066M21Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13","1700123O20Rik",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","1700128F08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"15","1810026J23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16","1810030O07Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17","1810041L15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18","1810049J17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"19","2010111I01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"20","2010300C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21","2210013O21Rik",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2210016L21Rik",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2300009A05Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","2310009B15Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2310011J03Rik",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","2310022A10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"27","2310033P09Rik",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2310057M21Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
