"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
2.02760120090372e-07,8,145,"Memory ","BDNF ARC PTGS2 PLK2 SYT4 NPAS4 SGK1 EGR1"
2.61113930259659e-07,23,3205,"Response to organic substance ","NR4A3 BDNF EGR4 SMAD7 CPEB4 PER1 EGR1 NPAS4 MEST NFIL3 PELI1 BTG2 RGS2 ERRFI1 PTGS2 TRIB1 SLC16A1 TIPARP FZD5 HOMER1 ATF3 SGK1 FOSL2"
3.30250975187707e-07,18,1855,"Tissue development ","ERRFI1 BDNF SMAD7 RGS2 PTGS2 FRMD6 HOMER1 BTG2 ARC ATF3 SLC25A25 NR4A3 FOSL2 ACAN TIPARP PCDH8 EGR1 FZD5"
3.40446882976909e-07,14,1003,"Response to organic cyclic compound ","PER1 NR4A3 NPAS4 BTG2 ERRFI1 PTGS2 SLC16A1 TIPARP HOMER1 PELI1 SGK1 FOSL2 EGR1 BDNF"
3.90592822505693e-07,9,286,"Learning or memory ","BDNF ARC PTGS2 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
4.06506905447254e-07,12,693,"Behavior ","BDNF ARC PTGS2 HOMER1 BTG2 PLK2 SYT4 NR4A3 SLC16A1 EGR1 NPAS4 SGK1"
6.85174122464885e-07,9,317,"Cognition ","BDNF ARC PTGS2 BTG2 PLK2 SYT4 NPAS4 SGK1 EGR1"
4.77753403877304e-06,10,545,"Cellular response to organic cyclic compound ","NR4A3 NPAS4 ERRFI1 PTGS2 SLC16A1 TIPARP PER1 SGK1 EGR1 BDNF"
8.1437117703927e-06,7,201,"Regulation of synaptic plasticity ","PLK2 ARC BDNF PTGS2 SYT4 NPAS4 EGR1"
1.3072787821472e-05,15,1687,"Response to oxygen-containing compound ","NR4A3 CPEB4 PER1 EGR1 NPAS4 MEST PELI1 BTG2 RGS2 ERRFI1 PTGS2 TRIB1 HOMER1 SGK1 FOSL2"
