"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.00765959234187555,13,1486,"Neuron projection ","HOMER1 CPEB4 SYT4 NEXN BDNF PTGS2 PLK2 ARC RGS2 PCDH8 FZD5 SGK1 ACAN"
0.0152246921235416,10,1095,"Cell junction ","FZD5 FRMD6 HOMER1 CPEB4 ARC SYT4 SMAD7 SLC16A1 PCDH8 NEXN"
0.0152246921235416,8,736,"Dendrite ","HOMER1 BDNF CPEB4 SYT4 PLK2 ARC PCDH8 FZD5"
0.0152246921235416,8,738,"Dendritic tree ","HOMER1 BDNF CPEB4 SYT4 PLK2 ARC PCDH8 FZD5"
0.0204194729334535,13,1933,"Neuron part ","HOMER1 CPEB4 SYT4 NEXN BDNF PTGS2 PLK2 ARC RGS2 PCDH8 FZD5 SGK1 ACAN"
0.0209131088715418,9,1035,"Somatodendritic compartment ","HOMER1 BDNF CPEB4 SYT4 PLK2 ARC PCDH8 FZD5 ACAN"
0.0209131088715418,6,472,"Glutamatergic synapse ","HOMER1 ARC SYT4 ACAN PCDH8 FZD5"
0.0264954319570825,10,1341,"Synapse ","HOMER1 ARC SYT4 SLC16A1 CPEB4 BDNF ACAN PCDH8 FZD5 NPAS4"
0.0299855943441603,7,723,"Postsynapse ","HOMER1 CPEB4 ARC PCDH8 NPAS4 BDNF SYT4"
0.0420749521792285,13,2260,"Plasma membrane bounded cell projection ","HOMER1 CPEB4 SYT4 NEXN BDNF PTGS2 PLK2 ARC RGS2 PCDH8 FZD5 SGK1 ACAN"
