"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.000924028959645132,11,949,"Regulatory region nucleic acid binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
0.000924028959645132,11,946,"Transcription regulatory region DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
0.00216216068522381,9,782,"RNA polymerase II regulatory region sequence-specific DNA binding ","ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 PER1"
0.00216216068522381,9,738,"DNA-binding transcription factor activity, RNA polymerase II-specific ","EGR1 NPAS4 EGR4 HOXC4 ATF3 NR4A3 BTG2 FOSL2 NFIL3"
0.00216216068522381,9,788,"RNA polymerase II regulatory region DNA binding ","ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 PER1"
0.00216216068522381,10,959,"Double-stranded DNA binding ","PER1 ATF3 NR4A3 FOSL2 HIST1H1D EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.00244521881859326,10,1010,"DNA-binding transcription factor activity ","EGR1 NPAS4 EGR4 HOXC4 ATF3 NR4A3 BTG2 SMAD7 FOSL2 NFIL3"
0.0025470425873224,9,837,"Transcription regulatory region sequence-specific DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.00311794927331168,9,874,"Sequence-specific double-stranded DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.00595983458675577,14,2140,"DNA binding ","PER1 ATF3 NR4A3 FOSL2 SPTY2D1 HIST1H1D EGR4 HOXC4 HIST1H3I EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
