"gene","lfc","padj","direction","tissue","comparison"
"GLCCI1","1.98","0.00143873897497547","increased","CA1","trained-yoked"
"AHDC1","-1.61","0.0650203882596328","decreased","CA1","trained-yoked"
"BMT2","-2.48","0.0566256621961535","decreased","CA1","trained-yoked"
"CTCFL","-2.61","0.0363254357303014","decreased","CA1","trained-yoked"
"FN3KRP","-1.43","0.0480138873382015","decreased","CA1","trained-yoked"
"GNAZ","-3.11","0.0112083934063577","decreased","CA1","trained-yoked"
"IGF2BP2","-3.85","0.00956196466367509","decreased","CA1","trained-yoked"
"IL4RA","-4","0.0375740644476198","decreased","CA1","trained-yoked"
"INHBB","-2.36","0.0363254357303014","decreased","CA1","trained-yoked"
"KHNYN","-1.89","0.0980153770346831","decreased","CA1","trained-yoked"
"KLKB1","-2.59","0.0276794285563631","decreased","CA1","trained-yoked"
"MX1","-3.2","0.0787223974805251","decreased","CA1","trained-yoked"
"PDE6A","-3.39","0.0108291598219097","decreased","CA1","trained-yoked"
"STAC3","-2.21","0.0566256621961535","decreased","CA1","trained-yoked"
"STOX2","-3.79","0.0108291598219097","decreased","CA1","trained-yoked"
"TMEM170","-2.61","0.0480138873382015","decreased","CA1","trained-yoked"
