"gene","lfc","padj","direction","tissue","comparison"
"1190002N15RIK","1.64","0.000245166241490228","increased","DG","trained-yoked"
"ABHD2","0.86","0.0153326673524323","increased","DG","trained-yoked"
"ADAMTS1","1.88","0.00187777546749527","increased","DG","trained-yoked"
"ADRB1","0.98","0.0311012281104977","increased","DG","trained-yoked"
"AHR","1.59","0.0191420911940072","increased","DG","trained-yoked"
"AMIGO2","1.36","0.0254399458003005","increased","DG","trained-yoked"
"ANKRD13A","0.57","0.0844993440382729","increased","DG","trained-yoked"
"ANKRD28","1.19","0.00124570446459641","increased","DG","trained-yoked"
"ANKRD33B","0.93","0.00064278508857368","increased","DG","trained-yoked"
"APAF1","1.26","0.00454655794601008","increased","DG","trained-yoked"
"ARID5B","1.06","0.00536068046591292","increased","DG","trained-yoked"
"ARL13B","1.23","0.0991913176996797","increased","DG","trained-yoked"
"ARL4A","1.12","0.0560855680411125","increased","DG","trained-yoked"
"ARL4D","1.28","0.000829912024311833","increased","DG","trained-yoked"
"ARL5B","1.27","0.000391333544539079","increased","DG","trained-yoked"
"ARMCX5","1.2","0.00680230906889389","increased","DG","trained-yoked"
"ARPP21","0.5","0.0866963042735328","increased","DG","trained-yoked"
"ATF3","1.78","0.00523177684611738","increased","DG","trained-yoked"
"B3GNT2","1.01","0.0973006212171256","increased","DG","trained-yoked"
"BACH1","1.05","0.036513976790638","increased","DG","trained-yoked"
"BTG2","1.77","0.00117848189979041","increased","DG","trained-yoked"
"C2CD4B","1.26","0.00353308336502577","increased","DG","trained-yoked"
"CCNK","0.81","0.017233539120908","increased","DG","trained-yoked"
"CIART","1.11","0.00839428416392956","increased","DG","trained-yoked"
"CITED2","1.18","0.00866009297744032","increased","DG","trained-yoked"
"CLDN12","0.84","0.0476416850221668","increased","DG","trained-yoked"
"CNNM1","0.65","0.00775507492321339","increased","DG","trained-yoked"
"CPEB4","0.72","0.000667088092352303","increased","DG","trained-yoked"
"CTNND1","0.91","0.036513976790638","increased","DG","trained-yoked"
"CUL3","0.43","0.0425983178987226","increased","DG","trained-yoked"
"CWC25","1.18","0.00809468579448199","increased","DG","trained-yoked"
"CXADR","1.33","0.0016430971451867","increased","DG","trained-yoked"
"CYP51","0.9","0.02599650367075","increased","DG","trained-yoked"
"DNAJA1","0.57","0.0153326673524323","increased","DG","trained-yoked"
"DNAJB1","1.53","0.00149994143476887","increased","DG","trained-yoked"
"DNAJB4","0.93","0.023800613126796","increased","DG","trained-yoked"
"DUSP14","0.76","0.0762015722043498","increased","DG","trained-yoked"
"DUSP16","1.46","0.0190682827549707","increased","DG","trained-yoked"
"DUSP4","0.94","0.00509602556810124","increased","DG","trained-yoked"
"DUSP6","1.58","0.0520438813941553","increased","DG","trained-yoked"
"DUSP8","0.67","0.00353308336502577","increased","DG","trained-yoked"
"DYRK2","1.12","0.0426304577700353","increased","DG","trained-yoked"
"EGR1","1.58","0.000893403892960041","increased","DG","trained-yoked"
"EGR3","0.94","0.0119603864384261","increased","DG","trained-yoked"
"EIF5","0.36","0.0973006212171256","increased","DG","trained-yoked"
