"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146B-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"1190002N15RIK",0.37666940286332,-0.790074129565715,-0.0131746494333811,1.40407412880399,1.16933394102285,-0.475948442774452,0.154914814296142,-0.294702816469226,0.329949725338368,0.757666997534273,0.722378520040096,-2.17562056312683,0.582572494381082,-0.525565289779713,-0.091479191760456,-1.13099494137035
"A830010M20RIK",0.332182750376544,-0.480302556755293,-0.257508884960126,1.40690817646264,1.20677693957477,-0.292578743149278,0.0599383060667478,-0.318859027418604,0.457559416056849,-0.0187950520088336,1.337464965803,-3.15790062381298,0.834458661796715,-0.557165253506385,0.00178697662359451,-0.553966051149375
"ABHD2",0.43706421250708,-0.116420752195884,-0.11109849690785,1.13390662397882,0.823234069661449,0.127968264353679,0.425775312299045,0.128443181374411,0.187327829510281,-0.905094121327704,0.652833969602197,-3.30343384772264,0.662981049052874,0.296586266131072,0.0293728300216074,-0.469446390338448
"ACAN",0.668206108678977,-0.476805955183021,-0.493064288179634,0.87940214262371,0.427126302290836,-0.54970502376054,0.423357459555063,-0.15102699471604,0.00343654622260026,-0.635366283594596,0.608736516467887,-0.547437462037676,0.847147570504227,-0.781054213458738,0.216995954421693,-0.439948379834749
"ADAMTS1",0.65710384095872,0.0494095971161324,-0.315802233008341,2.18067685297015,1.10227700846668,-1.54243720107698,-0.0478179888281822,-0.0778838054499316,0.339521942406702,-1.12353094651299,0.38496260656689,-0.975267340539694,0.978086926210028,-1.39233844762506,0.341464754271416,-0.558425565925543
"ADRB1",0.186061633540026,-0.315421700740277,0.174002088162844,0.788214705666768,0.473605756994376,-0.451570161517565,0.274892961873502,-0.303281838111369,0.252118228114768,0.404781725190674,0.36000505144461,-1.61724910986684,0.165726447150103,-0.192162658349458,-0.111320001579994,-0.088403127972164
"AHR",0.0166952423138538,-0.231166725710819,-0.229287339756329,1.04255300719141,0.328739484680952,-0.125843666119216,0.185279228869114,-0.0732063618452816,0.0687582938369662,-1.07083275810961,0.989484244080094,-1.07083275810961,0.530303410971046,-0.0875668673527654,-0.111676480287828,-0.161399954651992
"AMIGO2",0.263839433754378,-0.643110512264785,-0.464566296356359,0.838503843810379,0.596699230253929,-0.543904491251507,-0.228767516083166,-0.247849127604001,0.51587334743374,-0.0279031507203431,-0.205702251881144,-0.352417703177641,0.676538490478234,-0.438234079308272,-0.092341514509342,0.353342297425899
"ANKRD13A",0.250232615263205,0.0179656994013042,-0.0252679445238613,0.610801879119078,0.311077248154859,-0.0513952321620401,-0.0966302378286263,-0.123648346060683,0.0995947270807802,-1.14319420311018,0.381416765172519,0.406425936207171,0.407970152085353,-0.27230090297395,0.0241859246502738,-0.797234080475201
"ANKRD27",-0.422569794592428,0.0539277632980442,0.371562336274871,-0.180380197420305,-0.301919860661806,0.0132593908748913,-0.467083577682312,0.382696462355979,-0.424871384036765,-0.801997958551895,-0.18429683979531,2.14805537340171,0.00199214020598149,0.0455931527990199,-0.165568421223804,-0.0683985852458662
"ANKRD28",0.421942700374853,-0.172250491716463,-0.197700571956801,0.908490998822399,0.438054779416223,-0.130860290367121,-0.221227078133338,-0.438037449939442,-0.234435077425501,0.064938781389662,0.995157963879373,-2.15866844836201,0.884216615930685,-0.413711111147912,0.383357185291631,-0.129268506056235
"ANKRD33B",0.295665296746377,-0.638490036412533,-0.110564378544963,1.06672110791659,0.662652625410485,-0.226636821117338,0.0138262734001042,-0.387270976515678,0.0925390333079461,-1.3687688948783,0.337328019384073,0.0787446332647521,0.605939742661945,-0.103491004684526,0.0275989290726981,-0.345793549011631
"APAF1",0.318590377798555,-0.143670509111292,0.293119037919561,0.820209648276515,0.671588316687034,-0.160632017278012,0.208670606987432,-0.164365547859848,0.281939884826788,-1.42791852160417,0.591542242442466,-1.42791852160417,0.493234535596465,-0.0823404595083996,0.323455570055295,-0.595504643624206
"ARC",1.17562232665214,-0.748179993813567,-0.366604302427911,1.40236261590047,2.04553523727886,-1.72812195555946,0.0781037397820494,-0.364777905619462,0.970788666878478,-0.922955198859766,0.936992488820561,-1.24673379724064,1.07659086188555,-2.14716642758358,0.121546548677244,-0.283002904770944
"ARID5B",0.650621981758832,-0.226567937418769,-0.0407557571312482,0.878295548816192,0.779897530961211,-0.21464522509358,-0.174393522562938,-0.116360567666962,0.107516929468046,-0.436259568686037,0.218578065597733,-1.91975851931402,0.670613330286442,-0.122052540720718,0.0915595354484271,-0.146289283742617
