"N","High level GO category","Genes"
46,"Endomembrane system ","LMNA PPP1R15A HMGCR SYT4 RANBP2 PIGA ARL5B B3GNT2 SCG2 LEMD3 BDNF ADRB1 PTGS2 ANKRD13A PLAGL1 NR4A1 MYC THBS1 ING2 PLK3 STMN4 CUL3 DNAJA1 MEST RASD1 FBXW7 NEDD9 CPEB4 SGK1 KCNJ2 FLRT3 TRA2B ABHD2 FZD5 FOS SNX18 SIAH2 ARC ANKRD28 CXADR SLC2A3 APAF1 HS6ST1 UBC ACAN HSPA1A"
41,"Non-membrane-bounded organelle ","JUND PLK2 JUNB JMJD1C PLK3 JUN SPTY2D1 ARC KDM7A CUL3 KLF6 NUAK1 DNAJA1 SMAD7 NEFM ARL4A MYC PAK6 PHLDA1 SLC16A1 ATF3 ING2 ZBTB33 HSPA1A FERMT2 FBXW7 NEDD9 SRF RGS2 HSPH1 RASL11A DNAJB1 PER2 FRMD6 HOMER1 LMNA CITED2 ARL13B ARL4D CTNND1 KLF2"
32,"Cell projection ","STMN4 NPTX2 CPEB4 SYT4 ABHD2 HOMER1 ARL13B BDNF KCNA4 CUL3 PTGS2 GPR19 SLC2A3 FERMT2 NEDD9 RGS2 CNNM1 KCNJ2 FLRT3 GAD1 DNAJB1 PCDH8 PLK2 FZD5 FOS PLK3 FZD4 SIAH2 CTNND1 ARC CXADR NEFM"
30,"Plasma membrane part ","LRRTM2 ADRB1 NPTX2 ERRFI1 PCDH8 SLC16A1 KCNF1 ARL13B KCNA4 FZD4 FERMT2 SMAD7 KCNJ2 FLRT3 THBS1 CXADR FZD5 IRS1 SNX18 CTNND1 PTGS2 CPEB4 RGS2 HOMER1 CLDN12 RGMB ARC SLC2A3 HS6ST1 GPR19"
29,"Neuron part ","STMN4 NPTX2 CPEB4 SYT4 HOMER1 BDNF KCNA4 ADRB1 PTGS2 NEFM SLC2A3 RGS2 CNNM1 KCNJ2 FLRT3 GAD1 DNAJB1 PCDH8 PLK2 LRRTM2 FZD5 FOS SCG2 PLK3 FZD4 SIAH2 CTNND1 ARC CXADR"
26,"Extracellular region ","CUL3 SLC2A3 DNAJA1 MEST HSPH1 APAF1 DNAJB1 USPL1 THBS1 UBC ADAMTS1 SLC16A1 ACAN BTG2 SNX18 CTNND1 HSPA1A SCG2 BDNF NPTX2 FLRT3 SYT4 CXADR OLFML2B IL16 ARC"
24,"Extracellular region part ","CUL3 SLC2A3 DNAJA1 MEST HSPH1 APAF1 DNAJB1 USPL1 THBS1 UBC ADAMTS1 SLC16A1 ACAN BTG2 SNX18 CTNND1 HSPA1A SCG2 BDNF FLRT3 SYT4 OLFML2B IL16 ARC"
23,"Organelle membrane ","LMNA HMGCR ARL13B LEMD3 NR4A1 RANBP2 CUL3 PTGS2 PPP1R15A SYT4 TRA2B SLC25A25 FZD5 B3GNT2 SNX18 MARCH11 ARC ANKRD28 GAD1 SLC2A3 HS6ST1 UBC FZD4"
22,"Cell projection part ","NPTX2 HOMER1 ARL13B BDNF KCNA4 STMN4 FERMT2 CPEB4 CNNM1 KCNJ2 FLRT3 GAD1 DNAJB1 SYT4 PCDH8 PLK2 FZD5 PLK3 FZD4 CTNND1 ARC CXADR"
20,"Cell junction ","FERMT2 HSPA1A CTNND1 SMAD7 FLRT3 PAK6 CXADR SLC16A1 NEDD9 CPEB4 KCNJ2 SYT4 PCDH8 FRMD6 LRRTM2 HOMER1 CLDN12 FZD5 FZD4 ARC"
20,"Synapse ","NPTX2 LRRTM2 CPEB4 HOMER1 BDNF KCNA4 ADRB1 KCNJ2 FLRT3 GAD1 DNAJB1 SYT4 PCDH8 SLC16A1 ACAN FZD5 NPAS4 FZD4 CTNND1 ARC"
19,"Extracellular space ","CUL3 SLC2A3 DNAJA1 MEST HSPH1 APAF1 DNAJB1 USPL1 THBS1 UBC SLC16A1 BTG2 SNX18 CTNND1 HSPA1A SCG2 BDNF FLRT3 IL16"
16,"Extracellular organelle ","CUL3 SLC2A3 DNAJA1 MEST HSPH1 APAF1 DNAJB1 THBS1 UBC SLC16A1 BTG2 SNX18 CTNND1 HSPA1A SYT4 ARC"
15,"Synapse part ","LRRTM2 HOMER1 BDNF KCNA4 ADRB1 CPEB4 KCNJ2 FLRT3 GAD1 DNAJB1 SYT4 PCDH8 NPAS4 CTNND1 ARC"
15,"Whole membrane ","HMGCR RANBP2 CXADR IRS1 PTGS2 PPP1R15A SYT4 RGMB SNX18 ARC SLC2A3 GAD1 UBC FZD5 FZD4"
12,"Plasma membrane region ","LRRTM2 ARL13B ADRB1 CXADR IRS1 FERMT2 PTGS2 CPEB4 FLRT3 PCDH8 HOMER1 ARC"
12,"Postsynapse ","LRRTM2 HOMER1 KCNA4 ADRB1 CPEB4 KCNJ2 FLRT3 DNAJB1 PCDH8 NPAS4 CTNND1 ARC"
11,"Cell body ","NPTX2 SLC2A3 CNNM1 KCNJ2 DNAJB1 SYT4 FZD5 PLK3 SIAH2 CXADR ARC"
11,"Glutamatergic synapse ","NPTX2 FLRT3 DNAJB1 SYT4 PCDH8 LRRTM2 HOMER1 ACAN FZD4 CTNND1 ARC"
10,"Chromatin ","JUND JUNB JMJD1C JUN ING2 SRF PLK2 CITED2 KLF2 MYC"
10,"Nuclear outer membrane-endoplasmic reticulum membrane network ","HMGCR PIGA RANBP2 PTGS2 PPP1R15A MEST SGK1 FLRT3 DNAJA1 UBC"
9,"Endoplasmic reticulum membrane ","HMGCR PIGA PTGS2 PPP1R15A MEST SGK1 FLRT3 DNAJA1 UBC"
9,"Cell-cell junction ","CTNND1 SMAD7 CXADR KCNJ2 FLRT3 FRMD6 CLDN12 FZD5 FZD4"
9,"Envelope ","LMNA RANBP2 LEMD3 NR4A1 MYC PPP1R15A TRA2B SLC25A25 UBC"
8,"Ribonucleoprotein complex ","CPEB4 PRPF38B TRA2B NAF1 EPRS HSPA1A CWC25 DYRK2"
7,"Anchoring junction ","FERMT2 HSPA1A CTNND1 SMAD7 CXADR NEDD9 FLRT3"
7,"Synaptic membrane ","LRRTM2 ADRB1 CPEB4 FLRT3 PCDH8 HOMER1 ARC"
7,"Side of membrane ","NPTX2 ERRFI1 FERMT2 THBS1 SNX18 RGS2 DNAJA1"
7,"Membrane protein complex ","KCNF1 PIGA KCNA4 SMAD7 KCNJ2 CTNND1 IRS1"
7,"Neuron to neuron synapse ","HOMER1 ADRB1 CPEB4 DNAJB1 LRRTM2 CTNND1 ARC"
7,"Postsynaptic specialization ","LRRTM2 HOMER1 ADRB1 CPEB4 DNAJB1 CTNND1 ARC"
6,"Site of polarized growth ","NPTX2 STMN4 CPEB4 FLRT3 CTNND1 CXADR"
6,"Membrane region ","RANBP2 CXADR IRS1 PTGS2 RGMB ARC"
6,"Presynapse ","BDNF GAD1 SYT4 PCDH8 CTNND1 FLRT3"
6,"Supramolecular fiber ","CUL3 FERMT2 NEFM HSPH1 HOMER1 LMNA"
5,"Extrinsic component of membrane ","ERRFI1 FERMT2 SMAD7 SNX18 CTNND1"
5,"Extracellular matrix ","THBS1 ADAMTS1 ACAN OLFML2B FLRT3"
5,"Sperm part ","ABHD2 CUL3 DNAJB1 ARC CXADR"
4,"Cilium ","ABHD2 ARL13B CUL3 GPR19"
4,"Cell surface ","THBS1 FZD5 FZD4 FERMT2"
4,"Cell-substrate junction ","FERMT2 HSPA1A NEDD9 FLRT3"
4,"Intrinsic component of postsynaptic membrane ","LRRTM2 ADRB1 FLRT3 PCDH8"
4,"Polymeric cytoskeletal fiber ","CUL3 NEFM HSPH1 LMNA"
3,"Cell leading edge ","FERMT2 NEDD9 CTNND1"
2,"Synaptic vesicle ","BDNF SYT4"
2,"Host ","UBC RANBP2"
2,"Outer membrane ","PPP1R15A UBC"
2,"Intrinsic component of organelle membrane ","LEMD3 SYT4"
2,"Protein-DNA complex ","JUND FOS"
2,"Other organism ","UBC RANBP2"
2,"Other organism cell ","UBC RANBP2"
2,"Other organism part ","UBC RANBP2"
2,"Contractile fiber part ","FERMT2 HOMER1"
2,"Presynaptic active zone ","GAD1 CTNND1"
2,"GABA-ergic synapse ","LRRTM2 ACAN"
