"","net$colors","gene"
"1","darkred","Abca5"
"2","darkred","Abra"
"3","darkred","Acan"
"4","darkred","Adamts1"
"5","darkred","Amigo2"
"6","darkred","Ankrd33b"
"7","darkred","Arc"
"8","darkred","Arid5a"
"9","darkred","Arl4d"
"10","darkred","Arl5b"
"11","darkred","Armcx5"
"12","darkred","Atf3"
"13","darkred","Bdnf"
"14","darkred","Btg2"
"15","darkred","Chpf2"
"16","darkred","Col10a1"
"17","darkred","Coq10b"
"18","darkred","Cpeb4"
"19","darkred","Creb1"
"20","darkred","Csnk1a1"
"21","darkred","Csrnp1"
"22","darkred","Cyp51"
"23","darkred","Dbpht2"
"24","darkred","Ddx3x"
"25","darkred","Dnaja1"
"26","darkred","Dnajb1"
"27","darkred","Dnajb5"
"28","darkred","Dusp6"
"29","darkred","Egr1"
"30","darkred","Egr4"
"31","darkred","Eml4"
"32","darkred","Fam53c"
"33","darkred","Fbxo33"
"34","darkred","Fgf16"
"35","darkred","Filip1l"
"36","darkred","Flrt3"
"37","darkred","Fos"
"38","darkred","Fosb"
"39","darkred","Fosl2"
"40","darkred","Frmd6"
"41","darkred","Gad1"
"42","darkred","Gnl2"
"43","darkred","Homer1"
"44","darkred","Jun"
"45","darkred","Junb"
"46","darkred","Jund"
"47","darkred","Kcnj13"
"48","darkred","Klf4"
"49","darkred","Klf6"
"50","darkred","Larp4"
"51","darkred","Lmna"
"52","darkred","Lonrf1"
"53","darkred","Midn"
"54","darkred","Mrpl44"
"55","darkred","Naf1"
"56","darkred","Ndrg4"
"57","darkred","Nfatc2"
"58","darkred","Nhs"
"59","darkred","Nptx2"
"60","darkred","Nr4a1"
"61","darkred","Nr4a2"
"62","darkred","Nr4a3"
"63","darkred","Odc1"
"64","darkred","Peli1"
"65","darkred","Per1"
"66","darkred","Per2"
"67","darkred","Plk2"
"68","darkred","Pou3f3"
"69","darkred","Rap1a"
"70","darkred","Rasd1"
"71","darkred","Rbbp5"
"72","darkred","Rela"
"73","darkred","Rgs2"
"74","darkred","Rgs4"
"75","darkred","Rnpep"
"76","darkred","Sat1"
"77","darkred","Sf3b1"
"78","darkred","Sgk1"
"79","darkred","Slc24a1"
"80","darkred","Slc25a22"
"81","darkred","Slc25a25"
"82","darkred","Smad7"
"83","darkred","Sowahc"
"84","darkred","Spred1"
"85","darkred","Srf"
"86","darkred","Stat3"
"87","darkred","Stmn4"
"88","darkred","Synpo"
"89","darkred","Syt4"
"90","darkred","Trappc6b"
"91","darkred","Trib1"
"92","darkred","Tubb2a"
"93","darkred","Ubc"
"94","darkred","Upk1b"
"95","darkred","Ypel3"
