"","net$colors","gene"
"1","lightyellow","0610012G03Rik"
"2","lightyellow","2700062C07Rik"
"3","lightyellow","4933427I04Rik"
"4","lightyellow","Adgrb2"
"5","lightyellow","AI606181"
"6","lightyellow","Ak4"
"7","lightyellow","Akr1b3"
"8","lightyellow","Ankrd29"
"9","lightyellow","Ankrd34b"
"10","lightyellow","Arf1"
"11","lightyellow","Atp13a1"
"12","lightyellow","Atp5d"
"13","lightyellow","Atp5h"
"14","lightyellow","Atp6v1b2"
"15","lightyellow","Atp6v1c1"
"16","lightyellow","Atp6v1g2"
"17","lightyellow","Bag5"
"18","lightyellow","Bmp6"
"19","lightyellow","Bok"
"20","lightyellow","Bves"
"21","lightyellow","Cadps"
"22","lightyellow","Calm3"
"23","lightyellow","Casc5"
"24","lightyellow","Ccdc85b"
"25","lightyellow","Cck"
"26","lightyellow","Cecr2"
"27","lightyellow","Celf1"
"28","lightyellow","Cfl1"
"29","lightyellow","Chd2"
"30","lightyellow","Ciita"
"31","lightyellow","Cmas"
"32","lightyellow","Cplx1"
"33","lightyellow","Cpne7"
"34","lightyellow","D16Ertd472e"
"35","lightyellow","Dennd6a"
"36","lightyellow","Dkk3"
"37","lightyellow","Dlg1"
"38","lightyellow","Dnm1"
"39","lightyellow","Dock9"
"40","lightyellow","Emc10"
"41","lightyellow","Eps15l1"
"42","lightyellow","Etl4"
"43","lightyellow","Fam131a"
"44","lightyellow","Fam234b"
"45","lightyellow","Fam32a"
"46","lightyellow","Flot1"
"47","lightyellow","Fth1"
"48","lightyellow","Gdi1"
"49","lightyellow","Ghsr"
"50","lightyellow","Gna13"
"51","lightyellow","Gnas"
"52","lightyellow","Gng3"
"53","lightyellow","Helz"
"54","lightyellow","Hhatl"
"55","lightyellow","Hipk3"
"56","lightyellow","Hs3st4"
"57","lightyellow","Il27ra"
"58","lightyellow","Isca1"
"59","lightyellow","Itpka"
"60","lightyellow","Kctd13"
"61","lightyellow","Khdrbs3"
"62","lightyellow","Khnyn"
"63","lightyellow","Ldha"
"64","lightyellow","Lpl"
"65","lightyellow","Malt1"
"66","lightyellow","Map4"
"67","lightyellow","Mapk10"
"68","lightyellow","Mdh1"
"69","lightyellow","Mki67"
"70","lightyellow","Mllt11"
"71","lightyellow","Mpped1"
"72","lightyellow","Mterf2"
"73","lightyellow","Myeov2"
"74","lightyellow","Naa20"
"75","lightyellow","Neurod6"
"76","lightyellow","Nnat"
"77","lightyellow","Nrip3"
"78","lightyellow","Oxr1"
"79","lightyellow","P4ha2"
"80","lightyellow","Paics"
"81","lightyellow","Pcdhga11"
"82","lightyellow","Pcdhga5"
"83","lightyellow","Pdzd2"
"84","lightyellow","Pebp1"
"85","lightyellow","Plch2"
"86","lightyellow","Pogz"
"87","lightyellow","Ppp3r1"
"88","lightyellow","Prkca"
"89","lightyellow","Prkcg"
"90","lightyellow","Prokr2"
"91","lightyellow","Psmg1"
"92","lightyellow","Pstpip2"
"93","lightyellow","Rab15"
"94","lightyellow","Rab3c"
"95","lightyellow","Rab6a"
"96","lightyellow","Raver1"
"97","lightyellow","Reep5"
"98","lightyellow","Rnf187"
"99","lightyellow","Rpl19"
"100","lightyellow","Rreb1"
"101","lightyellow","Sh3gl2"
"102","lightyellow","Slc39a3"
"103","lightyellow","Slc6a7"
"104","lightyellow","Sphkap"
"105","lightyellow","Spock1"
"106","lightyellow","Stmn2"
"107","lightyellow","Strip2"
"108","lightyellow","Stx1a"
"109","lightyellow","Sv2b"
"110","lightyellow","Syn2"
"111","lightyellow","Syt1"
"112","lightyellow","Tceb2"
"113","lightyellow","Tmem30c"
"114","lightyellow","Tnfrsf19"
"115","lightyellow","Tra2a"
"116","lightyellow","Traf7"
"117","lightyellow","Ttl"
"118","lightyellow","Tyro3"
"119","lightyellow","Wars"
"120","lightyellow","Wdfy2"
"121","lightyellow","Ywhah"
"122","lightyellow","Zmym6"
