"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"0610007P14Rik",7.15932812621701,7.68830993350933,7.3471579253175,7.09748066665331,6.97376624455403,7.34609105788606,6.84212641297254,7.23092793866022,7.24489961809182,6.9297996688176,7.01691270169161,7.37740980028383
"0610009B22Rik",6.5181490364862,7.06893395789686,6.60019828616156,7.00331466764707,6.43507124487607,6.28431077563994,6.98876144796015,6.53383359345793,6.41042402611159,6.60998078616562,6.60041150343722,6.76889320023402
"0610009L18Rik",6.06436664491995,6.74678563092428,6.32003085757434,6.27277285307284,6.32099645238723,6.28431077563994,6.02197511661528,6.18436861938232,6.15057251364263,6.15550111538001,6.212183820912,6.25968120485496
"0610009O20Rik",7.15932812621701,7.64731848658614,7.10998468997024,7.47547922975846,7.01339250784827,7.465181639354,7.02881453662548,7.19906498902037,7.35295653186671,6.9917000360508,7.12019452281778,7.00803317155085
"0610010F05Rik",7.53067819261397,7.51554170438576,7.13613490781449,7.64110676653781,7.63975885423111,7.31217278098751,7.65366855906787,7.63216100275077,7.78769821561085,7.64622123504327,7.74286539066706,7.67132552099155
"0610010K14Rik",6.5181490364862,7.13553279672632,6.68741325644872,6.7184581734777,6.53174497705871,6.36640614262992,6.38885509350361,6.26909573140534,6.42121207264248,5.74601471773009,6.83890623493614,6.70081292205365
"0610012G03Rik",6.93703911551995,7.84018551825394,7.50696380166105,7.55354820131962,7.60945202745218,7.56656446981252,7.12861439287074,7.48364504077634,7.25742566782044,7.42480878412807,7.53510009654605,7.26295415693389
"0610030E20Rik",6.68627937607115,7.25758108755117,7.28111851905367,6.38940370799125,6.87460592790578,6.83266571371286,6.90348176463326,7.2071169961713,7.31805876971533,6.60998078616562,6.85185844063301,6.84219261952035
"0610037L13Rik",7.67302523804857,7.4190323886764,7.72881119956111,7.20452170067275,7.10030241706347,7.25028232615179,7.37327336654893,7.23092793866022,7.17560597562819,7.22927774304882,7.61471844734858,7.35293811538599
"0610040J01Rik",6.45224384152599,6.5272639655662,5.74601471773009,5.74601471773009,6.13073690606632,6.14826413099723,6.08373963483239,5.74601471773009,6.15057251364263,6.25579385114531,6.32896034239041,6.30390083398407
"1110002E22Rik",5.74601471773009,5.74601471773009,5.74601471773009,6.11951744560923,5.74601471773009,6.43832819948902,5.74601471773009,5.74601471773009,6.04524372300253,5.74601471773009,6.17786933683618,5.74601471773009
"1110004E09Rik",7.28313347453257,6.64459133834263,6.80318636475597,7.42608862317961,7.05153354354193,7.06242298335718,7.02881453662548,6.81221950706321,6.67768317971619,6.43770256775214,7.35020329584923,6.84219261952035
"1110004F10Rik",7.85812693480036,7.60493663032915,8.09422907361888,8.27448719772387,8.0466280704263,7.88951653018708,7.9322422305683,7.70816191109679,7.94397938260351,7.80138166255916,8.02341268181483,7.68550531092164
"1110008F13Rik",7.84947939925719,7.31394623064817,7.6480957014075,7.74905626601137,7.54651584915449,7.77116982952064,7.61510159255314,6.95495803554169,7.28206809232282,7.49471717220437,7.74865494434553,7.74068330775445
"1110008L16Rik",6.50225765919205,5.74601471773009,5.74601471773009,6.33414409144239,6.32099645238723,5.74601471773009,6.32834670430084,6.24252161456539,6.35341282453293,6.29059228912795,6.35451166444358,6.57308884001306
"1110008P14Rik",7.97746557490882,8.62830450903998,7.95742745553185,8.46096926243137,8.10015707818452,8.26654834852945,8.15139673944249,7.357123428046,7.77152012657548,8.33460982625449,8.49579905961482,8.02614225561314
"1110012L19Rik",5.74601471773009,6.74678563092428,6.32003085757434,6.2028281207757,6.21651083794126,6.39133219096688,5.74601471773009,6.11689602129963,6.04524372300253,6.25579385114531,6.17786933683618,6.2360090261318
"1110017D15Rik",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,6.01845616303518,5.92637191568324,5.74601471773009,5.74601471773009,6.13185952847338,5.74601471773009,5.92286684183806,6.09332148405594
"1110032A03Rik",6.95596885981592,7.31394623064817,6.87277773979257,7.09748066665331,6.57551092608942,7.0405793290156,7.17521168300531,6.69843077117864,6.78996298087165,6.56791420677846,6.87723548158758,6.93778718803642
"1110032F04Rik",6.98370159673012,5.74601471773009,6.55261476465212,6.57219114297089,6.5539546939191,6.63429058981535,6.80986130569711,6.40553789019331,6.41042402611159,6.64987571833555,6.54664688723551,6.5001491580929
"1110034G24Rik",6.4693318579833,6.5272639655662,5.74601471773009,6.27277285307284,6.13073690606632,6.39133219096688,6.66752391665721,6.18436861938232,6.72153404285511,6.25579385114531,6.24406443825704,6.43572001351797
"1110037F02Rik",7.35008387759337,6.74678563092428,7.98337577086424,7.07472629157393,7.52205652409862,7.25028232615179,7.43844277446657,7.13242380019136,7.33369913918436,7.36953737839847,7.44253764861778,7.44219176815275
"1110038F14Rik",6.66065176716826,6.64459133834263,6.96842550338733,6.95275757658379,6.90398950220338,6.81890456226423,6.72370525335134,6.48182062244405,6.75641965518767,6.9297996688176,6.85185844063301,7.09733252918464
"1110051M20Rik",8.50159211403735,8.29075642305701,8.39961277510579,8.05823590376457,8.18158312183421,8.60303907879736,8.41431789150671,8.0688472529148,7.99978567073333,8.1693616742797,8.49249499030426,8.46595067099395
"1110059E24Rik",6.62061384869924,6.83815198390189,6.68741325644872,7.09748066665331,7.03897635701064,6.93602916339388,6.98876144796015,6.75084766364504,6.74263439024511,7.04369449432294,6.77123273357694,6.74679259642154
"1110059G10Rik",6.43469776319708,6.5272639655662,6.50171616861298,6.33414409144239,6.78044308433469,6.68436902756504,6.64790973458671,6.03361342466129,6.45251883551555,6.6201461042847,6.58291500144642,6.48461218845212
"1110065P20Rik",7.60652619837752,8.26500025952267,7.87635079434878,7.69623596521655,7.69825363742401,7.83451162439121,7.02881453662548,7.14947116215828,7.04253557423898,7.33118323877233,7.70756264816761,7.43644677451808
"1190002N15Rik",6.5784105814205,5.74601471773009,6.72775853067017,6.78292947722468,6.84427756997435,6.88575368190987,6.88851215548052,6.40553789019331,6.8222917097053,6.52332011673904,6.37897466665394,6.71254345183555
"1190005I06Rik",5.74601471773009,5.74601471773009,6.15323483203576,6.38940370799125,6.4085129687457,6.00091276814161,6.44382925268539,5.74601471773009,5.91898088471957,6.25579385114531,6.212183820912,5.96598844840126
"1190007I07Rik",6.27209387059004,6.38645313262447,6.32003085757434,6.11951744560923,6.46057228151526,6.34036937992903,6.22255185613063,6.0779228008653,6.27645869648312,6.35398345014251,6.35451166444358,6.21108529546451
"1500009C09Rik",7.79634183104493,8.45860654986162,7.21099817777675,7.97399037465546,7.85280640141873,8.17853408396885,7.79031131240926,7.58073984433096,8.02235917004897,7.66853513776788,8.36793602415571,7.79787600876714
"1500009L16Rik",6.60680223492987,6.64459133834263,6.15323483203576,6.84303400695736,7.07620150018927,6.74674955212543,6.56415175244218,6.94470096311447,6.55626593389875,6.05168137211589,6.68246260095643,6.46871194211158
"1500011B03Rik",7.96163743595512,8.15677829865023,7.75970879055566,7.94095819095093,7.82723032276009,8.07503831642988,7.72023310472666,7.35007220512485,7.66693402864835,7.84061815730986,8.2819848550185,8.12026795497689
