Group,Mouse,PTP_3_10,EarlyPotentiation_11_20,LatePotentiation_26_end,MaxfEPSP
conflict,15-143C,130.98,199.54,195.64,-0.0077112
conflict,15-144C,151.40,149.93,128.81,-0.0027726
conflict,15-145C,128.29,118.72,110.56,-0.0029735
conflict,15-146C,127.11,160.00,193.41,-0.0031377
conflict,15-147C,148.58,140.74,119.59,-0.0028979
control,15-146D,226.84,196.43,142.12,-0.0025674
control,15-143D,141.54,120.81,132.16,-0.0014867
control,15-145D,161.40,147.44,147.99,-0.0031025
control,15-147D,273.40,262.75,289.58,-0.0044005
consistent,15-144A,112.67,121.15,117.99,-0.0016965
consistent,15-145A,94.69,91.25,86.33,-0.0022726
consistent,15-146A,119.19,111.85,112.69,-0.0029890
consistent,15-147A,131.75,120.68,144.75,-0.0023750
consistent,15-148A,126.62,124.68,134.46,-0.0030118
consistent,15-148C,132.93,116.54,101.02,-0.0046326
control,15-143B,101.56,95.34,76.90,-0.0061714
control,15-146B,177.30,154.73,132.11,-0.0015526
control,15-144B,106.27,109.14,117.08,-0.0009905
control,15-145B,99.73,81.36,80.12,-0.0022499
control,15-147B,134.65,130.08,126.79,-0.0042260
control,15-148B,164.57,151.53,136.68,-0.0031794
control,15-148D,135.91,118.96,119.73,-0.0023426
