"ID","Genotype","APA","APA2","Year","genoAPA","variable","value","variablenumeric"
"15143C","WT","consistent","consistent","2015","WT_consistent","V0",0.000141208,1
"15144C","WT","consistent","consistent","2015","WT_consistent","V0",-5.19e-05,1
"15145C","WT","consistent","consistent","2015","WT_consistent","V0",-4.18e-05,1
"15146C","WT","consistent","consistent","2015","WT_consistent","V0",0.000207267,1
"15147C","WT","consistent","consistent","2015","WT_consistent","V0",-0.000352361,1
"15144A","WT","conflict","conflict","2015","WT_conflict","V0",0.000154642,1
"15145A","WT","conflict","conflict","2015","WT_conflict","V0",1.54e-05,1
"15146A","WT","conflict","conflict","2015","WT_conflict","V0",-9.61e-05,1
"15147A","WT","conflict","conflict","2015","WT_conflict","V0",0.000144135,1
"15148A","WT","conflict","conflict","2015","WT_conflict","V0",-0.000282508,1
"15148C","WT","conflict","conflict","2015","WT_conflict","V0",-0.000262387,1
"15143D","WT","control","control-consistent","2015","WT_control","V0",-1.36e-05,1
"15145D","WT","control","control-consistent","2015","WT_control","V0",0.000405102,1
"15146D","WT","control","control-consistent","2015","WT_control","V0",0.000121471,1
"15147D","WT","control","control-consistent","2015","WT_control","V0",-0.000108956,1
"15143B","WT","control","control-conflict","2015","WT_control","V0",0.000478442,1
"15144B","WT","control","control-conflict","2015","WT_control","V0",0.000710501,1
"15145B","WT","control","control-conflict","2015","WT_control","V0",0.000301227,1
"15146B","WT","control","control-conflict","2015","WT_control","V0",0.000174189,1
"15147B","WT","control","control-conflict","2015","WT_control","V0",0.000326316,1
"15148B","WT","control","control-conflict","2015","WT_control","V0",0.000130405,1
"15148D","WT","control","control-conflict","2015","WT_control","V0",7.88e-05,1
"15143C","WT","consistent","consistent","2015","WT_consistent","V10",-0.000289647,2
"15144C","WT","consistent","consistent","2015","WT_consistent","V10",-8.83e-05,2
"15145C","WT","consistent","consistent","2015","WT_consistent","V10",-6.18e-05,2
"15146C","WT","consistent","consistent","2015","WT_consistent","V10",-0.000136649,2
"15147C","WT","consistent","consistent","2015","WT_consistent","V10",9.79e-05,2
"15144A","WT","conflict","conflict","2015","WT_conflict","V10",6.11e-05,2
"15145A","WT","conflict","conflict","2015","WT_conflict","V10",-0.000557674,2
"15146A","WT","conflict","conflict","2015","WT_conflict","V10",0.000107096,2
"15147A","WT","conflict","conflict","2015","WT_conflict","V10",-0.000165085,2
"15148A","WT","conflict","conflict","2015","WT_conflict","V10",-0.000201111,2
"15148C","WT","conflict","conflict","2015","WT_conflict","V10",0.000177106,2
"15143D","WT","control","control-consistent","2015","WT_control","V10",-0.001353679,2
"15145D","WT","control","control-consistent","2015","WT_control","V10",-0.000122068,2
"15146D","WT","control","control-consistent","2015","WT_control","V10",-0.000161636,2
"15147D","WT","control","control-consistent","2015","WT_control","V10",0.000101741,2
"15143B","WT","control","control-conflict","2015","WT_control","V10",-0.001232245,2
"15144B","WT","control","control-conflict","2015","WT_control","V10",-0.000182166,2
"15145B","WT","control","control-conflict","2015","WT_control","V10",-0.001780082,2
"15146B","WT","control","control-conflict","2015","WT_control","V10",0.000189256,2
"15147B","WT","control","control-conflict","2015","WT_control","V10",-0.000521494,2
"15148B","WT","control","control-conflict","2015","WT_control","V10",-2.53e-05,2
"15148D","WT","control","control-conflict","2015","WT_control","V10",-0.000126586,2
"15143C","WT","consistent","consistent","2015","WT_consistent","V15",-0.001539753,3
"15144C","WT","consistent","consistent","2015","WT_consistent","V15",-0.000911371,3
"15145C","WT","consistent","consistent","2015","WT_consistent","V15",-0.001593462,3
"15146C","WT","consistent","consistent","2015","WT_consistent","V15",-0.0006205,3
"15147C","WT","consistent","consistent","2015","WT_consistent","V15",-0.000736947,3
"15144A","WT","conflict","conflict","2015","WT_conflict","V15",-0.001237393,3
"15145A","WT","conflict","conflict","2015","WT_conflict","V15",-0.000842674,3
"15146A","WT","conflict","conflict","2015","WT_conflict","V15",-0.001067524,3
"15147A","WT","conflict","conflict","2015","WT_conflict","V15",-0.000700835,3
"15148A","WT","conflict","conflict","2015","WT_conflict","V15",-0.000793562,3
"15148C","WT","conflict","conflict","2015","WT_conflict","V15",-0.00043025,3
"15143D","WT","control","control-consistent","2015","WT_control","V15",-0.000974833,3
"15145D","WT","control","control-consistent","2015","WT_control","V15",-0.000742528,3
"15146D","WT","control","control-consistent","2015","WT_control","V15",-0.000433198,3
"15147D","WT","control","control-consistent","2015","WT_control","V15",-0.000227813,3
"15143B","WT","control","control-conflict","2015","WT_control","V15",-0.001625659,3
"15144B","WT","control","control-conflict","2015","WT_control","V15",-0.001768832,3
"15145B","WT","control","control-conflict","2015","WT_control","V15",-0.001073193,3
"15146B","WT","control","control-conflict","2015","WT_control","V15",-0.00053373,3
"15147B","WT","control","control-conflict","2015","WT_control","V15",-0.001079695,3
"15148B","WT","control","control-conflict","2015","WT_control","V15",-0.000183931,3
"15148D","WT","control","control-conflict","2015","WT_control","V15",-0.000337034,3
"15143C","WT","consistent","consistent","2015","WT_consistent","V20",-0.002471361,4
"15144C","WT","consistent","consistent","2015","WT_consistent","V20",-0.00150319,4
"15145C","WT","consistent","consistent","2015","WT_consistent","V20",-0.00181918,4
"15146C","WT","consistent","consistent","2015","WT_consistent","V20",-0.001717769,4
"15147C","WT","consistent","consistent","2015","WT_consistent","V20",-0.001258964,4
"15144A","WT","conflict","conflict","2015","WT_conflict","V20",-0.001254082,4
"15145A","WT","conflict","conflict","2015","WT_conflict","V20",-0.000879766,4
"15146A","WT","conflict","conflict","2015","WT_conflict","V20",-0.001646795,4
"15147A","WT","conflict","conflict","2015","WT_conflict","V20",-0.001244411,4
"15148A","WT","conflict","conflict","2015","WT_conflict","V20",-0.001673056,4
"15148C","WT","conflict","conflict","2015","WT_conflict","V20",-0.001616123,4
"15143D","WT","control","control-consistent","2015","WT_control","V20",-0.002131643,4
"15145D","WT","control","control-consistent","2015","WT_control","V20",-0.001333794,4
"15146D","WT","control","control-consistent","2015","WT_control","V20",-0.001168674,4
"15147D","WT","control","control-consistent","2015","WT_control","V20",-0.001664947,4
"15143B","WT","control","control-conflict","2015","WT_control","V20",-0.003899627,4
"15144B","WT","control","control-conflict","2015","WT_control","V20",-0.003776931,4
"15145B","WT","control","control-conflict","2015","WT_control","V20",-0.000164444,4
"15146B","WT","control","control-conflict","2015","WT_control","V20",-0.001257934,4
"15147B","WT","control","control-conflict","2015","WT_control","V20",-0.002578781,4
"15148B","WT","control","control-conflict","2015","WT_control","V20",-0.00072789,4
"15148D","WT","control","control-conflict","2015","WT_control","V20",-0.000294841,4
"15143C","WT","consistent","consistent","2015","WT_consistent","V30",-0.002960502,5
"15144C","WT","consistent","consistent","2015","WT_consistent","V30",-0.001860003,5
"15145C","WT","consistent","consistent","2015","WT_consistent","V30",-0.002638209,5
"15146C","WT","consistent","consistent","2015","WT_consistent","V30",-0.002490222,5
"15147C","WT","consistent","consistent","2015","WT_consistent","V30",-0.002709067,5
"15144A","WT","conflict","conflict","2015","WT_conflict","V30",-0.001399463,5
"15145A","WT","conflict","conflict","2015","WT_conflict","V30",-0.001385727,5
"15146A","WT","conflict","conflict","2015","WT_conflict","V30",-0.002574774,5
"15147A","WT","conflict","conflict","2015","WT_conflict","V30",-0.002740054,5
"15148A","WT","conflict","conflict","2015","WT_conflict","V30",-0.00231534,5
"15148C","WT","conflict","conflict","2015","WT_conflict","V30",-0.003218472,5
"15143D","WT","control","control-consistent","2015","WT_control","V30",-0.001622808,5
"15145D","WT","control","control-consistent","2015","WT_control","V30",-0.002236565,5
"15146D","WT","control","control-consistent","2015","WT_control","V30",-0.001623883,5
"15147D","WT","control","control-consistent","2015","WT_control","V30",-0.003016234,5
"15143B","WT","control","control-conflict","2015","WT_control","V30",-0.003533061,5
"15144B","WT","control","control-conflict","2015","WT_control","V30",-0.004344656,5
"15145B","WT","control","control-conflict","2015","WT_control","V30",-0.00167768,5
"15146B","WT","control","control-conflict","2015","WT_control","V30",-0.001723237,5
"15147B","WT","control","control-conflict","2015","WT_control","V30",-0.002628149,5
"15148B","WT","control","control-conflict","2015","WT_control","V30",-0.001637513,5
"15148D","WT","control","control-conflict","2015","WT_control","V30",-0.000769588,5
"15143C","WT","consistent","consistent","2015","WT_consistent","V40",-0.004357639,6
"15144C","WT","consistent","consistent","2015","WT_consistent","V40",-0.002383395,6
"15145C","WT","consistent","consistent","2015","WT_consistent","V40",-0.002767123,6
"15146C","WT","consistent","consistent","2015","WT_consistent","V40",-0.003030815,6
"15147C","WT","consistent","consistent","2015","WT_consistent","V40",-0.002479018,6
"15144A","WT","conflict","conflict","2015","WT_conflict","V40",-0.001086449,6
"15145A","WT","conflict","conflict","2015","WT_conflict","V40",-0.001745415,6
"15146A","WT","conflict","conflict","2015","WT_conflict","V40",-0.002757846,6
"15147A","WT","conflict","conflict","2015","WT_conflict","V40",-0.003317428,6
"15148A","WT","conflict","conflict","2015","WT_conflict","V40",-0.003274746,6
"15148C","WT","conflict","conflict","2015","WT_conflict","V40",-0.004440827,6
"15143D","WT","control","control-consistent","2015","WT_control","V40",-0.002591314,6
"15145D","WT","control","control-consistent","2015","WT_control","V40",-0.00233364,6
"15146D","WT","control","control-consistent","2015","WT_control","V40",-0.002207864,6
"15147D","WT","control","control-consistent","2015","WT_control","V40",-0.004422056,6
"15143B","WT","control","control-conflict","2015","WT_control","V40",-0.004234342,6
"15144B","WT","control","control-conflict","2015","WT_control","V40",-0.004131745,6
"15145B","WT","control","control-conflict","2015","WT_control","V40",-0.001429169,6
"15146B","WT","control","control-conflict","2015","WT_control","V40",-0.001275221,6
"15147B","WT","control","control-conflict","2015","WT_control","V40",-0.002754782,6
"15148B","WT","control","control-conflict","2015","WT_control","V40",-0.002368631,6
"15148D","WT","control","control-conflict","2015","WT_control","V40",-0.001799279,6
"15143C","WT","consistent","consistent","2015","WT_consistent","V50",-0.004800732,7
"15144C","WT","consistent","consistent","2015","WT_consistent","V50",-0.002122899,7
"15145C","WT","consistent","consistent","2015","WT_consistent","V50",-0.002847076,7
"15146C","WT","consistent","consistent","2015","WT_consistent","V50",-0.004028133,7
"15147C","WT","consistent","consistent","2015","WT_consistent","V50",-0.003183019,7
"15144A","WT","conflict","conflict","2015","WT_conflict","V50",-0.001562542,7
"15145A","WT","conflict","conflict","2015","WT_conflict","V50",-0.002368989,7
"15146A","WT","conflict","conflict","2015","WT_conflict","V50",-0.003598131,7
"15147A","WT","conflict","conflict","2015","WT_conflict","V50",-0.003727043,7
"15148A","WT","conflict","conflict","2015","WT_conflict","V50",-0.003925135,7
"15148C","WT","conflict","conflict","2015","WT_conflict","V50",-0.005205496,7
"15143D","WT","control","control-consistent","2015","WT_control","V50",-0.00245125,7
"15145D","WT","control","control-consistent","2015","WT_control","V50",-0.00225543,7
"15146D","WT","control","control-consistent","2015","WT_control","V50",-0.003007066,7
"15147D","WT","control","control-consistent","2015","WT_control","V50",-0.004582237,7
"15143B","WT","control","control-conflict","2015","WT_control","V50",-0.006498043,7
"15144B","WT","control","control-conflict","2015","WT_control","V50",-0.005638693,7
"15145B","WT","control","control-conflict","2015","WT_control","V50",-0.00175876,7
"15146B","WT","control","control-conflict","2015","WT_control","V50",-0.002205568,7
"15147B","WT","control","control-conflict","2015","WT_control","V50",-0.004351805,7
"15148B","WT","control","control-conflict","2015","WT_control","V50",-0.003178509,7
"15148D","WT","control","control-conflict","2015","WT_control","V50",-0.002423445,7
