"gene","PC1"
"ABRA","0.76443293381299"
"ACAN","0.784205534794125"
"ADAMTS1","0.729630300406744"
"AIM1L","0.709079782637461"
"AMIGO2","0.714788339038007"
"ARC","0.805926984145088"
"AREG","0.784205510826605"
"ARL4D","0.737947205525971"
"ARL5B","0.723849227854103"
"ARMCX5","0.775536488340024"
"ATF3","0.774299679458332"
"BDNF","0.706684941476433"
"BTG2","0.705890746600337"
"CHST14","0.727692810511298"
"COL10A1","0.812721894255861"
"CPEB4","0.753167159198417"
"DUSP8","0.702704739054363"
"EGR1","0.70787250119552"
"EGR4","0.733487171892781"
"ERRFI1","0.715146848140387"
"FBXO33","0.7293042686794"
"FOSL2","0.762014114515966"
"FRMD6","0.750890924555582"
"FZD5","0.798759368049769"
"GM10269","0.728436145886213"
"HIST1H1D","0.815007901143921"
"HIST1H3I","0.779006216500503"
"HOMER1","0.720702804443503"
"HOXC4","0.765294784501068"
"HSPB3","0.803446968562441"
"IGHD","0.729340511421841"
"KCNK10","0.707580100111138"
"LONRF1","0.700980677447035"
"MEST","0.713550911829004"
"NAF1","0.861709524698369"
"NEXN","0.771602821845151"
"NFIL3","0.718049081432623"
"NPAS4","0.802382358989387"
"NR4A3","0.723372003634407"
"PCDH8","0.736899153670525"
"PELI1","0.735275036141727"
"PER1","0.730772368927776"
"PLK2","0.740690423378411"
"PPIC","0.728305441921118"
"PTGS2","0.840046336068718"
"RASD1","0.744909772728836"
"RGS2","0.833975370979959"
"SGK1","0.717713445010935"
"SLC16A1","0.729066690086952"
"SLC25A25","0.731411906811507"
"SMAD7","0.751683764996236"
"SPTY2D1","0.718945929931312"
"SYT4","0.77426591864414"
"TIPARP","0.71480602197621"
"TNFRSF23","0.714728105014911"
"TRIB1","0.718316497417399"
"UBC","0.753431907176377"
"ZFP804B","0.733153381252027"
