"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
0.00110152111079659,11,949,"Regulatory region nucleic acid binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
0.00110152111079659,11,946,"Transcription regulatory region DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
0.00248832965001298,9,782,"RNA polymerase II regulatory region sequence-specific DNA binding ","ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 PER1"
0.00248832965001298,9,738,"DNA-binding transcription factor activity, RNA polymerase II-specific ","EGR1 NPAS4 EGR4 HOXC4 ATF3 NR4A3 BTG2 FOSL2 NFIL3"
0.00248832965001298,9,788,"RNA polymerase II regulatory region DNA binding ","ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3 PER1"
0.00248832965001298,10,959,"Double-stranded DNA binding ","PER1 ATF3 NR4A3 FOSL2 HIST1H1D EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.0028469816431882,10,1010,"DNA-binding transcription factor activity ","EGR1 NPAS4 EGR4 HOXC4 ATF3 NR4A3 BTG2 SMAD7 FOSL2 NFIL3"
0.00292552836096637,9,837,"Transcription regulatory region sequence-specific DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.00357597558285475,9,874,"Sequence-specific double-stranded DNA binding ","PER1 ATF3 NR4A3 FOSL2 EGR4 HOXC4 EGR1 NPAS4 NFIL3"
0.00721428720909627,14,2140,"DNA binding ","PER1 ATF3 NR4A3 FOSL2 SPTY2D1 HIST1H1D EGR4 HOXC4 HIST1H3I EGR1 NPAS4 NFIL3 SMAD7 TIPARP"
