"","row","column","cor","p","padj"
"1","WWC1","NSF",-0.855562922339063,4.75647284172709e-05,0.015014653259514
"2","PRKCB","TNR",0.850102100551919,5.97095431427164e-05,0.015014653259514
"3","LAMB1","LIMK1",0.833295694111301,0.000114149221992044,0.015014653259514
"4","PRKCB","ROCK2",0.831202729934067,0.000123132911002743,0.015014653259514
"5","LAMC1","EGFR",0.824823124128325,0.0001541752577503,0.015014653259514
"6","LIMK1","AQP4",0.817526744615406,0.000197281415900141,0.015014653259514
"7","SLC1A2","FGFR3",0.817255316055669,0.000199057903061739,0.015014653259514
"8","ALDH1A1","ALDOC",0.781189303003237,0.000584659275158161,0.0385875121604387
"9","GRIA2","LIMK1",-0.771200287225214,0.000761346920044037,0.0446656859759168
"10","GRIA2","TNR",0.753865344372038,0.00116938995443272,0.05822680704253
"11","WWC1","SLC1A2",0.752317545084685,0.00121305848005271,0.05822680704253
"12","TNC","ALDOC",0.747494642123735,0.00135764791978454,0.058529343950293
"13","WWC1","AQP4",0.74489808869929,0.00144106339271555,0.058529343950293
"14","EGFR","ALDH1L1",0.736769353603436,0.00172928584252752,0.0609343454693345
"15","GFAP","AQP4",0.735363433422656,0.00178353246042029,0.0609343454693345
"16","TNXB","EGFR",0.733774095042571,0.00184649531725256,0.0609343454693345
"17","NSF","SLC1A2",-0.723494331714495,0.00229822955356584,0.067206205913525
"18","PRKCI","TNXB",0.722504925971896,0.00234599970130001,0.067206205913525
"19","PRKCI","GJB6",0.716491811425663,0.00265371646400414,0.067206205913525
"20","TNR","CFL1",-0.714151358297792,0.00278187200194857,0.067206205913525
"21","TNR","ROCK2",0.713186199020864,0.00283614027321688,0.067206205913525
"22","LAMB1","ALDH1L1",-0.71203764787449,0.0029018190808181,0.067206205913525
"23","LAMB1","PTPRS",0.710976817169578,0.00296355573527007,0.067206205913525
"24","GRIA2","AQP4",-0.709440359691767,0.00305482754152386,0.067206205913525
"25","LAMB1","AQP4",0.699017937641993,0.0037348637727852,0.0788803228812235
"26","TNXB","FGFR3",0.694583920300595,0.00405837969855538,0.0824163261860477
"27","WWC1","PRKCI",0.69093734430834,0.00434079538487131,0.0826102883836828
"28","GFAP","ALDOC",0.690435547658394,0.00438084862640742,0.0826102883836828
"29","CAMK2A","GABRA1",-0.685363236856365,0.00480241820546556,0.0865032606963929
"30","TNXB","SLC1A2",0.682477424497752,0.00505622735371847,0.0865032606963929
"31","WWC1","GJB6",0.679551938573441,0.005324248939514,0.0865032606963929
"32","CFL1","SLC1A2",-0.675915747074638,0.00567291117105895,0.0865032606963929
"33","EGFR","SLC1A2",0.674459904015726,0.00581746003058825,0.0865032606963929
"34","PRKCI","NSF",-0.674427181218971,0.00582074212480066,0.0865032606963929
"35","LAMC1","SLC1A2",0.673944467855405,0.00586932832914733,0.0865032606963929
"36","LAMC1","ALDH1L1",0.67366158475845,0.00589794959293588,0.0865032606963929
"37","TNR","EGFR",0.671337845518663,0.00613725121964048,0.0875802336208155
"38","NSF","CFL1",0.669731254521693,0.00630712984196968,0.0876359093831577
"39","PIN1","TNXB",0.667633528427619,0.00653449658139582,0.0884670306404357
"40","NSF","AQP4",-0.657994037856304,0.00766363098133582,0.0977151288346363
"41","WWC1","ALDOC",0.656736171843997,0.00782160276624588,0.0977151288346363
"42","WWC1","FGFR3",0.656383837276545,0.00786630640077424,0.0977151288346363
