"","rowname","PC1","PC2","PRKCZ","WWC1","PRKCI","PRKCB","NSF","GRIA2","PIN1","FOS","IGF2","CAMK2A","LAMA1","LAMB1","LAMC1","TNC","TNXB","TNR","GABRA1","PTPRS","PNN","EGFR","LIMK1","ROCK2","ALDH1A1","ALDH1L1"
"1","PC1",NA,-0.508246584598426,-0.112235060934603,0.111490503049223,0.192800554016032,-0.0846627265315985,-0.0692128210151993,-0.336776454580901,0.0224719260513192,0.325687474623493,0.578766575757652,-0.335199308302181,0.31268175236354,0.182107637462202,-0.254587733717703,0.54642812393767,0.146101643821839,0.0556723209960235,0.278102413314169,-0.136842203065632,0.262584673894622,0.119136075205097,0.357322993961303,0.0988811651775656,-0.0364137580793023,0.12555652622684
"2","PC2",-0.508246584598426,NA,0.109346434948892,-0.625605171920291,-0.520861100523653,0.201432062536709,0.467310581252579,0.250006634287725,-0.234353265785199,-0.660426485896413,-0.409366392855205,0.155009850451702,-0.341519412400298,-0.275158730298562,0.176506926738207,-0.353818160555112,-0.301168991660203,-0.0254317978482359,-0.173792986382379,-0.418593518857916,-0.621454325618551,-0.0768475446186589,-0.306008672519195,-0.0341208553687211,-0.139353692800049,0.119861789418985
"3","ALDH1A1",-0.0364137580793023,-0.139353692800049,0.507373018652071,0.515575781650174,0.260408999315735,-0.286426689693067,-0.240670351321178,0.0267360737076653,0.569424015996339,0.609227225416382,0.215335660484029,0.250758287884443,0.0139760756401997,-0.285053056876141,0.462087949654512,0.46116291614455,0.516604410133945,-0.107179927693883,0.218851209272359,-0.173532410626358,0.171084299711455,0.391534917250455,0.0983091786501094,-0.442630147688746,NA,0.510799366157086
"4","ALDH1L1",0.12555652622684,0.119861789418985,0.654851516151861,-0.0906581451361703,-0.0789306411288383,0.283374472208965,0.198002866048682,0.563944436827154,0.509354204948339,0.214666143233022,0.398172690095252,-0.122998698361465,-0.0548117953426788,-0.712037647874558,0.673661584758345,0.134069953339923,0.497831116420327,0.500402949374704,0.613569613483978,-0.624473735868947,0.232750817271924,0.736769353603504,-0.566642118256063,0.130990290307512,0.510799366157086,NA
"5","CAMK2A",-0.335199308302181,0.155009850451702,0.381180675787497,0.567164726149934,0.132510169161425,-0.0378970838773823,-0.636920358827189,-0.0751593540505559,-0.221428574477304,0.0636269465878847,-0.254510632401337,NA,-0.313986017510675,0.136517346179666,0.505927916040158,0.279051889364743,0.0135410551405203,-0.0671242443834461,-0.685363236855674,0.278724396889681,-0.108935531966549,0.193479205247131,0.05536939530115,-0.23612187212512,0.250758287884443,-0.122998698361465
"6","EGFR",0.119136075205097,-0.0768475446186589,0.518122227070371,0.29116862678892,0.396470934179646,0.37813495085748,-0.330173658133303,0.624357160372135,0.453997396112321,0.277877973131612,0.391247073961493,0.193479205247131,0.0137948816682259,-0.529900310386669,0.82482312412825,0.238860776992462,0.733774095042588,0.671337845518676,0.407742309231115,-0.303574635385138,0.614166229461817,NA,-0.478211004161702,0.273212959954765,0.391534917250455,0.736769353603504
"7","FOS",0.325687474623493,-0.660426485896413,0.259759247936269,0.677596082069901,0.522159382247845,-0.215216186565539,-0.515431795429093,-0.172111733249014,0.535322118816133,NA,0.200517111337175,0.0636269465878847,0.323732389292051,0.0651257521110194,0.100438310343098,0.497113231364787,0.467341023314601,0.0160559066870167,0.264471227651167,0.291526986308892,0.532004737212735,0.277877973131612,0.242901740896426,-0.126388180092049,0.609227225416382,0.214666143233022
"8","GABRA1",0.278102413314169,-0.173792986382379,-0.04478571995084,-0.288552280366941,0.0802269030081333,0.330424537894513,0.355533291547738,0.554950454108784,0.630696355602505,0.264471227651167,0.253512366300915,-0.685363236855674,0.22799891805796,-0.467271920319189,0.106199302321321,-0.108053324653602,0.550511701410857,0.477333298359339,NA,-0.27803241331944,0.484046073776328,0.407742309231115,-0.348644039320679,0.391514508806272,0.218851209272359,0.613569613483978
"9","GRIA2",-0.336776454580901,0.250006634287725,0.132248200483181,-0.278420025617205,0.0296292940472715,0.65011802981255,0.125229514913262,NA,0.392544280758966,-0.172111733249014,-0.0563412219180362,-0.0751593540505559,-0.272083993141997,-0.602686052237216,0.608333268673127,-0.451318584277651,0.539920921571737,0.753865344371902,0.554950454108784,-0.186181256196218,0.415830646864429,0.624357160372135,-0.771200287225953,0.547937329822327,0.0267360737076653,0.563944436827154
"10","IGF2",0.578766575757652,-0.409366392855205,0.211456033981648,0.189859847523868,0.237407857246356,0.10552583638124,0.0957562157209993,-0.0563412219180362,0.0956331354493206,0.200517111337175,NA,-0.254510632401337,0.29460423178257,-0.156801160173067,0.224495685699029,0.424825787161062,0.245710902405206,0.310114589046309,0.253512366300915,-0.334805335460071,0.291933245847866,0.391247073961493,0.0595116855777783,0.0297651983825889,0.215335660484029,0.398172690095252
"11","LAMA1",0.31268175236354,-0.341519412400298,0.0150917252007773,0.136988608564524,0.254294761754473,-0.153532492105675,0.118262531642824,-0.272083993141997,0.379040824147462,0.323732389292051,0.29460423178257,-0.313986017510675,NA,0.0551806051333786,-0.268871595627626,0.400609818615709,0.0731806116255282,-0.0402348008153493,0.22799891805796,0.099638562462643,0.143279608715442,0.0137948816682259,0.138938152421548,-0.240624868944444,0.0139760756401997,-0.0548117953426788
"12","LAMB1",0.182107637462202,-0.275158730298562,-0.565489440587866,0.337520404406985,0.37587135028079,-0.0930480194636412,-0.363637695797813,-0.602686052237216,-0.470071593137619,0.0651257521110194,-0.156801160173067,0.136517346179666,0.0551806051333786,NA,-0.460474116822364,0.236662201536834,-0.140602782856779,-0.21828551073878,-0.467271920319189,0.710976817170022,-0.256172734459465,-0.529900310386669,0.833295694111262,0.0173415881450015,-0.285053056876141,-0.712037647874558
"13","LAMC1",-0.254587733717703,0.176506926738207,0.61461033030184,0.299308861129421,0.157503981848835,0.455365675991514,-0.277087548179962,0.608333268673127,0.184880334033876,0.100438310343098,0.224495685699029,0.505927916040158,-0.268871595627626,-0.460474116822364,NA,0.113190376036914,0.53024354602979,0.58898895211905,0.106199302321321,-0.202536323510487,0.242071771289318,0.82482312412825,-0.474411927347079,0.222219016432082,0.462087949654512,0.673661584758345
"14","LIMK1",0.357322993961303,-0.306008672519195,-0.476820560621401,0.412485868320678,0.376434272529517,-0.37048380506311,-0.302356643143331,-0.771200287225953,-0.295810461441033,0.242901740896426,0.0595116855777783,0.05536939530115,0.138938152421548,0.833295694111262,-0.474411927347079,0.488716911569918,-0.0681733177538481,-0.47666785361771,-0.348644039320679,0.421441441809119,-0.238679486410431,-0.478211004161702,NA,-0.257042721283843,0.0983091786501094,-0.566642118256063
"15","NSF",-0.0692128210151993,0.467310581252579,-0.105772084235102,-0.855562922339345,-0.674427181219396,0.159818496890625,NA,0.125229514913262,-0.0289681841437668,-0.515431795429093,0.0957562157209993,-0.636920358827189,0.118262531642824,-0.363637695797813,-0.277087548179962,-0.373729114239099,-0.406713053919969,-0.0302956724718318,0.355533291547738,-0.518190526573288,-0.458679711243927,-0.330173658133303,-0.302356643143331,0.0250638241486529,-0.240670351321178,0.198002866048682
"16","PIN1",0.0224719260513192,-0.234353265785199,0.273585863690416,0.170689885159357,0.379976084087343,-0.106951842953593,-0.0289681841437668,0.392544280758966,NA,0.535322118816133,0.0956331354493206,-0.221428574477304,0.379040824147462,-0.470071593137619,0.184880334033876,0.217250289173807,0.667633528427629,0.189708652549447,0.630696355602505,-0.168043317435765,0.536921729217148,0.453997396112321,-0.295810461441033,-0.226653586364815,0.569424015996339,0.509354204948339
"17","PNN",0.262584673894622,-0.621454325618551,4.88249812347408e-05,0.393765885005116,0.610069955631034,0.186653286838457,-0.458679711243927,0.415830646864429,0.536921729217148,0.532004737212735,0.291933245847866,-0.108935531966549,0.143279608715442,-0.256172734459465,0.242071771289318,0.0954601921344718,0.644636699001595,0.476634917113801,0.484046073776328,0.131464865476649,NA,0.614166229461817,-0.238679486410431,0.319477318709907,0.171084299711455,0.232750817271924
"18","PRKCB",-0.0846627265315985,0.201432062536709,-0.182355598840735,-0.241845177492052,0.0587109061370878,NA,0.159818496890625,0.65011802981255,-0.106951842953593,-0.215216186565539,0.10552583638124,-0.0378970838773823,-0.153532492105675,-0.0930480194636412,0.455365675991514,-0.204252249544396,0.275664622596412,0.850102100551893,0.330424537894513,0.0806396709080678,0.186653286838457,0.37813495085748,-0.37048380506311,0.831202729934013,-0.286426689693067,0.283374472208965
"19","PRKCI",0.192800554016032,-0.520861100523653,-0.175365906361133,0.690937344308309,NA,0.0587109061370878,-0.674427181219396,0.0296292940472715,0.379976084087343,0.522159382247845,0.237407857246356,0.132510169161425,0.254294761754473,0.37587135028079,0.157503981848835,0.452216539597007,0.722504925971759,0.310245944540254,0.0802269030081333,0.430635545779247,0.610069955631034,0.396470934179646,0.376434272529517,0.051595781694967,0.260408999315735,-0.0789306411288383
"20","PRKCZ",-0.112235060934603,0.109346434948892,NA,0.220929016369897,-0.175365906361133,-0.182355598840735,-0.105772084235102,0.132248200483181,0.273585863690416,0.259759247936269,0.211456033981648,0.381180675787497,0.0150917252007773,-0.565489440587866,0.61461033030184,0.194962450707235,0.0836361660309017,0.0814623541684517,-0.04478571995084,-0.405484679083471,4.88249812347408e-05,0.518122227070371,-0.476820560621401,-0.366836249390836,0.507373018652071,0.654851516151861
"21","PTPRS",-0.136842203065632,-0.418593518857916,-0.405484679083471,0.464824278496199,0.430635545779247,0.0806396709080678,-0.518190526573288,-0.186181256196218,-0.168043317435765,0.291526986308892,-0.334805335460071,0.278724396889681,0.099638562462643,0.710976817170022,-0.202536323510487,-0.0530863758156681,0.0655435627400991,0.0481190221442693,-0.27803241331944,NA,0.131464865476649,-0.303574635385138,0.421441441809119,0.172606338968484,-0.173532410626358,-0.624473735868947
"22","ROCK2",0.0988811651775656,-0.0341208553687211,-0.366836249390836,-0.247111230935268,0.051595781694967,0.831202729934013,0.0250638241486529,0.547937329822327,-0.226653586364815,-0.126388180092049,0.0297651983825889,-0.23612187212512,-0.240624868944444,0.0173415881450015,0.222219016432082,-0.370265363520091,0.230617787142606,0.713186199020718,0.391514508806272,0.172606338968484,0.319477318709907,0.273212959954765,-0.257042721283843,NA,-0.442630147688746,0.130990290307512
"23","TNC",0.54642812393767,-0.353818160555112,0.194962450707235,0.620700378686594,0.452216539597007,-0.204252249544396,-0.373729114239099,-0.451318584277651,0.217250289173807,0.497113231364787,0.424825787161062,0.279051889364743,0.400609818615709,0.236662201536834,0.113190376036914,NA,0.293416538591626,-0.130937043428534,-0.108053324653602,-0.0530863758156681,0.0954601921344718,0.238860776992462,0.488716911569918,-0.370265363520091,0.46116291614455,0.134069953339923
"24","TNR",0.0556723209960235,-0.0254317978482359,0.0814623541684517,-0.0547267198352868,0.310245944540254,0.850102100551893,-0.0302956724718318,0.753865344371902,0.189708652549447,0.0160559066870167,0.310114589046309,-0.0671242443834461,-0.0402348008153493,-0.21828551073878,0.58898895211905,-0.130937043428534,0.56845141224844,NA,0.477333298359339,0.0481190221442693,0.476634917113801,0.671337845518676,-0.47666785361771,0.713186199020718,-0.107179927693883,0.500402949374704
"25","TNXB",0.146101643821839,-0.301168991660203,0.0836361660309017,0.423832987994281,0.722504925971759,0.275664622596412,-0.406713053919969,0.539920921571737,0.667633528427629,0.467341023314601,0.245710902405206,0.0135410551405203,0.0731806116255282,-0.140602782856779,0.53024354602979,0.293416538591626,NA,0.56845141224844,0.550511701410857,0.0655435627400991,0.644636699001595,0.733774095042588,-0.0681733177538481,0.230617787142606,0.516604410133945,0.497831116420327
"26","WWC1",0.111490503049223,-0.625605171920291,0.220929016369897,NA,0.690937344308309,-0.241845177492052,-0.855562922339345,-0.278420025617205,0.170689885159357,0.677596082069901,0.189859847523868,0.567164726149934,0.136988608564524,0.337520404406985,0.299308861129421,0.620700378686594,0.423832987994281,-0.0547267198352868,-0.288552280366941,0.464824278496199,0.393765885005116,0.29116862678892,0.412485868320678,-0.247111230935268,0.515575781650174,-0.0906581451361703
