"","rowname","PC1","PC2","Camk2a","Gria2","Igf2","Nsf","Pick1","Prkcb","Prkci","Prkcz","Wwc1"
"1","Igf2",0.377342719060488,-0.10563715076593,0.50733889882808,-0.185700888537392,NA,-0.036867248994143,0.143214880490875,0.469362642690525,0.116037101185624,-0.0652274929721652,-0.0421818122284259
"2","Camk2a",0.288189033860847,-0.0761296823073807,NA,0.173913866118892,0.50733889882808,-0.210883096344455,0.0171645380805363,0.331492528975387,0.348403215200254,0.102768228677298,-0.0238781709702348
"3","Wwc1",0.19557368071158,-0.211789375631467,-0.0238781709702348,0.0357722581268047,-0.0421818122284259,0.165750540736814,-0.0708662124858075,-0.443443482677799,-0.224641807050148,0.235785613372655,NA
"4","Prkci",0.0603574803014929,-0.159721968878774,0.348403215200254,0.262283129490238,0.116037101185624,0.323947482955191,-0.736345717773669,0.167854978823417,NA,-0.403276391642369,-0.224641807050148
"5","Prkcb",-0.00697449385190162,0.267194529441068,0.331492528975387,-0.263311432664728,0.469362642690525,0.288454938114633,-0.0807824018430538,NA,0.167854978823417,-0.0849837313696816,-0.443443482677799
"6","Pick1",-0.013815603808443,-0.0191071503759893,0.0171645380805363,-0.0654270065329854,0.143214880490875,-0.748403962188835,NA,-0.0807824018430538,-0.736345717773669,0.497481389540206,-0.0708662124858075
"7","Gria2",-0.0624540218429733,-0.203915015875865,0.173913866118892,NA,-0.185700888537392,-0.190583951931207,-0.0654270065329854,-0.263311432664728,0.262283129490238,0.222878383929936,0.0357722581268047
"8","Nsf",-0.120525178300946,0.321814272995148,-0.210883096344455,-0.190583951931207,-0.036867248994143,NA,-0.748403962188835,0.288454938114633,0.323947482955191,-0.403620826753054,0.165750540736814
"9","Prkcz",-0.363987777259242,0.385878495029041,0.102768228677298,0.222878383929936,-0.0652274929721652,-0.403620826753054,0.497481389540206,-0.0849837313696816,-0.403276391642369,NA,0.235785613372655
"10","PC2",-0.605784073036137,NA,-0.0761296823073807,-0.203915015875865,-0.10563715076593,0.321814272995148,-0.0191071503759893,0.267194529441068,-0.159721968878774,0.385878495029041,-0.211789375631467
"11","PC1",NA,-0.605784073036137,0.288189033860847,-0.0624540218429733,0.377342719060488,-0.120525178300946,-0.013815603808443,-0.00697449385190162,0.0603574803014929,-0.363987777259242,0.19557368071158
