"","rowname","PC1","PC2","PRKCZ","WWC1","PRKCI","PRKCB","NSF","GRIA2","PIN1","FOS","IGF2","CAMK2A","LAMA1","LAMB1","LAMC1","TNC","TNXB","TNR","GABRA1","PTPRS","PNN","EGFR","LIMK1","ROCK2","ALDH1A1","ALDH1L1"
"1","PC1",1,-0.605784073036137,-0.363987777259242,0.19557368071158,0.0603574803014929,-0.00697449385190162,-0.120525178300946,-0.0624540218429733,-0.22094695131468,0.589557543019643,0.377342719060488,0.288189033860847,0.199589778258973,0.444765931666996,0.307595797393469,0.0680139489088738,0.0321333241092137,0.0569385079811196,0.286770146968066,0.0708373446506575,-0.102362555240786,0.0753268489984896,-0.327190372574744,0.272257193682653,0.292654415523865,0.0336941716358969
"2","PC2",-0.605784073036137,1,0.385878495029041,-0.211789375631467,-0.159721968878774,0.267194529441068,0.321814272995148,-0.203915015875865,0.0489899387967015,-0.640740113497732,-0.10563715076593,-0.0761296823073807,0.128609809005767,-0.56382314292587,-0.213212755131728,-0.340017410002499,-0.148403097449147,-0.0349937824070824,-0.367590085900213,-0.348894264870523,-0.0868437421025223,-0.215140020957102,0.145761379507357,-0.328507936380526,-0.206299838674939,0.179308998376826
"3","ALDH1A1",0.292654415523865,-0.206299838674939,-0.0906394681479981,-0.220110571073561,0.555206466075203,0.0673981199526241,-0.291792696091738,0.180561743490713,0.122375173894867,0.672767836443224,0.318203323334414,0.694134860033836,0.286724896629507,0.498894277333445,-0.088890403087727,0.478813900724087,0.52507028265939,0.0257312348383487,0.364838960142274,0.677632292400442,-0.254920546967302,0.454941401985613,-0.387586958644166,0.705498895926449,1,-0.459777026643826
"4","ALDH1L1",0.0336941716358969,0.179308998376826,0.503494289393133,0.270715576055492,-0.88659769670115,-0.0115866179091786,-0.274887908921196,-0.39303028706349,-0.0969301394362527,-0.358830609661281,-0.0210155529776034,-0.255714168870904,0.15573530541401,-0.332033490761965,0.759880444905172,-0.162403296498196,-0.893985931312136,-0.21624220106183,-0.145463775989119,-0.734184217281894,0.619731357758808,-0.216568677311808,0.421081463450927,-0.758302695342189,-0.459777026643826,1
"5","CAMK2A",0.288189033860847,-0.0761296823073807,0.102768228677298,-0.0238781709702348,0.348403215200254,0.331492528975387,-0.210883096344455,0.173913866118892,-0.345162282753933,0.367545132694246,0.50733889882808,1,0.36933782798356,0.180172981838578,0.0625101428332925,0.635141581593323,0.406969007712249,0.573614070700364,0.294490447670487,0.295282645168997,0.0233969181508681,0.481392301456596,-0.60008540907494,0.528769635601337,0.694134860033836,-0.255714168870904
"6","EGFR",0.0753268489984896,-0.215140020957102,-0.210373994534825,-0.567117531560361,0.213443546009053,0.489172561256038,-0.396074835667289,0.0390332777496283,0.393505029242531,0.426096001872173,0.343004893040919,0.481392301456596,0.356815776406075,0.35830954952533,0.0669513193602238,0.661350498310934,0.209048457194877,0.135061858333801,0.460305835992968,0.378670581764819,0.275676136569356,1,-0.079363514461921,0.157337052216333,0.454941401985613,-0.216568677311808
"7","FOS",0.589557543019643,-0.640740113497732,-0.439587142103121,-0.287304643030733,0.418235627687243,-0.07864736245137,-0.420450658035046,0.00993086050712983,0.190340697244546,1,0.0677247877883196,0.367545132694246,0.11494146234218,0.594966870378357,0.0417789266289562,0.460480685135444,0.341331844573495,-0.0311763245221541,0.46027688422361,0.601049887218925,-0.0742847371299195,0.426096001872173,-0.285423340093788,0.543306295088386,0.672767836443224,-0.358830609661281
"8","GABRA1",0.286770146968066,-0.367590085900213,-0.17273766599521,-0.408792999368196,0.0631342380334042,-0.0369451858284252,-0.513324148359573,0.0374497224213224,0.170872165712326,0.46027688422361,0.471149822444919,0.294490447670487,-0.0870109275469525,0.565880786256186,0.396435059065247,0.193438537432764,0.0922084178109801,0.064459002731729,1,0.308900982538504,0.185461678693095,0.460305835992968,-0.0539094562847099,0.220858720853001,0.364838960142274,-0.145463775989119
"9","GRIA2",-0.0624540218429733,-0.203915015875865,0.222878383929936,0.0357722581268047,0.262283129490238,-0.263311432664728,-0.190583951931207,1,-0.357924340468573,0.00993086050712983,-0.185700888537392,0.173913866118892,-0.139650667444464,-0.037078801251496,-0.102905201516881,0.354845476678913,0.517131815339286,-0.00588916126872428,0.0374497224213224,0.47595038573312,0.0281011973305137,0.0390332777496283,-0.153947718543594,0.183095993468739,0.180561743490713,-0.39303028706349
"10","IGF2",0.377342719060488,-0.10563715076593,-0.0652274929721652,-0.0421818122284259,0.116037101185624,0.469362642690525,-0.036867248994143,-0.185700888537392,0.100076530167358,0.0677247877883196,1,0.50733889882808,0.446065995706717,0.437680419580761,0.230641547318298,0.10734668920993,0.0591456705351695,0.125257979658687,0.471149822444919,0.0322373205095347,0.00376331584769969,0.343004893040919,-0.0922717302048843,0.321420297070154,0.318203323334414,-0.0210155529776034
