"gene","pvalue","lfc","direction","logp"
"0610007P14Rik",1,0.390894125876274,"NS",0
"0610009B22Rik",1,0.0667016571491188,"NS",0
"0610009L18Rik",1,0.123234052758273,"NS",0
"0610009O20Rik",1,0.405044980668139,"NS",0
"0610010F05Rik",1,-0.0653975963396302,"NS",0
"0610010K14Rik",1,-0.741196015728186,"NS",0
"0610030E20Rik",1,-0.28798231515817,"NS",0
"0610037L13Rik",1,-0.173417137978547,"NS",0
"0610040J01Rik",1,0.269994242598815,"NS",0
"1110002E22Rik",1,-0.0423360233650038,"NS",0
"1110004E09Rik",1,0.0430440183334168,"NS",0
"1110004F10Rik",1,-0.0583673016157051,"NS",0
"1110008F13Rik",1,-0.335037128948355,"NS",0
"1110008L16Rik",1,-0.0365765434154602,"NS",0
"1110008P14Rik",1,-0.354889361852287,"NS",0
"1110012L19Rik",1,-1.78662364313803,"NS",0
"1110017D15Rik",1,1.01473717002997,"NS",0
"1110032A03Rik",1,-0.565872520752333,"NS",0
"1110032F04Rik",1,-0.690649628350427,"NS",0
"1110034G24Rik",1,-0.474803065604402,"NS",0
"1110037F02Rik",1,0.409902021004487,"NS",0
"1110038F14Rik",1,0.46479124222418,"NS",0
"1110051M20Rik",1,-0.641636932461347,"NS",0
"1110059E24Rik",1,-0.438213073972036,"NS",0
"1110059G10Rik",1,0.0552416269150987,"NS",0
"1110065P20Rik",1,-0.777525511134315,"NS",0
"1190005I06Rik",1,-0.170465586788611,"NS",0
"1190007I07Rik",1,-0.376104033096597,"NS",0
"1500009C09Rik",1,-0.312532771156735,"NS",0
"1500009L16Rik",1,-0.381925599995785,"NS",0
"1500011B03Rik",1,-0.0100472798660121,"NS",0
"1500011K16Rik",1,-0.373505740268453,"NS",0
"1600002H07Rik",1,-1.31896476374315,"NS",0
"1600002K03Rik",1,0.333676233421487,"NS",0
"1600012H06Rik",1,0.541044398975028,"NS",0
"1600014C10Rik",1,-0.31429078072974,"NS",0
"1700001C19Rik",1,1.86499199132843,"NS",0
"1700001K19Rik",1,-0.693318749620878,"NS",0
"1700001L19Rik",1,0.180894191398612,"NS",0
"1700001O22Rik",1,-1.26499663418031,"NS",0
"1700003E16Rik",1,-0.0706516505530773,"NS",0
"1700003F12Rik",1,0.0522977703968684,"NS",0
"1700008O03Rik",1,-3.30062818921955,"NS",0
"1700010I14Rik",1,0.158690717047835,"NS",0
"1700016D06Rik",1,-0.442909922606831,"NS",0
"1700017B05Rik",1,0.242969154512466,"NS",0
"1700019D03Rik",1,-0.0755048099879586,"NS",0
"1700020D05Rik",1,-0.529884246558058,"NS",0
"1700021F05Rik",1,-0.312793461901958,"NS",0
"1700023F06Rik",1,-1.26423369385803,"NS",0
"1700024P16Rik",1,0.676974299258394,"NS",0
"1700025G04Rik",1,0.371098678558386,"NS",0
"1700028J19Rik",1,0.14931819094324,"NS",0
"1700029I15Rik",1,0.326826407723752,"NS",0
"1700029J07Rik",1,-1.19738288751653,"NS",0
"1700030J22Rik",1,-0.411616670156864,"NS",0
"1700030K09Rik",1,-1.46025756768439,"NS",0
"1700034I23Rik",1,-0.545547462727258,"NS",0
"1700037C18Rik",1,-0.873323211588839,"NS",0
"1700037H04Rik",1,-0.351750441774927,"NS",0
"1700040L02Rik",1,-0.299023691718505,"NS",0
"1700047I17Rik2",1,-0.0185629326047016,"NS",0
"1700048O20Rik",1,0.358549951091424,"NS",0
"1700061G19Rik",1,-1.36513549092978,"NS",0
"1700066B19Rik",1,-0.999453230001637,"NS",0
"1700066M21Rik",1,-0.0683319085485088,"NS",0
"1700088E04Rik",1,-0.0357681438139429,"NS",0
"1700102P08Rik",1,0.0251268446950386,"NS",0
"1700109H08Rik",1,2.70173701429412,"NS",0
"1700123O20Rik",1,0.0471924312338918,"NS",0
"1700128F08Rik",1,-0.618576265080054,"NS",0
"1700129C05Rik",1,-1.35354676035029,"NS",0
"1810009A15Rik",1,-0.356586355158256,"NS",0
"1810010H24Rik",1,0.337057556910014,"NS",0
"1810013L24Rik",1,-0.111773600664959,"NS",0
"1810022K09Rik",1,0.0144068840286853,"NS",0
"1810026J23Rik",1,0.031126189619369,"NS",0
"1810030O07Rik",1,-0.483664103125987,"NS",0
"1810032O08Rik",1,0.31062293034789,"NS",0
"1810037I17Rik",1,-0.592817851890677,"NS",0
"1810041L15Rik",1,0.608515405145408,"NS",0
"1810043G02Rik",1,-0.0253059314472674,"NS",0
"1810043H04Rik",1,-0.635775202242671,"NS",0
"1810049J17Rik",1,1.57393594236655,"NS",0
"1810055G02Rik",1,0.665125257604861,"NS",0
"2010107E04Rik",1,-0.278613743779318,"NS",0
"2010107G23Rik",1,0.0912375539854144,"NS",0
"2010109I03Rik",1,-1.93443184066716,"NS",0
"2010111I01Rik",1,-0.0621291774031474,"NS",0
