"gene","pvalue","lfc","direction","logp"
"Cep152",1,-5.65330161418351e-05,"NS",0
"Gpr157",1,-0.000200545647381788,"NS",0
"Tnni3k",1,0,"NS",0
"0610007P14Rik",0.999988659571942,-0.438481701343526,"NS",4.92511325448701e-06
"0610009B22Rik",0.999988659571942,0.883886884893729,"NS",4.92511325448701e-06
"0610009O20Rik",0.999988659571942,-0.0785110360622913,"NS",4.92511325448701e-06
"0610010F05Rik",0.999988659571942,0.358181111413257,"NS",4.92511325448701e-06
"0610010K14Rik",0.999988659571942,-0.404689834181428,"NS",4.92511325448701e-06
"0610012G03Rik",0.999988659571942,-0.28818143514066,"NS",4.92511325448701e-06
"0610030E20Rik",0.999988659571942,0.188076700422402,"NS",4.92511325448701e-06
"1110002E22Rik",0.999988659571942,0.409005526534184,"NS",4.92511325448701e-06
"1110004E09Rik",0.999988659571942,-0.171576663064746,"NS",4.92511325448701e-06
"1110004F10Rik",0.999988659571942,-0.355820712665854,"NS",4.92511325448701e-06
"1110008F13Rik",0.999988659571942,0.0725271390393234,"NS",4.92511325448701e-06
"1110008L16Rik",0.999988659571942,0.0187317417509367,"NS",4.92511325448701e-06
"1110008P14Rik",0.999988659571942,-0.398372026082184,"NS",4.92511325448701e-06
"1110012L19Rik",0.999988659571942,0.292614925753818,"NS",4.92511325448701e-06
"1110032A03Rik",0.999988659571942,-1.35534396031444,"NS",4.92511325448701e-06
"1110032F04Rik",0.999988659571942,-0.648065302982878,"NS",4.92511325448701e-06
"1110034G24Rik",0.999988659571942,-0.724695526093275,"NS",4.92511325448701e-06
"1110037F02Rik",0.999988659571942,-0.460902617715208,"NS",4.92511325448701e-06
"1110038F14Rik",0.999988659571942,-0.755360935599542,"NS",4.92511325448701e-06
"1110051M20Rik",0.999988659571942,0.464045151840947,"NS",4.92511325448701e-06
"1110059E24Rik",0.999988659571942,-0.356098006283684,"NS",4.92511325448701e-06
"1110059G10Rik",0.999988659571942,-0.948160948528133,"NS",4.92511325448701e-06
"1110065P20Rik",0.999988659571942,-0.656431974450545,"NS",4.92511325448701e-06
"1190007I07Rik",0.999988659571942,0.0610392945615849,"NS",4.92511325448701e-06
"1500009C09Rik",0.999988659571942,-0.347079963019669,"NS",4.92511325448701e-06
