"gene","padj","logpadj","lfc","direction"
"Col10a1",0.000295853927017061,3.52892266174096,6.86267235590048,"consistent"
"Lrrc32",0.00976990672561714,2.01010958251901,6.04941541044607,"consistent"
"Thbs1",0.000327552853834884,3.48471861238425,5.49117662978811,"consistent"
"Fzd5",1.48245173118034e-06,5.82901943841786,4.05654356592019,"consistent"
"Nlrp3",0.000926016566990282,3.03338124346051,3.76281767022885,"consistent"
"Ier3",0.0158805041167698,1.79913571528069,3.75843570880881,"consistent"
"Npas4",0.000220553147956848,3.65648673915272,3.53746371079681,"consistent"
"Smad7",3.38821068568149e-13,12.4700295922067,3.53587630546888,"consistent"
"Nr4a3",0.0111412417593045,1.95306640169738,3.37292665095314,"consistent"
"Rfx2",0.000263631100079175,3.57900335812937,3.35605634221774,"consistent"
"Trib1",0.0412880027116354,1.38417612541533,3.32448973241294,"consistent"
"Frmd6",4.61814711178991e-05,4.33553223668065,3.28744210763255,"consistent"
"Egr4",1.41105309391996e-05,4.85045664467043,3.23264668960927,"consistent"
"Rasd1",1.41105309391996e-05,4.85045664467043,3.118258184161,"consistent"
"Gch1",0.0494165259516881,1.30612778934763,3.08994792328042,"consistent"
"Fbxo33",0.00107942887373767,2.96680596913422,3.06629794677665,"consistent"
"Fosb",0.00444538273993574,2.35209084106358,3.04559561633083,"consistent"
"Tiparp",1.48901359887003e-07,6.82710133590313,3.00078251228906,"consistent"
"Arc",3.57788093274344e-05,4.44637411628763,2.89132292351296,"consistent"
"Gcnt2",0.0279181153305212,1.55411390299664,2.82325828333255,"consistent"
"Homer1",0.000159027191743572,3.79852861017948,2.75522565955221,"consistent"
"Nr4a2",0.00423970663933882,2.37266419277615,2.72766605828542,"consistent"
"Ptgs2",0.00363962675825395,2.43894315073059,2.71684219584748,"consistent"
"Rtl1",0.00199891280061647,2.69920615087293,2.69420156240161,"consistent"
"Btg2",0.000828708300515117,3.08159831115044,2.64690943250349,"consistent"
"Entpd1",0.0510155484308648,1.29229744020403,2.63476054701358,"consistent"
"Rgs2",0.00199891280061647,2.69920615087293,2.62861990888914,"consistent"
"Gm13889",0.000105385881472961,3.97721756757785,2.62554388532742,"consistent"
"Nr4a1",0.0157036145274304,1.80400037379168,2.58881503782497,"consistent"
"Dusp16",0.000828708300515117,3.08159831115044,2.57874771339506,"consistent"
"Fosl2",0.00125312555696202,2.90200541267391,2.57053157860391,"consistent"
"Rasl11a",0.00787181166035069,2.10392530530955,2.56924287246967,"consistent"
