"gene","pvalue","lfc","direction","logp"
"Nup37",0.999839600555232,-0.000268832057836104,"neither",6.96661811209363e-05
"Amotl1",0.999419913591595,0.000612685695916315,"neither",0.000252001424566806
"Egfr",0.999419913591595,0.000578303900558966,"neither",0.000252001424566806
"Mmadhc",0.999419913591595,0.000372431049107092,"neither",0.000252001424566806
"Clcn1",0.999376746711081,-0.00166654197964081,"neither",0.000270759848956089
"Fubp3",0.999376746711081,-0.000560931173290057,"neither",0.000270759848956089
"Kirrel2",0.999376746711081,0.001022240239496,"neither",0.000270759848956089
"Spred1",0.999376746711081,0.000376280749738626,"neither",0.000270759848956089
"Klhl35",0.999224780212526,-0.00260231545154739,"neither",0.000336804241492269
"Mzt2",0.999224780212526,0.00114584655705501,"neither",0.000336804241492269
"Ptpdc1",0.999224780212526,0.000852483799128151,"neither",0.000336804241492269
"Comt",0.999105660189063,0.000775435009527277,"neither",0.000388580632313053
"Tfap2a",0.999045421414615,-0.00329444054141172,"neither",0.000414766207155615
"H2afv",0.999015869954552,0.00122137816705362,"neither",0.000427612695993346
"Ccdc160",0.998995745453694,-0.00598408060168451,"neither",0.000436361353515563
"Catsperd",0.998995581450651,0.00404694089905556,"neither",0.000436432650738527
"Tmem219",0.998987483786062,-0.00242330089784867,"neither",0.000439952971914875
"Pigyl",0.998922989952741,0.00195548093156884,"neither",0.000467991581558373
"Csnk2a2",0.998819286857142,-0.00127443577015245,"neither",0.00051308016254127
"Kctd2",0.998819286857142,-0.00123972913699508,"neither",0.00051308016254127
"Myo1g",0.998819286857142,-0.0140153081711898,"neither",0.00051308016254127
"Rxrb",0.998789634189753,0.00106793855444182,"neither",0.000525973566936707
"Stk36",0.998789634189753,-0.00366634763985609,"neither",0.000525973566936707
"Gpaa1",0.998705906994996,-0.00138047992363655,"neither",0.000562381416606192
"Nol4",0.998705906994996,0.00103223985728951,"neither",0.000562381416606192
"Anpep",0.998609496785369,-0.0102634858600491,"neither",0.000604308116809348
"Marveld2",0.998609496785369,0.00950018176657372,"neither",0.000604308116809348
"Sgsh",0.998609496785369,0.00557483343175765,"neither",0.000604308116809348
"Ttyh3",0.998609496785369,0.000975238761828432,"neither",0.000604308116809348
"Uvssa",0.998609496785369,-0.00271106455247864,"neither",0.000604308116809348
"Wdr20",0.998609496785369,0.00236180158960511,"neither",0.000604308116809348
"Prpf6",0.998476567313434,0.00158914460573606,"neither",0.000662122887305923
"Tapt1",0.998476567313434,0.00175594384321618,"neither",0.000662122887305923
"Ap5b1",0.998290723300882,0.00870262451101023,"neither",0.000742964585543418
"Fam49b",0.99802320655923,-0.00121342399566219,"neither",0.000859360152066018
"Mast4",0.99802320655923,0.00229870249931373,"neither",0.000859360152066018
