enriched	depleted	gene_id	gene_short_name	uniprot_protein_name	coronalIshAvailable	coronalIshConsistent
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000032735	Ablim3	Actin-binding LIM protein 3	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000039166	Akap7	A-kinase anchor protein 7 isoform alpha; A-kinase anchor protein 7 isoform gamma	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000053199	Arhgap20	Rho GTPase-activating protein 20	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000020423	Btg2	Protein BTG2	1	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000036907	C1ql2	Complement C1q-like protein 2	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029761	Cald1	-	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000020810	Cygb	Cytoglobin	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000034731	Dgkh	Diacylglycerol kinase	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000038608	Dock10	-	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000009216	Fam163b	Protein FAM163B	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000052942	Glis3	Zinc finger protein GLIS3	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000026185	Igfbp5	Insulin-like growth factor-binding protein 5	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000022514	Il1rap	Interleukin-1 receptor accessory protein	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000052684	Jun	Transcription factor AP-1	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000021338	Lrrc16a	Leucine-rich repeat-containing protein 16A	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000052581	Lrrtm4	Leucine-rich repeat transmembrane neuronal protein 4	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000031925	Maml2	-	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000069662	Marcks	Myristoylated alanine-rich C-kinase substrate	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000005583	Mef2c	Myocyte-specific enhancer factor 2C	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000040998	Npnt	Nephronectin	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000036422	Pcdh8	Protocadherin-8	1	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000019990	Pde7b	"cAMP-specific 3',5'-cyclic phosphodiesterase 7B"	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000040430	Pitpnc1	Cytoplasmic phosphatidylinositol transfer protein 1	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029406	Pitpnm2	Membrane-associated phosphatidylinositol transfer protein 2	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000031557	Plekha2	Pleckstrin homology domain-containing family A member 2	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029913	Prdm5	PR domain zinc finger protein 5	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000010175	Prox1	Prospero homeobox protein 1	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000040929	Rfx3	Transcription factor RFX3	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000057182	Scn3a	Sodium channel protein	0	0
