gene_id	gene_short_name	uniprot_protein_name	dg_d_fpkm	dg_v_fpkm	ratio	coronalIshExists	coronalIshCorrect
ENSMUSG00000021057	Akap5	A-kinase anchor protein 5	18.4409	0	Inf	0	0
ENSMUSG00000026208	Des	Desmin	14.6357	0	Inf	0	0
ENSMUSG00000026414	Tnnt2	"Troponin T, cardiac muscle"	40.7325	0	Inf	0	0
ENSMUSG00000026547	Tagln2	Transgelin-2	17.5124	0	Inf	0	0
ENSMUSG00000060591	Ifitm2	Interferon-induced transmembrane protein 2	18.0955	0	Inf	0	0
ENSMUSG00000065145	Vault	-	23.8967	0	Inf	1	0
ENSMUSG00000076617	Ighm	-	12.2318	0	Inf	1	1
ENSMUSG00000079488	Cd47	-	23.0638	0	Inf	1	0
ENSMUSG00000084250	Gm13550	-	17.7746	0	Inf	0	0
ENSMUSG00000085859	D030068K23Rik	-	13.6021	0	Inf	0	0
ENSMUSG00000086645	Gm15743	-	12.8427	0	Inf	0	0
ENSMUSG00000031170	Slc38a5	Sodium-coupled neutral amino acid transporter 5	10.7337	0.0119674	897	0	0
ENSMUSG00000034329	Brip1	Fanconi anemia group J protein homolog	24.0461	0.0306544	784	0	0
ENSMUSG00000061848	Gm5805	-	13.6079	0.043965	310	0	0
ENSMUSG00000020846	Fam101b	Filamin-interacting protein FAM101B	12.4991	0.0426728	293	0	0
ENSMUSG00000085175	Gm11423	-	25.2113	0.111205	227	0	0
ENSMUSG00000028689	Ccdc163	-	10.0587	0.0534829	188	0	0
ENSMUSG00000029816	Gpnmb	Transmembrane glycoprotein NMB	21.6389	0.156688	138	1	0
ENSMUSG00000020183	Cpm	Carboxypeptidase M	18.2894	0.140053	131	0	0
ENSMUSG00000035615	Frmpd1	FERM and PDZ domain-containing protein 1	27.3861	0.228068	120	1	1
ENSMUSG00000032128	Robo3	-	24.7885	0.211349	117	0	0
ENSMUSG00000086279	Gm15634	-	10.3152	0.090391	114	0	0
ENSMUSG00000039824	Myl6b	Myosin light chain 6B	23.9623	0.242368	99	0	0
ENSMUSG00000080115	Fam119b	-	11.9125	0.143376	83	0	0
ENSMUSG00000052105	1110012J17Rik	Microtubule cross-linking factor 1	19.0484	0.302572	63	0	0
ENSMUSG00000051251	Nhlh1	Helix-loop-helix protein 1	14.3631	0.248931	58	1	1
ENSMUSG00000047166	Tigd5	-	10.9301	0.22263	49	0	0
ENSMUSG00000075014	Gm10800	-	86.1993	1.93244	45	0	0
ENSMUSG00000087580	Gm16869	-	44.1919	1.02539	43	0	0
ENSMUSG00000031827	Cotl1	Coactosin-like protein	63.3492	1.57963	40	1	1
ENSMUSG00000027510	Rbm38	RNA-binding protein 38	21.1026	0.531676	40	1	0
ENSMUSG00000074358	Ccdc61	Coiled-coil domain-containing protein 61	11.6811	0.301466	39	0	0
ENSMUSG00000074562	Gm10718	-	10.4155	0.294736	35	0	0
