MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		lymphocyte chemotaxis			IDA		J:248456 	
MGI:3041173	9930111J21Rik1	RIKEN cDNA 9930111J21 gene 1	11		cellular response to interferon-beta			IBA	PTN000365263 	J:265628 	
MGI:2685279	A3galt2	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)	4		cellular response to manganese ion			ISO	RGD:727913 	J:155856 	
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	5		cellular response to glucose stimulus			ISO	RGD:708522 	J:155856 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		cellular response to cAMP			ISO	Q16613 	J:164563 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		cellular response to lipopolysaccharide			IDA		J:154929 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		cellular response to retinoic acid			IDA		J:154929 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		cellular response to bile acid			ISO	P21439 	J:164563 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		cell chemotaxis			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		cellular response to amyloid-beta	happens in astrocyte		IMP		J:279975 	
MGI:1352447	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	19		xenobiotic catabolic process			ISO	RGD:2366 	J:155856 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		cellular response to organic substance			ISO	RGD:3786 	J:155856 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		regulation of cellular response to oxidative stress			IMP		J:136104 J:234537 	
MGI:1349217	Abcd4	ATP-binding cassette, sub-family D (ALD), member 4	12		cellular response to leukemia inhibitory factor			IEP		J:163558 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		cellular detoxification			ISO	Q9UNQ0 	J:164563 	
MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	9		cellular response to leukemia inhibitory factor			IEP		J:163558 	
