MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	7		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in fibroblast		IDA		J:181917 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		positive regulation of transcription by RNA polymerase II			ISO	Q9NY61 	J:164563 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		regulation of transcription by RNA polymerase II			IBA	PTN000399853 	J:265628 	
MGI:99606	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	2		regulation of transcription by RNA polymerase II			ISO	Q9BZC7 	J:164563 	
MGI:1923741	Abhd14b	abhydrolase domain containing 14b	9		positive regulation of transcription by RNA polymerase II			ISO	Q96IU4 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of BMP signaling pathway	regulates a function/process that happens in duct epithelial cell		IMP	MGI:104738 	J:190763 	
MGI:1194500	Ablim1	actin-binding LIM protein 1	19		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2385758	Ablim2	actin-binding LIM protein 2	5		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2442582	Ablim3	actin binding LIM protein family, member 3	18		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II			IBA	PTN001100454 	J:265628 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IDA		J:120881 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IGI	MGI:1194500 MGI:2385758 MGI:2442582 	J:120881 	
MGI:1353636	Abt1	activator of basal transcription 1	13		regulation of transcription by RNA polymerase II			IDA		J:60220 	
MGI:1861453	Actl6a	actin-like 6A	3		regulation of transcription by RNA polymerase II			IBA	PTN001732543 	J:265628 	
MGI:1933548	Actl6b	actin-like 6B	5		regulation of transcription by RNA polymerase II			IBA	PTN001732543 	J:265628 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		positive regulation of transcription by RNA polymerase II			ISO	P61160 	J:164563 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of transcription by RNA polymerase II			ISO	P61158 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway			IBA	PTN002356032 	J:265628 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway involved in heart development			IMP		J:103532 	
MGI:87911	Acvr1	activin A receptor, type 1	2		positive regulation of transcription by RNA polymerase II	happens in UBERON:0036067,regulates UniProtKB:P13297|happens in UBERON:0036067,regulates UniProtKB:Q02085		IMP		J:103532 	
MGI:87911	Acvr1	activin A receptor, type 1	2		positive regulation of transcription by RNA polymerase II			ISO	Q04771 	J:164563 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		positive regulation of transcription by RNA polymerase II			ISO	RGD:735207 	J:155856 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway	happens in smooth muscle cell		IMP		J:123381 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway			IMP		J:229306 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway			ISO	P27037 	J:123381 J:164563 	
MGI:102806	Acvr2a	activin receptor IIA	2		positive regulation of transcription by RNA polymerase II			ISO	P27037 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9		BMP signaling pathway			ISO	Q13705 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9		negative regulation of transcription by RNA polymerase II			ISO	Q13705 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			IBA	PTN002356032 	J:265628 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			IMP	MGI:3604490 	J:186473 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of BMP signaling pathway			IDA		J:164086 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of BMP signaling pathway			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription by RNA polymerase II	regulates UniProtKB:P52800,happens in UBERON:0004537		IMP		J:85366 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription by RNA polymerase II			ISO	P37023 	J:164563 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		positive regulation of transcription by RNA polymerase II			IBA	PTN002598721 	J:265628 	
